,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,363.9,358.95,0.0,REGULAR,AMZN180713C01350000,USD,1531440000,0.8386246606445311,True,342.9,1530801319,11,0.0,1350.0,call,10,4,2018-07-12 17:00:00
1,313.9,308.9,0.0,REGULAR,AMZN180713C01400000,USD,1531440000,0.721194194335937,True,291.68,1530935429,10,0.0,1400.0,call,10,4,2018-07-12 17:00:00
2,260.85,255.85,0.0,REGULAR,AMZN180713C01430000,USD,1531440000,1e-05,True,258.45,1528488319,2,0.0,1430.0,call,2,4,2018-07-12 17:00:00
3,273.35,264.6,0.0,REGULAR,AMZN180713C01450000,USD,1531440000,0.9692385888671871,True,271.67,1529120681,0,0.0,1450.0,call,3,4,2018-07-12 17:00:00
4,228.6,223.6,0.0,REGULAR,AMZN180713C01485000,USD,1531440000,0.675662423095703,True,207.35,1530935431,0,0.0,1485.0,call,2,4,2018-07-12 17:00:00
5,230.95,225.95,0.0,REGULAR,AMZN180713C01490000,USD,1531440000,0.8314225842285151,True,239.7,1529344586,1,0.0,1490.0,call,1,4,2018-07-12 17:00:00
6,214.15,209.2,16.040009,REGULAR,AMZN180713C01500000,USD,1531440000,0.525273302001953,True,211.94,1530907080,15,8.187856,1500.0,call,2,4,2018-07-12 17:00:00
7,204.45,199.45,43.449997,REGULAR,AMZN180713C01510000,USD,1531440000,0.522953989257812,True,201.81,1530907080,1,27.43748,1510.0,call,1,4,2018-07-12 17:00:00
8,196.35,191.95,0.0,REGULAR,AMZN180713C01517500,USD,1531440000,0.601444415283203,True,179.85,1530935431,2,0.0,1517.5,call,1,4,2018-07-12 17:00:00
9,205.0,196.35,0.0,REGULAR,AMZN180713C01520000,USD,1531440000,0.795717374877929,True,200.0,1529120682,0,0.0,1520.0,call,1,4,2018-07-12 17:00:00
10,196.7,191.7,0.0,REGULAR,AMZN180713C01525000,USD,1531440000,0.74414318359375,True,205.75,1529726289,0,0.0,1525.0,call,1,4,2018-07-12 17:00:00
11,184.5,179.5,13.0,REGULAR,AMZN180713C01530000,USD,1531440000,0.592716475219726,True,181.95,1530890999,3,7.694584,1530.0,call,2,4,2018-07-12 17:00:00
12,177.1,172.1,0.0,REGULAR,AMZN180713C01537500,USD,1531440000,0.575809906005859,True,165.3,1530935432,1,0.0,1537.5,call,2,4,2018-07-12 17:00:00
