,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,53.0,48.6,-0.6800003,REGULAR,FB180713C00152500,USD,1531440000,0.957031679687499,True,49.47,1530893367,7,-1.3559326999999999,152.5,call,7,4,2018-07-12 17:00:00
1,47.1,46.1,0.0,REGULAR,FB180713C00155000,USD,1531440000,1e-05,True,48.56,1529520295,0,0.0,155.0,call,12,4,2018-07-12 17:00:00
2,48.0,43.6,0.0,REGULAR,FB180713C00157500,USD,1531440000,0.85937640625,True,36.25,1530625917,42,0.0,157.5,call,42,4,2018-07-12 17:00:00
3,43.65,43.1,2.0,REGULAR,FB180713C00160000,USD,1531440000,0.900391621093749,True,39.95,1530888639,11,5.270092,160.0,call,11,4,2018-07-12 17:00:00
4,41.0,40.65,0.0,REGULAR,FB180713C00162500,USD,1531440000,0.79883013671875,True,33.87,1530798658,9,0.0,162.5,call,2,4,2018-07-12 17:00:00
5,38.8,38.0,8.060001,REGULAR,FB180713C00165000,USD,1531440000,0.8183611914062491,True,37.95,1530901484,7,26.965546,165.0,call,15,4,2018-07-12 17:00:00
6,27.55,26.7,0.0,REGULAR,FB180713C00167500,USD,1531440000,1e-05,True,28.44,1530197602,5,0.0,167.5,call,1,4,2018-07-12 17:00:00
7,33.5,33.2,2.7800007,REGULAR,FB180713C00170000,USD,1531440000,0.679690703125,True,32.4,1530895008,1104,9.385552,170.0,call,13,4,2018-07-12 17:00:00
8,31.0,30.65,5.129999,REGULAR,FB180713C00172500,USD,1531440000,0.60937890625,True,30.58,1530900035,25,20.157167,172.5,call,21,4,2018-07-12 17:00:00
9,28.45,28.2,4.699999,REGULAR,FB180713C00175000,USD,1531440000,0.5625043750000001,True,28.3,1530905955,286,19.915249,175.0,call,76,4,2018-07-12 17:00:00
10,17.75,16.95,-4.0199986,REGULAR,FB180713C00177500,USD,1531440000,1e-05,True,17.78,1530300669,21,-18.440361,177.5,call,5,4,2018-07-12 17:00:00
11,23.5,23.25,5.700001,REGULAR,FB180713C00180000,USD,1531440000,0.5039112109375,True,23.7,1530905132,482,31.666672,180.0,call,159,4,2018-07-12 17:00:00
12,21.0,20.75,4.250001,REGULAR,FB180713C00182500,USD,1531440000,0.512700185546874,True,19.95,1530893831,130,27.070068,182.5,call,65,4,2018-07-12 17:00:00
13,18.5,18.25,5.2,REGULAR,FB180713C00185000,USD,1531440000,0.459966337890625,True,18.5,1530904556,1022,39.09774,185.0,call,287,4,2018-07-12 17:00:00
14,16.05,15.8,6.1899996,REGULAR,FB180713C00187500,USD,1531440000,0.42285733398437503,True,16.13,1530907110,1052,62.27364,187.5,call,110,4,2018-07-12 17:00:00
15,13.6,13.4,4.67,REGULAR,FB180713C00190000,USD,1531440000,0.380865566406249,True,13.67,1530907110,1664,51.88889,190.0,call,335,4,2018-07-12 17:00:00
16,11.2,11.0,3.4,REGULAR,FB180713C00192500,USD,1531440000,0.34619794433593704,True,10.5,1530906613,1592,47.887325,192.5,call,1304,4,2018-07-12 17:00:00
17,8.9,8.7,3.9,REGULAR,FB180713C00195000,USD,1531440000,0.31983102050781204,True,9.0,1530907141,1882,76.47059,195.0,call,1270,4,2018-07-12 17:00:00
18,6.7,6.55,3.3000002,REGULAR,FB180713C00197500,USD,1531440000,0.293219958496093,True,6.8,1530907138,2687,94.28572,197.5,call,5541,4,2018-07-12 17:00:00
19,4.75,4.6,2.55,REGULAR,FB180713C00200000,USD,1531440000,0.276130285644531,True,4.69,1530907178,6494,119.158875,200.0,call,13074,4,2018-07-12 17:00:00
20,3.1,2.99,1.8199999,REGULAR,FB180713C00202500,USD,1531440000,0.26209234008789,True,3.05,1530907191,3049,147.96747,202.5,call,7040,4,2018-07-12 17:00:00
21,1.83,1.78,1.16,REGULAR,FB180713C00205000,USD,1531440000,0.250984052734374,False,1.81,1530907199,3720,178.46153,205.0,call,14443,4,2018-07-12 17:00:00
22,1.0,0.93,0.65,REGULAR,FB180713C00207500,USD,1531440000,0.24707784179687503,False,0.99,1530907199,1241,191.17647,207.5,call,3254,4,2018-07-12 17:00:00
23,0.5,0.48,0.32,REGULAR,FB180713C00210000,USD,1531440000,0.24536887451171802,False,0.49,1530907194,1387,188.23529,210.0,call,2665,4,2018-07-12 17:00:00
