,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,7.45,7.3,0.0,REGULAR,EEM180713C00036000,USD,1531440000,1e-05,True,7.15,1530935115,0,0.0,36.0,call,59,3,2018-07-12 17:00:00
1,4.5,4.3,0.0,REGULAR,EEM180713C00039000,USD,1531440000,1e-05,True,4.35,1530935115,0,0.0,39.0,call,15,3,2018-07-12 17:00:00
2,4.0,3.85,0.0,REGULAR,EEM180713C00039500,USD,1531440000,1e-05,True,3.25,1530935115,3,0.0,39.5,call,3,3,2018-07-12 17:00:00
3,3.7,3.1,0.0,REGULAR,EEM180713C00040000,USD,1531440000,1e-05,True,3.44,1530935115,45,0.0,40.0,call,45,3,2018-07-12 17:00:00
4,2.99,2.81,0.0,REGULAR,EEM180713C00040500,USD,1531440000,1e-05,True,2.96,1530935115,0,0.0,40.5,call,45,3,2018-07-12 17:00:00
5,1.98,1.88,0.17000008,REGULAR,EEM180713C00041500,USD,1531440000,1e-05,True,1.58,1530884046,2,12.056744,41.5,call,1,3,2018-07-12 17:00:00
6,1.75,1.69,0.59000003,REGULAR,EEM180713C00042500,USD,1531440000,0.25781992187499997,True,1.6,1531150120,867,58.415848,42.5,call,6,3,2018-07-12 17:00:00
7,1.29,1.23,0.50999993,REGULAR,EEM180713C00043000,USD,1531440000,0.23438265625,True,1.18,1531164620,563,76.11939,43.0,call,227,3,2018-07-12 17:00:00
8,0.8200000000000001,0.78,0.40999997,REGULAR,EEM180713C00043500,USD,1531440000,0.185555019531249,True,0.78,1531166410,7531,110.81081,43.5,call,192,3,2018-07-12 17:00:00
9,0.46,0.42,0.23999998,REGULAR,EEM180713C00044000,USD,1531440000,0.17383638671875,True,0.39,1531161521,713,159.99998,44.0,call,506,3,2018-07-12 17:00:00
10,0.2,0.17,0.120000005,REGULAR,EEM180713C00044500,USD,1531440000,0.1601646484375,False,0.2,1531166372,302,150.00002,44.5,call,266,3,2018-07-12 17:00:00
11,0.07,0.05,0.010000002000000001,REGULAR,EEM180713C00045000,USD,1531440000,0.157234990234375,False,0.05,1531165650,2197,25.000006,45.0,call,241,3,2018-07-12 17:00:00
12,0.03,0.01,0.01,REGULAR,EEM180713C00045500,USD,1531440000,0.17188328125000002,False,0.02,1531159941,92,100.0,45.5,call,168,3,2018-07-12 17:00:00
13,0.02,0.0,-0.17,REGULAR,EEM180713C00046000,USD,1531440000,0.203132968749999,False,0.02,1531152556,10,-89.47369,46.0,call,17,3,2018-07-12 17:00:00
14,0.02,0.0,-0.02,REGULAR,EEM180713C00046500,USD,1531440000,0.2461012890625,False,0.02,1530284715,14,-50.0,46.5,call,12,3,2018-07-12 17:00:00
15,0.02,0.0,0.0,REGULAR,EEM180713C00047000,USD,1531440000,0.28906960937499904,False,0.03,1529947449,564,0.0,47.0,call,570,3,2018-07-12 17:00:00
16,0.03,0.0,-0.02,REGULAR,EEM180713C00047500,USD,1531440000,0.351568984374999,False,0.02,1529675148,2086,-50.0,47.5,call,9,3,2018-07-12 17:00:00
17,0.05,0.0,0.0,REGULAR,EEM180713C00048000,USD,1531440000,0.4335994140625,False,0.02,1529518164,55,0.0,48.0,call,11,3,2018-07-12 17:00:00
18,0.09,0.0,0.0,REGULAR,EEM180713C00048500,USD,1531440000,0.539067109375,False,0.01,1529588918,1,0.0,48.5,call,1,3,2018-07-12 17:00:00
19,0.1,0.07,0.0,REGULAR,EEM180713C00049000,USD,1531440000,0.5742230078125,False,0.14,1528307897,4,0.0,49.0,call,1,3,2018-07-12 17:00:00
20,0.1,0.0,0.0,REGULAR,EEM180713C00049500,USD,1531440000,0.5546919531250001,False,0.02,1530197289,1,0.0,49.5,call,1,3,2018-07-12 17:00:00
21,0.02,0.0,-0.02,REGULAR,EEM180713C00050500,USD,1531440000,0.500005,False,0.01,1530905021,2,-66.66667,50.5,call,1,3,2018-07-12 17:00:00
22,0.03,0.0,0.0,REGULAR,EEM180713C00052000,USD,1531440000,0.6250037500000001,False,0.01,1529725890,10,0.0,52.0,call,10,3,2018-07-12 17:00:00
23,0.03,0.0,0.0,REGULAR,EEM180713P00037000,USD,1531440000,0.6875031250000001,False,0.04,1530129169,74,0.0,37.0,put,74,3,2018-07-12 17:00:00
24,0.02,0.0,0.0,REGULAR,EEM180713P00038000,USD,1531440000,0.5625043750000001,False,0.03,1530935136,3,0.0,38.0,put,3,3,2018-07-12 17:00:00
25,0.02,0.0,-0.01,REGULAR,EEM180713P00039000,USD,1531440000,0.523442265625,False,0.01,1530897150,25844,-50.0,39.0,put,3,3,2018-07-12 17:00:00
26,0.01,0.0,-0.04,REGULAR,EEM180713P00039500,USD,1531440000,0.437505625,False,0.01,1531163608,21,-79.99999,39.5,put,400,3,2018-07-12 17:00:00
27,0.01,0.0,-0.01,REGULAR,EEM180713P00040000,USD,1531440000,0.39063109375,False,0.01,1531152088,20262,-50.0,40.0,put,15,3,2018-07-12 17:00:00
28,0.01,0.0,-0.02,REGULAR,EEM180713P00040500,USD,1531440000,0.34375656250000003,False,0.01,1531147876,1261,-66.66667,40.5,put,2,3,2018-07-12 17:00:00
