,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,34.0,29.55,0.0,REGULAR,AAPL180713C00152500,USD,1531440000,1e-05,True,32.05,1530330306,1,0.0,152.5,call,2,2,2018-07-12 17:00:00
1,30.75,30.45,0.0,REGULAR,AAPL180713C00157500,USD,1531440000,1e-05,True,30.45,1530935276,0,0.0,157.5,call,31,2,2018-07-12 17:00:00
2,28.15,28.0,0.0,REGULAR,AAPL180713C00162500,USD,1531440000,0.6992217578125001,True,27.4,1531155703,6,0.0,162.5,call,9,2,2018-07-12 17:00:00
3,25.8,25.35,0.0,REGULAR,AAPL180713C00165000,USD,1531440000,0.6406285937499999,True,25.19,1531144379,15,0.0,165.0,call,3,2,2018-07-12 17:00:00
4,23.35,22.8,0.0,REGULAR,AAPL180713C00167500,USD,1531440000,0.5820354296875,True,22.78,1531153137,3,0.0,167.5,call,1,2,2018-07-12 17:00:00
5,20.75,20.45,2.880001,REGULAR,AAPL180713C00170000,USD,1531440000,0.54883263671875,True,20.95,1531242311,30,15.938025,170.0,call,1627,2,2018-07-12 17:00:00
6,18.25,17.9,0.0,REGULAR,AAPL180713C00172500,USD,1531440000,0.583988535156249,True,17.73,1531144414,39,0.0,172.5,call,4,2,2018-07-12 17:00:00
7,15.6,15.45,0.5,REGULAR,AAPL180713C00175000,USD,1531440000,0.42969320312500003,True,16.1,1531239573,247,3.205128,175.0,call,42,2,2018-07-12 17:00:00
8,13.15,13.05,0.8000001999999999,REGULAR,AAPL180713C00177500,USD,1531440000,0.39942006835937505,True,13.6,1531237669,685,6.2500014,177.5,call,60,2,2018-07-12 17:00:00
9,10.6,10.45,0.059999466,REGULAR,AAPL180713C00180000,USD,1531440000,0.30664755859375,True,10.65,1531242561,1335,0.5665671999999999,180.0,call,1841,2,2018-07-12 17:00:00
10,8.25,8.1,0.05000019,REGULAR,AAPL180713C00182500,USD,1531440000,0.303717900390624,True,8.2,1531242637,1747,0.6134993,182.5,call,285,2,2018-07-12 17:00:00
11,5.8,5.7,-0.13000011,REGULAR,AAPL180713C00185000,USD,1531440000,0.24268335449218703,True,5.75,1531244621,4098,-2.2108862,185.0,call,697,2,2018-07-12 17:00:00
12,3.5,3.45,-0.29999995,REGULAR,AAPL180713C00187500,USD,1531440000,0.19702951416015602,True,3.4,1531244336,6601,-8.108107,187.5,call,1057,2,2018-07-12 17:00:00
13,1.62,1.6,-0.25,REGULAR,AAPL180713C00190000,USD,1531440000,0.170174313964843,True,1.62,1531244544,16010,-13.368983,190.0,call,8573,2,2018-07-12 17:00:00
14,0.5,0.49,-0.20999998,REGULAR,AAPL180713C00192500,USD,1531440000,0.15650257568359302,False,0.49,1531244496,17917,-29.999998,192.5,call,12560,2,2018-07-12 17:00:00
15,0.12,0.11,-0.08,REGULAR,AAPL180713C00195000,USD,1531440000,0.15967637207031202,False,0.11,1531244200,9038,-42.105263,195.0,call,6656,2,2018-07-12 17:00:00
16,0.04,0.03,-0.010000002000000001,REGULAR,AAPL180713C00197500,USD,1531440000,0.18067225585937502,False,0.04,1531241772,4024,-20.000004,197.5,call,1096,2,2018-07-12 17:00:00
17,0.02,0.01,0.0,REGULAR,AAPL180713C00200000,USD,1531440000,0.210945390624999,False,0.02,1531244273,2242,0.0,200.0,call,165,2,2018-07-12 17:00:00
18,0.01,0.0,0.0,REGULAR,AAPL180713C00202500,USD,1531440000,0.23438265625,False,0.01,1531242855,827,0.0,202.5,call,283,2,2018-07-12 17:00:00
19,0.01,0.0,0.0,REGULAR,AAPL180713C00205000,USD,1531440000,0.273444765625,False,0.01,1531234477,1827,0.0,205.0,call,262,2,2018-07-12 17:00:00
20,0.01,0.0,0.0,REGULAR,AAPL180713C00207500,USD,1531440000,0.312506874999999,False,0.01,1530817341,347,0.0,207.5,call,42,2,2018-07-12 17:00:00
21,4.95,0.0,0.0,REGULAR,AAPL180713C00210000,USD,1531440000,1.087406906738281,False,0.02,1530301820,668,0.0,210.0,call,6,2,2018-07-12 17:00:00
22,0.08,0.01,0.0,REGULAR,AAPL180713C00212500,USD,1531440000,0.5097705273437501,False,0.05,1529433974,35,0.0,212.5,call,23,2,2018-07-12 17:00:00
23,0.01,0.0,0.0,REGULAR,AAPL180713C00215000,USD,1531440000,0.42969320312500003,False,0.01,1530626207,1079,0.0,215.0,call,2,2,2018-07-12 17:00:00
24,0.13,0.05,0.0,REGULAR,AAPL180713C00217500,USD,1531440000,0.60937890625,False,0.11,1528488179,50,0.0,217.5,call,50,2,2018-07-12 17:00:00
25,4.95,0.0,-0.01,REGULAR,AAPL180713C00220000,USD,1531440000,1.37964177368164,False,0.02,1530279141,25,-33.333336,220.0,call,3,2,2018-07-12 17:00:00
