,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,361.7,354.9,0.0,REGULAR,GOOG180713C00800000,USD,1531440000,1.846192175292968,True,351.36,1531143848,15,0.0,800.0,call,10,1,2018-07-12 17:00:00
1,167.5,158.0,0.0,REGULAR,GOOG180713C00960000,USD,1531440000,1e-05,True,133.52,1527911653,11,0.0,960.0,call,11,1,2018-07-12 17:00:00
2,157.1,148.0,0.0,REGULAR,GOOG180713C00970000,USD,1531440000,1e-05,True,151.39,1527911653,0,0.0,970.0,call,8,1,2018-07-12 17:00:00
3,147.7,138.0,0.0,REGULAR,GOOG180713C00980000,USD,1531440000,1e-05,True,114.28,1527911653,11,0.0,980.0,call,11,1,2018-07-12 17:00:00
4,138.0,128.5,0.0,REGULAR,GOOG180713C00990000,USD,1531440000,1e-05,True,132.01,1527911653,0,0.0,990.0,call,8,1,2018-07-12 17:00:00
5,141.9,139.9,27.779999,REGULAR,GOOG180713C01000000,USD,1531440000,1e-05,True,140.67,1530904237,14,24.608025,1000.0,call,1,1,2018-07-12 17:00:00
6,151.8,145.0,0.0,REGULAR,GOOG180713C01010000,USD,1531440000,0.7934590966796871,True,141.6,1531337430,22,0.0,1010.0,call,23,1,2018-07-12 17:00:00
7,122.8,116.8,0.0,REGULAR,GOOG180713C01020000,USD,1531440000,1e-05,True,111.4,1530935889,0,0.0,1020.0,call,2,1,2018-07-12 17:00:00
8,131.8,126.0,34.83,REGULAR,GOOG180713C01030000,USD,1531440000,0.757326645507812,True,128.0,1531321862,2,37.383278,1030.0,call,2,1,2018-07-12 17:00:00
9,83.0,76.4,0.0,REGULAR,GOOG180713C01040000,USD,1531440000,1e-05,True,98.77,1530124741,50,0.0,1040.0,call,50,1,2018-07-12 17:00:00
10,94.6,92.4,0.0,REGULAR,GOOG180713C01047500,USD,1531440000,1e-05,True,74.6,1530814129,3,0.0,1047.5,call,2,1,2018-07-12 17:00:00
11,91.9,90.2,33.120003,REGULAR,GOOG180713C01050000,USD,1531440000,1e-05,True,91.4,1530907180,60,56.829105,1050.0,call,23,1,2018-07-12 17:00:00
12,69.1,62.8,0.0,REGULAR,GOOG180713C01055000,USD,1531440000,1e-05,True,81.55,1530033835,0,0.0,1055.0,call,1,1,2018-07-12 17:00:00
13,87.9,79.7,0.0,REGULAR,GOOG180713C01057500,USD,1531440000,1e-05,True,89.45,1528931798,0,0.0,1057.5,call,1,1,2018-07-12 17:00:00
14,82.9,77.2,0.0,REGULAR,GOOG180713C01060000,USD,1531440000,1e-05,True,66.21,1530556916,28,0.0,1060.0,call,28,1,2018-07-12 17:00:00
15,95.3,90.5,11.239998,REGULAR,GOOG180713C01065000,USD,1531440000,0.6787141503906251,True,85.9,1531315966,1,15.054912,1065.0,call,1,1,2018-07-12 17:00:00
16,72.2,70.1,0.0,REGULAR,GOOG180713C01070000,USD,1531440000,1e-05,True,55.6,1530935891,3,0.0,1070.0,call,3,1,2018-07-12 17:00:00
17,65.8,60.0,0.0,REGULAR,GOOG180713C01077500,USD,1531440000,1e-05,True,53.5,1530561000,5,0.0,1077.5,call,1,1,2018-07-12 17:00:00
18,63.4,57.6,0.0,REGULAR,GOOG180713C01080000,USD,1531440000,1e-05,True,56.72,1530935891,0,0.0,1080.0,call,5,1,2018-07-12 17:00:00
19,57.6,55.7,0.0,REGULAR,GOOG180713C01085000,USD,1531440000,1e-05,True,32.3,1530802345,13,0.0,1085.0,call,3,1,2018-07-12 17:00:00
20,53.3,48.2,3.8600006000000002,REGULAR,GOOG180713C01090000,USD,1531440000,1e-05,True,51.56,1530906029,13,8.092244,1090.0,call,23,1,2018-07-12 17:00:00
21,51.4,45.7,6.489998,REGULAR,GOOG180713C01092500,USD,1531440000,1e-05,True,38.6,1530935891,2,20.211765,1092.5,call,1,1,2018-07-12 17:00:00
22,59.3,57.5,0.0,REGULAR,GOOG180713C01095000,USD,1531440000,1e-05,True,59.2,1531166248,10,0.0,1095.0,call,1,1,2018-07-12 17:00:00
23,45.5,44.1,0.0,REGULAR,GOOG180713C01097500,USD,1531440000,1e-05,True,27.0,1530935891,4,0.0,1097.5,call,5,1,2018-07-12 17:00:00
24,54.3,52.8,0.0,REGULAR,GOOG180713C01100000,USD,1531440000,1e-05,True,50.3,1531162483,104,0.0,1100.0,call,9,1,2018-07-12 17:00:00
25,51.9,50.1,0.0,REGULAR,GOOG180713C01102500,USD,1531440000,1e-05,True,49.4,1531143738,16,0.0,1102.5,call,1,1,2018-07-12 17:00:00
26,49.4,47.7,6.0,REGULAR,GOOG180713C01105000,USD,1531440000,1e-05,True,47.8,1531252248,37,14.354067,1105.0,call,9,1,2018-07-12 17:00:00
27,54.7,47.7,0.0,REGULAR,GOOG180713C01107500,USD,1531440000,0.507207076416015,True,42.2,1531158714,19,0.0,1107.5,call,2,1,2018-07-12 17:00:00
28,44.5,42.8,2.880001,REGULAR,GOOG180713C01110000,USD,1531440000,1e-05,True,45.68,1531244132,57,6.728975,1110.0,call,2,1,2018-07-12 17:00:00
29,47.2,46.0,2.2200012,REGULAR,GOOG180713C01112500,USD,1531440000,0.367926242675781,True,45.32,1531337013,39,5.150815,1112.5,call,4,1,2018-07-12 17:00:00
30,39.6,38.2,0.29000092,REGULAR,GOOG180713C01115000,USD,1531440000,1e-05,True,38.5,1531252485,146,0.7589661,1115.0,call,23,1,2018-07-12 17:00:00
31,37.4,35.6,0.0,REGULAR,GOOG180713C01117500,USD,1531440000,1e-05,True,30.9,1531154332,37,0.0,1117.5,call,14,1,2018-07-12 17:00:00
32,34.8,33.4,0.6800003,REGULAR,GOOG180713C01120000,USD,1531440000,1e-05,True,33.98,1531244932,206,2.042043,1120.0,call,17,1,2018-07-12 17:00:00
33,32.4,31.1,4.41,REGULAR,GOOG180713C01122500,USD,1531440000,1e-05,True,36.67,1531241439,123,13.67018,1122.5,call,3,1,2018-07-12 17:00:00
34,30.1,29.1,-0.12999916,REGULAR,GOOG180713C01125000,USD,1531440000,1e-05,True,31.0,1531250935,151,-0.4176009,1125.0,call,7,1,2018-07-12 17:00:00
35,27.8,26.8,8.57,REGULAR,GOOG180713C01127500,USD,1531440000,1e-05,True,31.47,1531242636,130,37.42358,1127.5,call,1,1,2018-07-12 17:00:00
36,25.6,24.6,2.5,REGULAR,GOOG180713C01130000,USD,1531440000,1e-05,True,27.0,1531247810,285,10.204082,1130.0,call,142,1,2018-07-12 17:00:00
37,23.4,22.5,0.52000046,REGULAR,GOOG180713C01132500,USD,1531440000,1e-05,True,25.1,1531230605,56,2.115543,1132.5,call,3,1,2018-07-12 17:00:00
38,21.2,20.5,1.8500003999999999,REGULAR,GOOG180713C01135000,USD,1531440000,1e-05,True,23.65,1531237641,116,8.48624,1135.0,call,5,1,2018-07-12 17:00:00
39,19.2,18.5,-1.3400002,REGULAR,GOOG180713C01137500,USD,1531440000,1e-05,True,17.96,1531252228,92,-6.9430060000000005,1137.5,call,20,1,2018-07-12 17:00:00
40,17.3,16.5,0.10000038,REGULAR,GOOG180713C01140000,USD,1531440000,1e-05,True,18.1,1531251594,237,0.55555767,1140.0,call,154,1,2018-07-12 17:00:00
41,15.4,14.7,0.5,REGULAR,GOOG180713C01142500,USD,1531440000,0.10132734619140601,True,16.8,1531248249,43,3.0674849,1142.5,call,35,1,2018-07-12 17:00:00
42,13.6,13.0,-0.14000034,REGULAR,GOOG180713C01145000,USD,1531440000,0.121041504516601,True,14.86,1531250904,286,-0.9333355999999999,1145.0,call,95,1,2018-07-12 17:00:00
43,11.9,11.3,-0.19999981,REGULAR,GOOG180713C01147500,USD,1531440000,0.131600480957031,True,13.2,1531248528,178,-1.4925359999999999,1147.5,call,43,1,2018-07-12 17:00:00
44,10.4,9.8,-1.6999998,REGULAR,GOOG180713C01150000,USD,1531440000,0.14099980102539,True,10.0,1531252747,833,-14.529914,1150.0,call,153,1,2018-07-12 17:00:00
45,9.0,8.6,-1.5,REGULAR,GOOG180713C01152500,USD,1531440000,0.147469462890625,True,8.8,1531252796,106,-14.563106,1152.5,call,104,1,2018-07-12 17:00:00
46,7.7,7.2,-1.5799994,REGULAR,GOOG180713C01155000,USD,1531440000,0.15195550201416,True,7.4,1531252643,129,-17.594648,1155.0,call,178,1,2018-07-12 17:00:00
47,6.7,6.1,-2.1000004,REGULAR,GOOG180713C01157500,USD,1531440000,0.15967637207031202,True,5.7,1531251988,162,-26.92308,1157.5,call,360,1,2018-07-12 17:00:00
