,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,2.84,0.54,0.0,REGULAR,USO180713C00011500,USD,1531440000,0.500005,True,1.6099999999999999,1528488273,1,0.0,11.5,call,2,1,2018-07-12 17:00:00
1,2.9699999999999998,2.48,0.0,REGULAR,USO180713C00012000,USD,1531440000,2.558597353515624,True,2.84,1530810707,15,0.0,12.0,call,10,1,2018-07-12 17:00:00
2,2.42,1.57,0.86,REGULAR,USO180713C00012500,USD,1531440000,1.523439882812499,True,2.25,1530114331,9,61.870502,12.5,call,2,1,2018-07-12 17:00:00
3,2.08,2.05,0.0,REGULAR,USO180713C00013000,USD,1531440000,2.6093784765625,True,2.03,1531162316,570,0.0,13.0,call,120,1,2018-07-12 17:00:00
4,1.58,1.55,0.00999999,REGULAR,USO180713C00013500,USD,1531440000,2.175785810546875,True,1.51,1531243170,881,0.66666603,13.5,call,32,1,2018-07-12 17:00:00
5,1.08,1.05,0.05000007,REGULAR,USO180713C00014000,USD,1531440000,1.7265638671875,True,1.07,1531252188,6283,4.901968,14.0,call,628,1,2018-07-12 17:00:00
6,0.59,0.5700000000000001,0.040000020000000004,REGULAR,USO180713C00014500,USD,1531440000,1.26172244140625,False,0.56,1531245583,5855,7.6923122,14.5,call,1064,1,2018-07-12 17:00:00
7,0.18,0.17,0.0,REGULAR,USO180713C00015000,USD,1531440000,0.804689453125,False,0.19,1531248436,4920,0.0,15.0,call,1975,1,2018-07-12 17:00:00
8,0.03,0.02,-0.01,REGULAR,USO180713C00015500,USD,1531440000,0.585941640625,False,0.02,1531250153,1563,-33.333336,15.5,call,1510,1,2018-07-12 17:00:00
9,0.01,0.0,0.0,REGULAR,USO180713C00016000,USD,1531440000,0.5625043750000001,False,0.01,1531236008,10644,0.0,16.0,call,11,1,2018-07-12 17:00:00
10,0.01,0.0,0.0,REGULAR,USO180713C00016500,USD,1531440000,0.6875031250000001,False,0.01,1530810574,1038,0.0,16.5,call,50,1,2018-07-12 17:00:00
11,0.02,0.01,0.0,REGULAR,USO180713C00017000,USD,1531440000,0.9843751562499999,False,0.02,1530330397,676,0.0,17.0,call,676,1,2018-07-12 17:00:00
12,0.02,0.0,0.0,REGULAR,USO180713C00017500,USD,1531440000,1.0625046875,False,0.02,1530330397,200,0.0,17.5,call,2,1,2018-07-12 17:00:00
13,0.02,0.0,0.0,REGULAR,USO180713C00019000,USD,1531440000,1.40625296875,False,0.01,1529726230,500,0.0,19.0,call,500,1,2018-07-12 17:00:00
14,0.02,0.0,0.0,REGULAR,USO180713C00019500,USD,1531440000,1.5000025,False,0.01,1529726230,500,0.0,19.5,call,500,1,2018-07-12 17:00:00
15,0.02,0.0,0.0,REGULAR,USO180713P00011000,USD,1531440000,1.375003124999999,False,0.01,1529600276,12,0.0,11.0,put,1,1,2018-07-12 17:00:00
16,0.02,0.01,0.0,REGULAR,USO180713P00011500,USD,1531440000,1.250003749999999,False,0.02,1528827456,17,0.0,11.5,put,1,1,2018-07-12 17:00:00
17,0.02,0.0,-0.04,REGULAR,USO180713P00012000,USD,1531440000,0.9687503125,False,0.01,1529680138,473,-79.99999,12.0,put,19,1,2018-07-12 17:00:00
