,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,5.0,4.9,0.0,REGULAR,FXI180713C00038000,USD,1531440000,0.7500025,True,4.3,1531436122,60,0.0,38.0,call,60,0,2018-07-12 17:00:00
1,4.5,4.4,0.0,REGULAR,FXI180713C00038500,USD,1531440000,0.67187828125,True,3.8,1531436122,20,0.0,38.5,call,20,0,2018-07-12 17:00:00
2,2.91,2.87,0.0,REGULAR,FXI180713C00039500,USD,1531440000,1e-05,True,2.58,1530935508,5,0.0,39.5,call,6,0,2018-07-12 17:00:00
3,2.98,2.93,0.0,REGULAR,FXI180713C00040000,USD,1531440000,0.5898478515625001,True,2.88,1531240292,116,0.0,40.0,call,20,0,2018-07-12 17:00:00
4,2.48,2.43,0.5300001,REGULAR,FXI180713C00040500,USD,1531440000,0.507817421875,True,2.38,1531408090,112,28.648653,40.5,call,21,0,2018-07-12 17:00:00
5,1.97,1.9300000000000002,0.0,REGULAR,FXI180713C00041000,USD,1531440000,0.39453730468750003,True,1.05,1531332830,257,0.0,41.0,call,24,0,2018-07-12 17:00:00
6,1.49,1.44,0.72,REGULAR,FXI180713C00041500,USD,1531440000,0.35547519531249905,True,1.47,1531412143,144,96.0,41.5,call,4,0,2018-07-12 17:00:00
7,1.0,0.9500000000000001,0.5300000300000001,REGULAR,FXI180713C00042000,USD,1531440000,0.273444765625,True,0.98,1531425055,479,117.77779,42.0,call,67,0,2018-07-12 17:00:00
8,0.54,0.5,0.32999998,REGULAR,FXI180713C00042500,USD,1531440000,0.208992285156249,True,0.52,1531425290,3269,173.6842,42.5,call,3204,0,2018-07-12 17:00:00
9,0.2,0.17,0.12,REGULAR,FXI180713C00043000,USD,1531440000,0.179695703125,False,0.19,1531425137,668,171.42856,43.0,call,362,0,2018-07-12 17:00:00
10,0.18,0.16,-0.19000001,REGULAR,FXI180713C00043500,USD,1531440000,0.312506874999999,False,0.14,1531251731,586,-57.575756,43.5,call,43,0,2018-07-12 17:00:00
11,0.01,0.0,0.0,REGULAR,FXI180713C00044000,USD,1531440000,0.18750812500000003,False,0.01,1531409271,4374,0.0,44.0,call,1,0,2018-07-12 17:00:00
12,0.02,0.0,0.0,REGULAR,FXI180713C00044500,USD,1531440000,0.292975820312499,False,0.06,1531165227,96,0.0,44.5,call,38,0,2018-07-12 17:00:00
13,0.03,0.0,0.0,REGULAR,FXI180713C00045000,USD,1531440000,0.39844351562499997,False,0.02,1530819467,4600,0.0,45.0,call,4504,0,2018-07-12 17:00:00
14,0.02,0.0,0.0,REGULAR,FXI180713C00045500,USD,1531440000,0.42969320312500003,False,0.04,1530625382,33,0.0,45.5,call,15,0,2018-07-12 17:00:00
15,0.02,0.0,0.0,REGULAR,FXI180713C00046000,USD,1531440000,0.500005,False,0.04,1530627801,5601,0.0,46.0,call,7,0,2018-07-12 17:00:00
