,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,5.1,5.0,0.0,REGULAR,F180713C00006000,USD,1531440000,0.500005,True,5.1,1531436619,5,0.0,6.0,call,4,0,2018-07-12 17:00:00
1,4.6,4.5,0.0,REGULAR,F180713C00006500,USD,1531440000,0.500005,True,4.55,1531436619,0,0.0,6.5,call,2,0,2018-07-12 17:00:00
2,2.05,2.04,0.0,REGULAR,F180713C00009000,USD,1531440000,0.500005,True,2.04,1531436619,0,0.0,9.0,call,30,0,2018-07-12 17:00:00
3,1.57,1.53,0.0,REGULAR,F180713C00009500,USD,1531440000,0.500005,True,1.7000000000000002,1531229408,21,0.0,9.5,call,1,0,2018-07-12 17:00:00
4,1.26,1.24,0.00999999,REGULAR,F180713C00010000,USD,1531440000,1.8671881640625,True,1.23,1531232149,61,0.81967133,10.0,call,1,0,2018-07-12 17:00:00
5,0.56,0.54,-0.01999998,REGULAR,F180713C00010500,USD,1531440000,0.45313046874999996,True,0.5700000000000001,1531415358,596,-3.3898275,10.5,call,166,0,2018-07-12 17:00:00
6,0.08,0.07,-0.030000001000000002,REGULAR,F180713C00011000,USD,1531440000,0.1562584375,True,0.08,1531425554,2632,-27.272728,11.0,call,1751,0,2018-07-12 17:00:00
7,0.01,0.0,0.0,REGULAR,F180713C00011500,USD,1531440000,0.37500625,False,0.01,1531425340,6043,0.0,11.5,call,135,0,2018-07-12 17:00:00
8,0.01,0.0,0.0,REGULAR,F180713C00012000,USD,1531440000,0.5625043750000001,False,0.01,1531317301,2025,0.0,12.0,call,6,0,2018-07-12 17:00:00
9,0.02,0.0,0.0,REGULAR,F180713C00012500,USD,1531440000,0.9062509375000001,False,0.01,1530301926,1563,0.0,12.5,call,6,0,2018-07-12 17:00:00
10,0.01,0.0,0.0,REGULAR,F180713C00013000,USD,1531440000,1.000005,False,0.03,1531144292,92,0.0,13.0,call,15,0,2018-07-12 17:00:00
11,0.01,0.0,0.0,REGULAR,F180713C00013500,USD,1531440000,1.1875040625,False,0.03,1531436618,1,0.0,13.5,call,1,0,2018-07-12 17:00:00
12,0.03,0.0,0.0,REGULAR,F180713C00014500,USD,1531440000,1.843750781249999,False,0.05,1528931964,1,0.0,14.5,call,1,0,2018-07-12 17:00:00
13,0.01,0.0,0.0,REGULAR,F180713C00015500,USD,1531440000,1.8750006250000002,False,0.01,1531436619,1,0.0,15.5,call,1,0,2018-07-12 17:00:00
14,0.01,0.0,0.0,REGULAR,F180713C00016000,USD,1531440000,2.062504843749999,False,0.02,1531436619,3,0.0,16.0,call,3,0,2018-07-12 17:00:00
15,0.01,0.0,0.0,REGULAR,F180713C00016500,USD,1531440000,2.250004374999999,False,0.01,1531436619,3,0.0,16.5,call,3,0,2018-07-12 17:00:00
16,0.01,0.0,0.0,REGULAR,F180713C00017000,USD,1531440000,2.375004062499999,False,0.01,1530935114,0,0.0,17.0,call,2,0,2018-07-12 17:00:00
17,0.01,0.0,0.0,REGULAR,F180713P00006000,USD,1531440000,3.375001562499999,False,0.01,1530935125,0,0.0,6.0,put,1,0,2018-07-12 17:00:00
18,0.03,0.0,0.0,REGULAR,F180713P00008000,USD,1531440000,2.250004374999999,False,0.02,1530331001,1,0.0,8.0,put,1,0,2018-07-12 17:00:00
19,0.02,0.0,0.0,REGULAR,F180713P00009500,USD,1531440000,1.09375453125,False,0.03,1530935125,0,0.0,9.5,put,2,0,2018-07-12 17:00:00
