,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,16.75,12.45,0.0,REGULAR,VXX180713C00020000,USD,1531440000,9.843753847656252,True,13.18,1528488339,25,0.0,20.0,call,25,0,2018-07-12 17:00:00
1,11.9,10.4,0.0,REGULAR,VXX180713C00022000,USD,1531440000,6.085939892578125,True,9.75,1529726266,0,0.0,22.0,call,10,0,2018-07-12 17:00:00
2,6.65,6.35,0.0,REGULAR,VXX180713C00025000,USD,1531440000,1e-05,True,6.44,1529120790,15,0.0,25.0,call,15,0,2018-07-12 17:00:00
3,8.5,8.15,0.0,REGULAR,VXX180713C00026000,USD,1531440000,5.810549611816406,True,10.87,1530802178,0,0.0,26.0,call,2,0,2018-07-12 17:00:00
4,7.5,7.15,0.0,REGULAR,VXX180713C00027000,USD,1531440000,5.277347153320312,True,9.36,1530630112,8,0.0,27.0,call,1,0,2018-07-12 17:00:00
5,3.95,3.75,0.0,REGULAR,VXX180713C00028000,USD,1531440000,1.125004375,True,5.0,1531336957,139,0.0,28.0,call,220,0,2018-07-12 17:00:00
6,2.95,2.76,-0.89999986,REGULAR,VXX180713C00029000,USD,1531440000,0.890626093749999,True,3.2,1531418361,34,-21.951216,29.0,call,9,0,2018-07-12 17:00:00
7,2.46,2.26,0.0,REGULAR,VXX180713C00029500,USD,1531440000,0.7734397656249999,True,3.7,1531322716,5,0.0,29.5,call,1,0,2018-07-12 17:00:00
8,1.9500000000000002,1.73,-1.56,REGULAR,VXX180713C00030000,USD,1531440000,0.5937540625000001,True,1.74,1531425475,296,-47.272728,30.0,call,199,0,2018-07-12 17:00:00
9,1.45,1.27,-1.1999999,REGULAR,VXX180713C00030500,USD,1531440000,0.5039112109375,True,1.67,1531422878,165,-41.811844,30.5,call,47,0,2018-07-12 17:00:00
10,1.0,0.85,-1.0699999,REGULAR,VXX180713C00031000,USD,1531440000,0.56055126953125,True,0.85,1531425551,637,-55.729164,31.0,call,316,0,2018-07-12 17:00:00
11,0.64,0.51,-1.0799999,REGULAR,VXX180713C00031500,USD,1531440000,0.521489160156249,True,0.5700000000000001,1531426073,1276,-65.454544,31.5,call,580,0,2018-07-12 17:00:00
12,0.37,0.28,-1.05,REGULAR,VXX180713C00032000,USD,1531440000,0.500005,False,0.33,1531426425,4942,-76.08696,32.0,call,7681,0,2018-07-12 17:00:00
13,0.23,0.16,-0.79,REGULAR,VXX180713C00032500,USD,1531440000,0.539067109375,False,0.2,1531426250,4043,-79.79798,32.5,call,2986,0,2018-07-12 17:00:00
14,0.15,0.1,-0.63,REGULAR,VXX180713C00033000,USD,1531440000,0.54687953125,False,0.13,1531425621,6304,-82.89474,33.0,call,7918,0,2018-07-12 17:00:00
15,0.13,0.05,-0.46,REGULAR,VXX180713C00033500,USD,1531440000,0.6132851171875,False,0.09,1531426439,4213,-83.63636,33.5,call,3443,0,2018-07-12 17:00:00
16,0.1,0.05,-0.39,REGULAR,VXX180713C00034000,USD,1531440000,0.6953155468750001,False,0.05,1531426473,5733,-88.63636,34.0,call,3658,0,2018-07-12 17:00:00
17,0.08,0.03,-0.25,REGULAR,VXX180713C00034500,USD,1531440000,0.7460962890625,False,0.05,1531426091,2380,-83.33333,34.5,call,669,0,2018-07-12 17:00:00
18,0.03,0.02,-0.25,REGULAR,VXX180713C00035000,USD,1531440000,0.7187528125,False,0.02,1531426434,4877,-92.59259,35.0,call,1591,0,2018-07-12 17:00:00
19,0.05,0.02,-0.15,REGULAR,VXX180713C00035500,USD,1531440000,0.85937640625,False,0.03,1531426453,3291,-83.33333,35.5,call,508,0,2018-07-12 17:00:00
20,0.03,0.01,-0.13000001,REGULAR,VXX180713C00036000,USD,1531440000,0.85937640625,False,0.02,1531425564,5528,-86.666664,36.0,call,1938,0,2018-07-12 17:00:00
21,0.02,0.01,-0.11,REGULAR,VXX180713C00036500,USD,1531440000,0.890626093749999,False,0.02,1531425599,1564,-84.61539,36.5,call,134,0,2018-07-12 17:00:00
22,0.02,0.01,-0.11,REGULAR,VXX180713C00037000,USD,1531440000,0.9687503125,False,0.02,1531426064,2014,-84.61539,37.0,call,1180,0,2018-07-12 17:00:00
23,0.03,0.0,-0.080000006,REGULAR,VXX180713C00037500,USD,1531440000,1.03125484375,False,0.01,1531425879,2863,-88.88889,37.5,call,163,0,2018-07-12 17:00:00
24,0.02,0.01,-0.080000006,REGULAR,VXX180713C00038000,USD,1531440000,1.109379453125,False,0.01,1531425621,1290,-88.88889,38.0,call,179,0,2018-07-12 17:00:00
25,0.02,0.0,-0.05,REGULAR,VXX180713C00038500,USD,1531440000,1.125004375,False,0.02,1531424342,235,-71.42857,38.5,call,61,0,2018-07-12 17:00:00
26,0.02,0.0,-0.05,REGULAR,VXX180713C00039000,USD,1531440000,1.1875040625,False,0.02,1531423215,891,-71.42857,39.0,call,316,0,2018-07-12 17:00:00
27,0.02,0.0,-0.060000002000000004,REGULAR,VXX180713C00039500,USD,1531440000,1.250003749999999,False,0.01,1531424963,1213,-85.71429,39.5,call,49,0,2018-07-12 17:00:00
28,0.02,0.0,-0.049999997000000004,REGULAR,VXX180713C00040000,USD,1531440000,1.312503437499999,False,0.01,1531426143,3367,-83.33333,40.0,call,454,0,2018-07-12 17:00:00
29,0.02,0.0,-0.05,REGULAR,VXX180713C00040500,USD,1531440000,1.375003124999999,False,0.02,1531415181,392,-71.42857,40.5,call,11,0,2018-07-12 17:00:00
30,0.02,0.0,-0.030000001000000002,REGULAR,VXX180713C00041000,USD,1531440000,1.4375028125,False,0.02,1531411365,2630,-60.000004,41.0,call,11,0,2018-07-12 17:00:00
31,0.02,0.0,-0.049999997000000004,REGULAR,VXX180713C00041500,USD,1531440000,1.5000025,False,0.01,1531415134,719,-83.33333,41.5,call,10,0,2018-07-12 17:00:00
32,0.02,0.0,-0.03,REGULAR,VXX180713C00042000,USD,1531440000,1.531252343749999,False,0.03,1531406823,2955,-50.0,42.0,call,41,0,2018-07-12 17:00:00
33,0.02,0.0,0.0,REGULAR,VXX180713C00042500,USD,1531440000,1.593752031249999,False,0.05,1531334046,355,0.0,42.5,call,25,0,2018-07-12 17:00:00
34,0.01,0.0,-0.04,REGULAR,VXX180713C00043000,USD,1531440000,1.5000025,False,0.01,1531405397,970,-79.99999,43.0,call,45,0,2018-07-12 17:00:00
35,0.01,0.0,0.0,REGULAR,VXX180713C00044000,USD,1531440000,1.6250018750000002,False,0.04,1531331807,2964,0.0,44.0,call,20,0,2018-07-12 17:00:00
36,0.01,0.0,-0.03,REGULAR,VXX180713C00045000,USD,1531440000,1.75000125,False,0.01,1531423304,2597,-75.0,45.0,call,12,0,2018-07-12 17:00:00
37,0.01,0.0,0.0,REGULAR,VXX180713C00046000,USD,1531440000,1.812500937499999,False,0.04,1531324895,447,0.0,46.0,call,40,0,2018-07-12 17:00:00
38,0.01,0.0,-0.02,REGULAR,VXX180713C00047000,USD,1531440000,1.9375003125,False,0.01,1531424191,1717,-66.66667,47.0,call,36,0,2018-07-12 17:00:00
39,0.01,0.0,-0.02,REGULAR,VXX180713C00048000,USD,1531440000,2.000005,False,0.01,1531424201,747,-66.66667,48.0,call,6,0,2018-07-12 17:00:00
40,0.01,0.0,0.0,REGULAR,VXX180713C00049000,USD,1531440000,2.125004687499999,False,0.03,1531322650,261,0.0,49.0,call,5,0,2018-07-12 17:00:00
41,0.01,0.0,0.0,REGULAR,VXX180713C00050000,USD,1531440000,2.187504531249999,False,0.02,1531324725,4800,0.0,50.0,call,108,0,2018-07-12 17:00:00
42,0.01,0.0,-0.02,REGULAR,VXX180713C00051000,USD,1531440000,2.250004374999999,False,0.01,1531415252,1889,-66.66667,51.0,call,38,0,2018-07-12 17:00:00
43,0.01,0.0,0.0,REGULAR,VXX180713C00052000,USD,1531440000,2.375004062499999,False,0.02,1531333052,2416,0.0,52.0,call,9,0,2018-07-12 17:00:00
44,0.03,0.0,-0.030000001000000002,REGULAR,VXX180713C00053000,USD,1531440000,2.718753203125,False,0.02,1531244352,1570,-60.000004,53.0,call,17,0,2018-07-12 17:00:00
45,0.01,0.0,0.0,REGULAR,VXX180713C00054000,USD,1531440000,2.50000375,False,0.03,1531167281,312,0.0,54.0,call,22,0,2018-07-12 17:00:00
46,0.01,0.0,0.0,REGULAR,VXX180713C00055000,USD,1531440000,2.6250034375,False,0.05,1531147837,230,0.0,55.0,call,114,0,2018-07-12 17:00:00
47,0.01,0.0,0.0,REGULAR,VXX180713C00056000,USD,1531440000,2.6250034375,False,0.02,1531333268,153,0.0,56.0,call,7,0,2018-07-12 17:00:00
48,0.02,0.0,0.0,REGULAR,VXX180713C00057000,USD,1531440000,2.93750265625,False,0.03,1531150021,521,0.0,57.0,call,45,0,2018-07-12 17:00:00
49,0.01,0.0,0.0,REGULAR,VXX180713C00058000,USD,1531440000,2.81250296875,False,0.01,1531249397,43,0.0,58.0,call,10,0,2018-07-12 17:00:00
50,0.01,0.0,0.0,REGULAR,VXX180713C00059000,USD,1531440000,2.8750028125,False,0.02,1531322630,294,0.0,59.0,call,26,0,2018-07-12 17:00:00
51,0.01,0.0,0.0,REGULAR,VXX180713C00060000,USD,1531440000,3.0000025,False,0.01,1531339210,4860,0.0,60.0,call,22,0,2018-07-12 17:00:00
52,0.01,0.0,0.0,REGULAR,VXX180713C00061000,USD,1531440000,3.0000025,False,0.01,1531330861,689,0.0,61.0,call,40,0,2018-07-12 17:00:00
53,0.01,0.0,0.0,REGULAR,VXX180713C00062000,USD,1531440000,3.1250021875,False,0.01,1531316249,114,0.0,62.0,call,1,0,2018-07-12 17:00:00
54,0.01,0.0,0.0,REGULAR,VXX180713C00063000,USD,1531440000,3.1250021875,False,0.01,1531319625,90,0.0,63.0,call,8,0,2018-07-12 17:00:00
55,0.01,0.0,0.0,REGULAR,VXX180713C00064000,USD,1531440000,3.250001874999999,False,0.01,1531333349,192,0.0,64.0,call,70,0,2018-07-12 17:00:00
56,0.01,0.0,0.0,REGULAR,VXX180713C00065000,USD,1531440000,3.250001874999999,False,0.04,1531160197,295,0.0,65.0,call,1,0,2018-07-12 17:00:00
57,0.11,0.05,-0.22000001,REGULAR,VXX180713C00066000,USD,1531440000,4.546879316406249,False,0.08,1530900298,48,-73.333336,66.0,call,20,0,2018-07-12 17:00:00
58,0.01,0.0,0.0,REGULAR,VXX180713C00068000,USD,1531440000,3.50000125,False,0.02,1531436070,2,0.0,68.0,call,2,0,2018-07-12 17:00:00
59,0.01,0.0,0.0,REGULAR,VXX180713C00069000,USD,1531440000,3.50000125,False,0.01,1531243701,517,0.0,69.0,call,117,0,2018-07-12 17:00:00
60,0.01,0.0,0.0,REGULAR,VXX180713C00070000,USD,1531440000,3.6250009375000003,False,0.02,1531163015,398,0.0,70.0,call,236,0,2018-07-12 17:00:00
61,0.01,0.0,0.0,REGULAR,VXX180713C00071000,USD,1531440000,3.6250009375000003,False,0.02,1531151027,705,0.0,71.0,call,225,0,2018-07-12 17:00:00
62,0.01,0.0,0.0,REGULAR,VXX180713C00072000,USD,1531440000,3.6250009375000003,False,0.01,1531233058,39,0.0,72.0,call,35,0,2018-07-12 17:00:00
63,0.01,0.0,0.0,REGULAR,VXX180713C00074000,USD,1531440000,3.750000625,False,0.01,1531324104,28,0.0,74.0,call,10,0,2018-07-12 17:00:00
64,0.01,0.0,0.0,REGULAR,VXX180713C00075000,USD,1531440000,3.8750003125,False,0.03,1531149446,68,0.0,75.0,call,50,0,2018-07-12 17:00:00
65,0.08,0.04,0.0,REGULAR,VXX180713C00077000,USD,1531440000,5.109378613281249,False,0.17,1530545291,172,0.0,77.0,call,120,0,2018-07-12 17:00:00
66,0.01,0.0,0.0,REGULAR,VXX180713C00078000,USD,1531440000,4.000005,False,0.01,1531229471,72,0.0,78.0,call,8,0,2018-07-12 17:00:00
