,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,3.85,3.45,0.0,REGULAR,TLT180713C00116000,USD,1531440000,1e-05,True,3.85,1528931828,0,0.0,116.0,call,26,0,2018-07-12 17:00:00
1,4.6,3.3,0.6500001,REGULAR,TLT180713C00117500,USD,1531440000,1e-05,True,4.25,1530301769,12,18.055557,117.5,call,10,0,2018-07-12 17:00:00
2,4.6,2.7199999999999998,1.3600001,REGULAR,TLT180713C00118000,USD,1531440000,1e-05,True,4.03,1530285629,8,50.936337,118.0,call,2,0,2018-07-12 17:00:00
3,3.75,2.23,0.66999984,REGULAR,TLT180713C00118500,USD,1531440000,1e-05,True,3.33,1530299860,17,25.187963,118.5,call,10,0,2018-07-12 17:00:00
4,3.95,3.55,1.0999999,REGULAR,TLT180713C00119000,USD,1531440000,0.56836369140625,True,3.8,1530889996,1,40.740738,119.0,call,1,0,2018-07-12 17:00:00
5,2.73,2.1,0.03999996,REGULAR,TLT180713C00119500,USD,1531440000,1e-05,True,2.67,1530288512,282,1.5209111,119.5,call,7,0,2018-07-12 17:00:00
6,2.69,2.61,0.27999997,REGULAR,TLT180713C00120000,USD,1531440000,0.2500075,True,2.7199999999999998,1531494279,180,11.475408999999999,120.0,call,12,0,2018-07-12 17:00:00
7,2.19,2.11,0.0,REGULAR,TLT180713C00120500,USD,1531440000,0.210945390624999,True,1.78,1531412791,146,0.0,120.5,call,92,0,2018-07-12 17:00:00
8,1.69,1.6099999999999999,0.42000008,REGULAR,TLT180713C00121000,USD,1531440000,0.16993017578125003,True,1.7000000000000002,1531494389,539,32.812508,121.0,call,38,0,2018-07-12 17:00:00
9,1.19,1.12,0.24000001,REGULAR,TLT180713C00121500,USD,1531440000,0.12891496093750002,True,1.1400000000000001,1531495986,2255,26.666668,121.5,call,134,0,2018-07-12 17:00:00
10,0.7000000000000001,0.61,0.16,REGULAR,TLT180713C00122000,USD,1531440000,0.09278250976562501,True,0.64,1531500690,430,33.333336,122.0,call,88,0,2018-07-12 17:00:00
11,0.22,0.16,0.030000001000000002,REGULAR,TLT180713C00122500,USD,1531440000,0.04883763671875,True,0.19,1531500861,1307,18.750002,122.5,call,269,0,2018-07-12 17:00:00
12,0.02,0.01,-0.030000001000000002,REGULAR,TLT180713C00123000,USD,1531440000,0.04688453125,False,0.02,1531500222,4357,-60.000004,123.0,call,130,0,2018-07-12 17:00:00
13,0.01,0.0,-0.04,REGULAR,TLT180713C00123500,USD,1531440000,0.07813421875000001,False,0.01,1531500696,6223,-79.99999,123.5,call,50,0,2018-07-12 17:00:00
14,0.01,0.0,0.0,REGULAR,TLT180713C00124000,USD,1531440000,0.1132901171875,False,0.01,1531500515,3614,0.0,124.0,call,72,0,2018-07-12 17:00:00
15,0.02,0.0,0.0,REGULAR,TLT180713C00124500,USD,1531440000,0.1679770703125,False,0.02,1531159858,1269,0.0,124.5,call,401,0,2018-07-12 17:00:00
16,0.02,0.0,0.0,REGULAR,TLT180713C00125000,USD,1531440000,0.203132968749999,False,0.01,1531244586,342,0.0,125.0,call,1,0,2018-07-12 17:00:00
17,0.02,0.0,0.0,REGULAR,TLT180713C00125500,USD,1531440000,0.23828886718749903,False,0.01,1531233443,79,0.0,125.5,call,1,0,2018-07-12 17:00:00
18,0.03,0.0,0.0,REGULAR,TLT180713C00126000,USD,1531440000,0.292975820312499,False,0.02,1530813639,57,0.0,126.0,call,2,0,2018-07-12 17:00:00
19,0.02,0.0,0.0,REGULAR,TLT180713C00126500,USD,1531440000,0.304694453125,False,0.01,1531415826,39,0.0,126.5,call,11,0,2018-07-12 17:00:00
20,0.02,0.0,-0.01,REGULAR,TLT180713C00127000,USD,1531440000,0.335944140625,False,0.01,1530906082,30,-50.0,127.0,call,194,0,2018-07-12 17:00:00
21,0.14,0.05,0.0,REGULAR,TLT180713C00127500,USD,1531440000,0.5410202148437501,False,0.13,1527911844,1,0.0,127.5,call,15,0,2018-07-12 17:00:00
22,0.02,0.0,0.0,REGULAR,TLT180713C00128000,USD,1531440000,0.39844351562499997,False,0.01,1531154135,56,0.0,128.0,call,1,0,2018-07-12 17:00:00
