,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,17.7,17.5,-2.17,REGULAR,GLD180720C00100000,USD,1532044800,0.648441015625,True,17.5,1531509576,218,-11.032028,100.0,call,12,3,2018-07-19 17:00:00
1,18.1,17.8,1.1000003999999999,REGULAR,GLD180720C00101000,USD,1532044800,1.304690976562499,True,17.9,1530935230,0,6.5476217,101.0,call,1,3,2018-07-19 17:00:00
2,11.1,10.65,-1.8000002,REGULAR,GLD180720C00108000,USD,1532044800,0.8759778027343751,True,11.0,1530289077,2,-14.062502,108.0,call,60,3,2018-07-19 17:00:00
3,8.75,8.5,-0.28999996,REGULAR,GLD180720C00109000,USD,1532044800,0.44824770507812406,True,8.67,1531511381,2,-3.2366066,109.0,call,1,3,2018-07-19 17:00:00
4,7.75,7.55,-0.40000009999999997,REGULAR,GLD180720C00110000,USD,1532044800,0.4062559375,True,7.65,1531506800,82,-4.9689455,110.0,call,1,3,2018-07-19 17:00:00
5,8.2,7.5,-2.4999995,REGULAR,GLD180720C00111000,USD,1532044800,0.690921059570312,True,7.9,1530288100,3,-24.038458,111.0,call,1,3,2018-07-19 17:00:00
6,5.75,5.55,0.0,REGULAR,GLD180720C00112000,USD,1532044800,0.32031929687499905,True,6.38,1531321329,45,0.0,112.0,call,1,3,2018-07-19 17:00:00
7,6.1,5.85,1.3200002,REGULAR,GLD180720C00113000,USD,1532044800,0.594242338867187,True,6.02,1530895709,42,28.085114,113.0,call,2,3,2018-07-19 17:00:00
8,4.25,4.05,0.0,REGULAR,GLD180720C00113500,USD,1532044800,0.25391371093750004,True,4.15,1531540287,0,0.0,113.5,call,2,3,2018-07-19 17:00:00
9,3.75,3.6,-0.12999988,REGULAR,GLD180720C00114000,USD,1532044800,0.2304764453125,True,3.71,1531505539,138,-3.3854134,114.0,call,1,3,2018-07-19 17:00:00
10,3.25,3.15,0.0,REGULAR,GLD180720C00114500,USD,1532044800,0.207527456054687,True,3.15,1531540288,0,0.0,114.5,call,12,3,2018-07-19 17:00:00
11,2.73,2.69,-0.51,REGULAR,GLD180720C00115000,USD,1532044800,0.17725432128906202,True,2.7,1531510587,767,-15.887851,115.0,call,94,3,2018-07-19 17:00:00
12,2.16,2.12,-0.21000004,REGULAR,GLD180720C00115500,USD,1532044800,0.130379790039062,True,2.11,1531768516,21,-9.051726,115.5,call,41,3,2018-07-19 17:00:00
13,1.8,1.76,-0.43000007,REGULAR,GLD180720C00116000,USD,1532044800,0.146004633789062,True,1.79,1531506201,440,-19.369373,116.0,call,39,3,2018-07-19 17:00:00
14,1.26,1.23,-0.37,REGULAR,GLD180720C00116500,USD,1532044800,0.10840735351562501,True,1.09,1531759237,15,-25.342464,116.5,call,54,3,2018-07-19 17:00:00
15,1.0,0.96,-0.37,REGULAR,GLD180720C00117000,USD,1532044800,0.125985302734375,True,0.97,1531510357,924,-27.61194,117.0,call,425,3,2018-07-19 17:00:00
