,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,35.45,35.2,0.0,REGULAR,MU180720C00021000,USD,1532044800,4.359379550781249,True,32.3,1531145897,1299,0.0,21.0,call,1,3,2018-07-19 17:00:00
1,32.7,32.5,0.0,REGULAR,MU180720C00022000,USD,1532044800,1e-05,True,36.92,1527783331,200,0.0,22.0,call,3,3,2018-07-19 17:00:00
2,25.35,25.2,0.0,REGULAR,MU180720C00023000,USD,1532044800,1e-05,True,26.6,1524763298,98,0.0,23.0,call,1,3,2018-07-19 17:00:00
3,37.6,37.4,0.0,REGULAR,MU180720C00024000,USD,1532044800,10.01953498779297,True,35.2,1527084546,961,0.0,24.0,call,7,3,2018-07-19 17:00:00
4,31.45,31.25,0.0,REGULAR,MU180720C00025000,USD,1532044800,3.72656318359375,True,30.4,1531421432,915,0.0,25.0,call,5,3,2018-07-19 17:00:00
5,25.7,25.3,-3.7399998,REGULAR,MU180720C00026000,USD,1532044800,1e-05,True,25.15,1530635759,850,-12.945655,26.0,call,27,3,2018-07-19 17:00:00
6,29.45,29.2,0.0,REGULAR,MU180720C00027000,USD,1532044800,3.328126679687499,True,26.75,1531143002,143,0.0,27.0,call,2,3,2018-07-19 17:00:00
7,29.3,29.0,0.0,REGULAR,MU180720C00028000,USD,1532044800,4.646488566894532,True,32.0,1529589290,126,0.0,28.0,call,3,3,2018-07-19 17:00:00
8,27.45,27.2,0.0,REGULAR,MU180720C00029000,USD,1532044800,3.03906490234375,True,26.55,1531242940,413,0.0,29.0,call,10,3,2018-07-19 17:00:00
9,26.45,26.2,0.0,REGULAR,MU180720C00030000,USD,1532044800,2.89844025390625,True,23.93,1531157293,970,0.0,30.0,call,1,3,2018-07-19 17:00:00
10,20.75,20.35,0.0,REGULAR,MU180720C00031000,USD,1532044800,1e-05,True,22.95,1530555782,378,0.0,31.0,call,265,3,2018-07-19 17:00:00
11,24.45,24.2,2.83,REGULAR,MU180720C00032000,USD,1532044800,2.636722158203125,True,24.37,1531498275,287,13.138347,32.0,call,2,3,2018-07-19 17:00:00
12,27.35,27.1,-2.6800003,REGULAR,MU180720C00033000,USD,1532044800,6.205080368652344,True,27.41,1528910302,274,-8.906614,33.0,call,6,3,2018-07-19 17:00:00
13,17.75,17.35,0.0,REGULAR,MU180720C00034000,USD,1532044800,1e-05,True,20.3,1530560169,323,0.0,34.0,call,10,3,2018-07-19 17:00:00
14,21.45,21.2,1.2199993,REGULAR,MU180720C00035000,USD,1532044800,2.265629335937499,True,21.46,1531494867,1618,6.0276647,35.0,call,1,3,2018-07-19 17:00:00
15,20.5,20.2,0.0,REGULAR,MU180720C00036000,USD,1532044800,2.207035732421874,True,18.98,1531230779,523,0.0,36.0,call,3,3,2018-07-19 17:00:00
16,19.5,19.2,0.0,REGULAR,MU180720C00037000,USD,1532044800,2.089848525390624,True,16.83,1531156304,504,0.0,37.0,call,50,3,2018-07-19 17:00:00
17,18.5,18.2,0.0,REGULAR,MU180720C00038000,USD,1532044800,1.9765626171875001,True,16.2,1531164790,696,0.0,38.0,call,38,3,2018-07-19 17:00:00
