,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,0.0,0.0,0.0,REGULAR,IQ180720C00007500,USD,1532044800,1e-05,True,29.9,1531922214,0,0.0,7.5,call,4,0,2018-07-19 17:00:00
1,27.5,26.6,23.0,REGULAR,IQ180720C00010000,USD,1532044800,36.33594182250977,True,23.0,1530797471,3,100.0,10.0,call,1,0,2018-07-19 17:00:00
2,25.4,23.5,31.8,REGULAR,IQ180720C00012500,USD,1532044800,29.382813317871094,True,31.8,1529429223,27,100.0,12.5,call,0,0,2018-07-19 17:00:00
3,0.0,0.0,0.0,REGULAR,IQ180720C00015000,USD,1532044800,1e-05,True,19.39,1532019139,0,0.0,15.0,call,2,0,2018-07-19 17:00:00
4,19.8,19.2,16.62,REGULAR,IQ180720C00017500,USD,1532044800,21.093753408203124,True,16.62,1531500971,56,100.0,17.5,call,2,0,2018-07-19 17:00:00
5,0.0,0.0,0.0,REGULAR,IQ180720C00020000,USD,1532044800,1e-05,True,15.0,1532015452,0,0.0,20.0,call,8,0,2018-07-19 17:00:00
6,0.0,0.0,0.0,REGULAR,IQ180720C00022500,USD,1532044800,1e-05,True,10.0,1532029791,0,0.0,22.5,call,10,0,2018-07-19 17:00:00
7,0.0,0.0,0.0,REGULAR,IQ180720C00025000,USD,1532044800,1e-05,True,7.8,1532029420,0,0.0,25.0,call,20,0,2018-07-19 17:00:00
8,0.0,0.0,0.0,REGULAR,IQ180720C00030000,USD,1532044800,1e-05,True,2.69,1532030384,0,0.0,30.0,call,829,0,2018-07-19 17:00:00
9,0.0,0.0,0.0,REGULAR,IQ180720C00035000,USD,1532044800,0.2500075,False,0.1,1532030379,0,0.0,35.0,call,7471,0,2018-07-19 17:00:00
10,0.0,0.0,0.0,REGULAR,IQ180720C00037000,USD,1532044800,0.500005,False,0.02,1532030276,0,0.0,37.0,call,3072,0,2018-07-19 17:00:00
11,0.0,0.0,0.0,REGULAR,IQ180720C00037500,USD,1532044800,0.500005,False,0.03,1532030276,0,0.0,37.5,call,868,0,2018-07-19 17:00:00
12,0.0,0.0,0.0,REGULAR,IQ180720C00038000,USD,1532044800,0.500005,False,0.03,1532030094,0,0.0,38.0,call,449,0,2018-07-19 17:00:00
13,0.0,0.0,0.0,REGULAR,IQ180720C00038500,USD,1532044800,0.500005,False,0.02,1532029378,0,0.0,38.5,call,193,0,2018-07-19 17:00:00
14,0.0,0.0,0.0,REGULAR,IQ180720C00039000,USD,1532044800,0.500005,False,0.03,1532027260,0,0.0,39.0,call,141,0,2018-07-19 17:00:00
15,0.0,0.0,0.0,REGULAR,IQ180720C00039500,USD,1532044800,0.500005,False,0.03,1532009625,0,0.0,39.5,call,130,0,2018-07-19 17:00:00
16,0.0,0.0,0.0,REGULAR,IQ180720C00040000,USD,1532044800,0.500005,False,0.03,1532029076,0,0.0,40.0,call,433,0,2018-07-19 17:00:00
17,0.0,0.0,0.0,REGULAR,IQ180720C00040500,USD,1532044800,0.500005,False,0.02,1532028441,0,0.0,40.5,call,24,0,2018-07-19 17:00:00
18,0.0,0.0,0.0,REGULAR,IQ180720C00041000,USD,1532044800,0.500005,False,0.03,1532025912,0,0.0,41.0,call,9,0,2018-07-19 17:00:00
19,0.0,0.0,0.0,REGULAR,IQ180720C00041500,USD,1532044800,0.500005,False,0.03,1532029069,0,0.0,41.5,call,5,0,2018-07-19 17:00:00
20,0.0,0.0,0.0,REGULAR,IQ180720C00042000,USD,1532044800,0.500005,False,0.09,1532007001,0,0.0,42.0,call,20,0,2018-07-19 17:00:00
21,0.0,0.0,0.0,REGULAR,IQ180720C00042500,USD,1532044800,0.500005,False,0.05,1531928374,0,0.0,42.5,call,19,0,2018-07-19 17:00:00
22,0.0,0.0,0.0,REGULAR,IQ180720C00043000,USD,1532044800,0.500005,False,0.06,1531922828,0,0.0,43.0,call,5,0,2018-07-19 17:00:00
23,0.0,0.0,0.0,REGULAR,IQ180720C00043500,USD,1532044800,0.500005,False,0.05,1531921548,0,0.0,43.5,call,23,0,2018-07-19 17:00:00
24,0.0,0.0,0.0,REGULAR,IQ180720C00044000,USD,1532044800,0.500005,False,0.30000000000000004,1531920601,0,0.0,44.0,call,1,0,2018-07-19 17:00:00
25,0.0,0.0,0.0,REGULAR,IQ180720C00044500,USD,1532044800,0.500005,False,0.05,1532017086,0,0.0,44.5,call,1,0,2018-07-19 17:00:00
26,0.0,0.0,0.0,REGULAR,IQ180720C00045000,USD,1532044800,0.500005,False,0.01,1532028017,0,0.0,45.0,call,10,0,2018-07-19 17:00:00
27,0.0,0.0,0.0,REGULAR,IQ180720C00045500,USD,1532044800,0.500005,False,0.05,1531850406,0,0.0,45.5,call,12,0,2018-07-19 17:00:00
28,0.15,0.0,0.05,REGULAR,IQ180720C00046000,USD,1532044800,3.43750140625,False,0.05,1531750754,112,50.0,46.0,call,6,0,2018-07-19 17:00:00
