,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,0.0,0.0,0.0,REGULAR,QQQ180720C00095000,USD,1532044800,1e-05,True,84.04,1532019744,0,0.0,95.0,call,20,0,2018-07-19 17:00:00
1,78.29,77.6,79.21,REGULAR,QQQ180720C00100000,USD,1532044800,1e-05,True,79.21,1531422285,14,100.0,100.0,call,1,0,2018-07-19 17:00:00
2,73.29,72.6,74.22,REGULAR,QQQ180720C00105000,USD,1532044800,1e-05,True,74.22,1531422285,5,100.0,105.0,call,5,0,2018-07-19 17:00:00
3,68.29,67.6,59.33,REGULAR,QQQ180720C00110000,USD,1532044800,1e-05,True,59.33,1530196735,2,100.0,110.0,call,2,0,2018-07-19 17:00:00
4,63.3,62.6,64.8,REGULAR,QQQ180720C00115000,USD,1532044800,1e-05,True,64.8,1531499186,22,100.0,115.0,call,2,0,2018-07-19 17:00:00
5,58.3,57.6,52.7,REGULAR,QQQ180720C00120000,USD,1532044800,1e-05,True,52.7,1530809954,6,100.0,120.0,call,3,0,2018-07-19 17:00:00
6,53.3,52.61,48.75,REGULAR,QQQ180720C00125000,USD,1532044800,1e-05,True,48.75,1530885375,19,100.0,125.0,call,1,0,2018-07-19 17:00:00
7,52.3,51.61,44.78,REGULAR,QQQ180720C00126000,USD,1532044800,1e-05,True,44.78,1530123196,1,100.0,126.0,call,2,0,2018-07-19 17:00:00
8,50.3,49.61,46.27,REGULAR,QQQ180720C00128000,USD,1532044800,1e-05,True,46.27,0,0,100.0,128.0,call,0,0,2018-07-19 17:00:00
9,49.3,48.61,43.33,REGULAR,QQQ180720C00129000,USD,1532044800,1e-05,True,43.33,1530289845,2,100.0,129.0,call,4,0,2018-07-19 17:00:00
10,48.3,47.61,44.59,REGULAR,QQQ180720C00130000,USD,1532044800,1e-05,True,44.59,1530889872,6,100.0,130.0,call,3,0,2018-07-19 17:00:00
11,47.3,46.61,45.02,REGULAR,QQQ180720C00131000,USD,1532044800,1e-05,True,45.02,1529689198,17,100.0,131.0,call,0,0,2018-07-19 17:00:00
12,46.3,45.61,41.26,REGULAR,QQQ180720C00132000,USD,1532044800,1e-05,True,41.26,1530624779,0,100.0,132.0,call,20,0,2018-07-19 17:00:00
13,44.3,43.61,41.27,REGULAR,QQQ180720C00134000,USD,1532044800,1e-05,True,41.27,0,0,100.0,134.0,call,0,0,2018-07-19 17:00:00
14,0.0,0.0,0.0,REGULAR,QQQ180720C00135000,USD,1532044800,1e-05,True,44.13,1532028947,0,0.0,135.0,call,2,0,2018-07-19 17:00:00
15,41.3,40.61,39.56,REGULAR,QQQ180720C00137000,USD,1532044800,1e-05,True,39.56,0,0,100.0,137.0,call,0,0,2018-07-19 17:00:00
16,40.3,39.61,38.55,REGULAR,QQQ180720C00138000,USD,1532044800,1e-05,True,38.55,0,0,100.0,138.0,call,0,0,2018-07-19 17:00:00
17,39.3,38.61,28.82,REGULAR,QQQ180720C00139000,USD,1532044800,1e-05,True,28.82,0,0,100.0,139.0,call,0,0,2018-07-19 17:00:00
18,0.0,0.0,0.0,REGULAR,QQQ180720C00140000,USD,1532044800,1e-05,True,39.13,1532029053,0,0.0,140.0,call,4,0,2018-07-19 17:00:00
19,37.3,36.61,33.69,REGULAR,QQQ180720C00141000,USD,1532044800,1e-05,True,33.69,0,8,100.0,141.0,call,0,0,2018-07-19 17:00:00
20,36.3,35.61,34.69,REGULAR,QQQ180720C00142000,USD,1532044800,1e-05,True,34.69,0,0,100.0,142.0,call,0,0,2018-07-19 17:00:00
21,35.31,34.61,17.56,REGULAR,QQQ180720C00143000,USD,1532044800,1e-05,True,17.56,0,0,100.0,143.0,call,0,0,2018-07-19 17:00:00
22,34.31,33.61,32.88,REGULAR,QQQ180720C00144000,USD,1532044800,1e-05,True,32.88,0,1,100.0,144.0,call,0,0,2018-07-19 17:00:00
23,0.0,0.0,0.0,REGULAR,QQQ180720C00145000,USD,1532044800,1e-05,True,34.57,1532014521,0,0.0,145.0,call,2,0,2018-07-19 17:00:00
24,32.31,31.61,31.14,REGULAR,QQQ180720C00146000,USD,1532044800,1e-05,True,31.14,0,1,100.0,146.0,call,0,0,2018-07-19 17:00:00
25,31.31,30.61,27.67,REGULAR,QQQ180720C00147000,USD,1532044800,1e-05,True,27.67,0,46,100.0,147.0,call,0,0,2018-07-19 17:00:00
26,30.31,29.62,29.21,REGULAR,QQQ180720C00148000,USD,1532044800,1e-05,True,29.21,0,0,100.0,148.0,call,0,0,2018-07-19 17:00:00
27,29.31,28.62,30.47,REGULAR,QQQ180720C00149000,USD,1532044800,1e-05,True,30.47,1531756241,150,137.74864,149.0,call,1,0,2018-07-19 17:00:00
28,0.0,0.0,0.0,REGULAR,QQQ180720C00150000,USD,1532044800,1e-05,True,29.01,1532019906,0,0.0,150.0,call,15,0,2018-07-19 17:00:00
29,0.0,0.0,0.0,REGULAR,QQQ180720C00151000,USD,1532044800,1e-05,True,27.86,1532029890,0,0.0,151.0,call,1,0,2018-07-19 17:00:00
30,0.0,0.0,0.0,REGULAR,QQQ180720C00152000,USD,1532044800,1e-05,True,27.11,1532026563,0,0.0,152.0,call,5,0,2018-07-19 17:00:00
31,0.0,0.0,0.0,REGULAR,QQQ180720C00153000,USD,1532044800,1e-05,True,27.11,1531943613,0,0.0,153.0,call,26,0,2018-07-19 17:00:00
32,0.0,0.0,0.0,REGULAR,QQQ180720C00154000,USD,1532044800,1e-05,True,24.92,1532030622,0,0.0,154.0,call,5,0,2018-07-19 17:00:00
33,23.82,23.12,22.08,REGULAR,QQQ180720C00154500,USD,1532044800,1e-05,True,22.08,1529332905,1,100.0,154.5,call,0,0,2018-07-19 17:00:00
34,0.0,0.0,0.0,REGULAR,QQQ180720C00155000,USD,1532044800,1e-05,True,24.07,1532028746,0,0.0,155.0,call,8,0,2018-07-19 17:00:00
35,22.32,21.63,23.43,REGULAR,QQQ180720C00156000,USD,1532044800,1e-05,True,23.43,1531764791,912,112.536026,156.0,call,3,0,2018-07-19 17:00:00
36,0.0,0.0,0.0,REGULAR,QQQ180720C00157000,USD,1532044800,1e-05,True,22.18,1532020617,0,0.0,157.0,call,2,0,2018-07-19 17:00:00
37,0.0,0.0,0.0,REGULAR,QQQ180720C00158000,USD,1532044800,1e-05,True,22.29,1531851775,0,0.0,158.0,call,6,0,2018-07-19 17:00:00
38,19.82,19.13,13.66,REGULAR,QQQ180720C00158500,USD,1532044800,1e-05,True,13.66,1530634373,10,100.0,158.5,call,6,0,2018-07-19 17:00:00
39,0.0,0.0,0.0,REGULAR,QQQ180720C00159000,USD,1532044800,1e-05,True,20.39,1532012639,0,0.0,159.0,call,1,0,2018-07-19 17:00:00
40,18.82,18.13,18.19,REGULAR,QQQ180720C00159500,USD,1532044800,1e-05,True,18.19,1531233818,11,100.0,159.5,call,1,0,2018-07-19 17:00:00
41,0.0,0.0,0.0,REGULAR,QQQ180720C00160000,USD,1532044800,1e-05,True,18.93,1532030871,0,0.0,160.0,call,12,0,2018-07-19 17:00:00
42,17.83,17.14,11.35,REGULAR,QQQ180720C00160500,USD,1532044800,1e-05,True,11.35,1530802399,5,100.0,160.5,call,5,0,2018-07-19 17:00:00
