,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,14.4,13.65,14.49,REGULAR,SLV180720C00001000,USD,1532044800,57.12500107421875,True,14.49,0,3,100.0,1.0,call,0,0,2018-07-19 17:00:00
1,6.15,5.6,6.0,REGULAR,SLV180720C00009000,USD,1532044800,9.109379306640626,True,6.0,1531150775,3,100.0,9.0,call,1,0,2018-07-19 17:00:00
2,0.0,0.0,0.0,REGULAR,SLV180720C00010000,USD,1532044800,1e-05,True,4.54,1532021984,0,0.0,10.0,call,55,0,2018-07-19 17:00:00
3,0.0,0.0,0.0,REGULAR,SLV180720C00011000,USD,1532044800,1e-05,True,3.42,1532025916,0,0.0,11.0,call,10,0,2018-07-19 17:00:00
4,0.0,0.0,0.0,REGULAR,SLV180720C00012000,USD,1532044800,1e-05,True,2.4,1532028868,0,0.0,12.0,call,52,0,2018-07-19 17:00:00
5,0.0,0.0,0.0,REGULAR,SLV180720C00012500,USD,1532044800,1e-05,True,2.34,1532061124,0,0.0,12.5,call,2,0,2018-07-19 17:00:00
6,0.0,0.0,0.0,REGULAR,SLV180720C00013000,USD,1532044800,1e-05,True,1.49,1532020763,0,0.0,13.0,call,30,0,2018-07-19 17:00:00
7,0.0,0.0,0.0,REGULAR,SLV180720C00013500,USD,1532044800,1e-05,True,0.92,1532025047,0,0.0,13.5,call,1,0,2018-07-19 17:00:00
8,0.0,0.0,0.0,REGULAR,SLV180720C00014000,USD,1532044800,1e-05,True,0.42,1532030271,0,0.0,14.0,call,465,0,2018-07-19 17:00:00
9,0.0,0.0,0.0,REGULAR,SLV180720C00014500,USD,1532044800,0.062509375,False,0.04,1532030313,0,0.0,14.5,call,4600,0,2018-07-19 17:00:00
10,0.0,0.0,0.0,REGULAR,SLV180720C00015000,USD,1532044800,0.2500075,False,0.01,1532028595,0,0.0,15.0,call,324,0,2018-07-19 17:00:00
11,0.0,0.0,0.0,REGULAR,SLV180720C00015500,USD,1532044800,0.500005,False,0.01,1532026159,0,0.0,15.5,call,137,0,2018-07-19 17:00:00
12,0.01,0.0,0.01,REGULAR,SLV180720C00016000,USD,1532044800,0.9375006250000001,False,0.01,1531768859,34591,100.0,16.0,call,14,0,2018-07-19 17:00:00
13,0.01,0.0,0.01,REGULAR,SLV180720C00016500,USD,1532044800,1.1875040625,False,0.01,1531766683,18969,100.0,16.5,call,13,0,2018-07-19 17:00:00
14,0.01,0.0,0.01,REGULAR,SLV180720C00017000,USD,1532044800,1.375003124999999,False,0.01,1531764324,36089,100.0,17.0,call,31,0,2018-07-19 17:00:00
15,0.01,0.0,0.01,REGULAR,SLV180720C00017500,USD,1532044800,1.6250018750000002,False,0.01,1530540019,25,100.0,17.5,call,25,0,2018-07-19 17:00:00
16,0.01,0.0,0.01,REGULAR,SLV180720C00018000,USD,1532044800,1.812500937499999,False,0.01,1530899899,24439,100.0,18.0,call,15,0,2018-07-19 17:00:00
