,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,0.0,0.0,0.0,REGULAR,XLF180720C00015000,USD,1532044800,1e-05,True,11.67,1530628305,0,0.0,15.0,call,1,0,2018-07-19 17:00:00
1,0.0,0.0,0.0,REGULAR,XLF180720C00018000,USD,1532044800,1e-05,True,8.43,1530126861,0,0.0,18.0,call,4,0,2018-07-19 17:00:00
2,0.0,0.0,0.0,REGULAR,XLF180720C00020000,USD,1532044800,1e-05,True,7.96,1528918119,5,0.0,20.0,call,2,0,2018-07-19 17:00:00
3,0.0,0.0,0.0,REGULAR,XLF180720C00021000,USD,1532044800,1e-05,True,6.62,1532008294,0,0.0,21.0,call,13,0,2018-07-19 17:00:00
4,0.0,0.0,0.0,REGULAR,XLF180720C00021500,USD,1532044800,1e-05,True,5.45,1530279155,0,0.0,21.5,call,10,0,2018-07-19 17:00:00
5,0.0,0.0,0.0,REGULAR,XLF180720C00022000,USD,1532044800,1e-05,True,5.8,1531936583,0,0.0,22.0,call,1,0,2018-07-19 17:00:00
6,0.0,0.0,0.0,REGULAR,XLF180720C00022500,USD,1532044800,1e-05,True,4.6,1531423408,0,0.0,22.5,call,9,0,2018-07-19 17:00:00
7,0.0,0.0,0.0,REGULAR,XLF180720C00023000,USD,1532044800,1e-05,True,4.6,1532025776,0,0.0,23.0,call,1,0,2018-07-19 17:00:00
8,0.0,0.0,0.0,REGULAR,XLF180720C00023500,USD,1532044800,1e-05,True,2.94,1530195681,0,0.0,23.5,call,82,0,2018-07-19 17:00:00
9,0.0,0.0,0.0,REGULAR,XLF180720C00024000,USD,1532044800,1e-05,True,3.5700000000000003,1532025353,0,0.0,24.0,call,1,0,2018-07-19 17:00:00
10,0.0,0.0,0.0,REGULAR,XLF180720C00024500,USD,1532044800,1e-05,True,2.77,1531231548,0,0.0,24.5,call,1,0,2018-07-19 17:00:00
11,0.0,0.0,0.0,REGULAR,XLF180720C00025000,USD,1532044800,1e-05,True,2.59,1532025776,0,0.0,25.0,call,5,0,2018-07-19 17:00:00
12,0.0,0.0,0.0,REGULAR,XLF180720C00025500,USD,1532044800,1e-05,True,2.0,1532030361,0,0.0,25.5,call,19,0,2018-07-19 17:00:00
13,0.0,0.0,0.0,REGULAR,XLF180720C00026000,USD,1532044800,1e-05,True,1.5,1532030244,0,0.0,26.0,call,122,0,2018-07-19 17:00:00
14,0.0,0.0,0.0,REGULAR,XLF180720C00026500,USD,1532044800,1e-05,True,1.06,1532026752,0,0.0,26.5,call,101,0,2018-07-19 17:00:00
15,0.0,0.0,0.0,REGULAR,XLF180720C00027000,USD,1532044800,1e-05,True,0.53,1532030400,0,0.0,27.0,call,5980,0,2018-07-19 17:00:00
16,0.0,0.0,0.0,REGULAR,XLF180720C00027500,USD,1532044800,1e-05,True,0.12,1532030366,0,0.0,27.5,call,13197,0,2018-07-19 17:00:00
17,0.0,0.0,0.0,REGULAR,XLF180720C00028000,USD,1532044800,0.12500875,False,0.02,1532030268,0,0.0,28.0,call,9602,0,2018-07-19 17:00:00
18,0.0,0.0,0.0,REGULAR,XLF180720C00028500,USD,1532044800,0.2500075,False,0.01,1532029856,0,0.0,28.5,call,85,0,2018-07-19 17:00:00
19,0.0,0.0,0.0,REGULAR,XLF180720C00029000,USD,1532044800,0.2500075,False,0.01,1532019367,0,0.0,29.0,call,10,0,2018-07-19 17:00:00
20,0.0,0.02,0.0,REGULAR,XLF180720C00029500,USD,1532044800,0.6875031250000001,False,0.01,1531856042,0,0.0,29.5,call,20,0,2018-07-19 17:00:00
21,0.0,0.0,0.0,REGULAR,XLF180720C00030000,USD,1532044800,0.500005,False,0.01,1531944360,0,0.0,30.0,call,20058,0,2018-07-19 17:00:00
22,0.0,0.0,0.0,REGULAR,XLF180720C00030500,USD,1532044800,0.500005,False,0.02,1529587807,0,0.0,30.5,call,1,0,2018-07-19 17:00:00
