,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,9.95,9.8,7.95,REGULAR,EWZ180720C00024000,USD,1532044800,1e-05,True,7.95,1530212040,2,100.0,24.0,call,2,0,2018-07-19 17:00:00
1,8.95,8.8,6.65,REGULAR,EWZ180720C00025000,USD,1532044800,1e-05,True,6.65,1530198723,1,100.0,25.0,call,1,0,2018-07-19 17:00:00
2,6.95,6.75,4.2,REGULAR,EWZ180720C00027000,USD,1532044800,1e-05,True,4.2,1530126754,3,100.0,27.0,call,3,0,2018-07-19 17:00:00
3,6.45,6.3,5.55,REGULAR,EWZ180720C00027500,USD,1532044800,1e-05,True,5.55,1529424477,23,100.0,27.5,call,23,0,2018-07-19 17:00:00
4,7.85,7.4,0.0,REGULAR,EWZ180720C00028000,USD,1532044800,3.335939160156249,True,5.63,1532014341,13,0.0,28.0,call,11,0,2018-07-19 17:00:00
5,4.95,4.8,3.61,REGULAR,EWZ180720C00029000,USD,1532044800,1e-05,True,3.61,1529332430,0,100.0,29.0,call,2,0,2018-07-19 17:00:00
6,4.45,4.3,2.94,REGULAR,EWZ180720C00029500,USD,1532044800,1e-05,True,2.94,1529677531,12,100.0,29.5,call,2,0,2018-07-19 17:00:00
7,5.7,5.5,1.5499996999999999,REGULAR,EWZ180720C00030000,USD,1532044800,1.9375003125,True,5.45,1532114736,12980,39.74358,30.0,call,43,0,2018-07-19 17:00:00
8,3.45,3.3,2.13,REGULAR,EWZ180720C00030500,USD,1532044800,1e-05,True,2.13,1530887849,369,100.0,30.5,call,60,0,2018-07-19 17:00:00
9,4.7,4.45,1.8500001,REGULAR,EWZ180720C00031000,USD,1532044800,1.6250018750000002,True,4.55,1532112227,924,68.518524,31.0,call,14,0,2018-07-19 17:00:00
10,4.2,3.95,1.5500002,REGULAR,EWZ180720C00031500,USD,1532044800,1.4765651171875,True,4.07,1532112227,295,61.507946,31.5,call,7,0,2018-07-19 17:00:00
11,3.75,3.5,1.3499999,REGULAR,EWZ180720C00032000,USD,1532044800,1.523439882812499,True,3.56,1532115727,21061,61.085968,32.0,call,122,0,2018-07-19 17:00:00
12,3.2,3.1,1.13,REGULAR,EWZ180720C00032500,USD,1532044800,0.843751562499999,True,3.03,1532115404,8528,59.473686,32.5,call,58,0,2018-07-19 17:00:00
13,2.66,2.52,1.2200001,REGULAR,EWZ180720C00033000,USD,1532044800,0.812501874999999,True,2.63,1532116799,51018,86.52483,33.0,call,184,0,2018-07-19 17:00:00
14,2.16,2.05,1.5899999,REGULAR,EWZ180720C00033500,USD,1532044800,0.67187828125,True,2.06,1532115661,3313,338.29785,33.5,call,125,0,2018-07-19 17:00:00
15,1.6800000000000002,1.63,1.06,REGULAR,EWZ180720C00034000,USD,1532044800,0.51562984375,True,1.6099999999999999,1532116745,22656,192.72725,34.0,call,757,0,2018-07-19 17:00:00
16,1.19,1.13,0.83000004,REGULAR,EWZ180720C00034500,USD,1532044800,0.507817421875,True,1.09,1532116689,7311,319.2308,34.5,call,171,0,2018-07-19 17:00:00
17,0.66,0.5700000000000001,0.58,REGULAR,EWZ180720C00035000,USD,1532044800,0.25781992187499997,True,0.63,1532116731,54292,1160.0,35.0,call,6176,0,2018-07-19 17:00:00
18,0.17,0.05,0.1,REGULAR,EWZ180720C00035500,USD,1532044800,0.10938390625,True,0.11,1532116715,4932,1000.0,35.5,call,4609,0,2018-07-19 17:00:00
19,0.01,0.0,-0.01,REGULAR,EWZ180720C00036000,USD,1532044800,0.14063359374999998,False,0.01,1532116642,66752,-50.0,36.0,call,28252,0,2018-07-19 17:00:00
20,0.03,0.0,0.0,REGULAR,EWZ180720C00036500,USD,1532044800,0.351568984374999,False,0.03,1531855666,43,0.0,36.5,call,4,0,2018-07-19 17:00:00
21,0.01,0.0,0.01,REGULAR,EWZ180720C00037000,USD,1532044800,0.39063109375,False,0.02,1532113115,48391,100.0,37.0,call,57,0,2018-07-19 17:00:00
22,0.02,0.0,0.01,REGULAR,EWZ180720C00037500,USD,1532044800,0.500005,False,0.01,1531322683,166,100.0,37.5,call,1,0,2018-07-19 17:00:00
23,0.01,0.0,0.0,REGULAR,EWZ180720C00038000,USD,1532044800,0.5625043750000001,False,0.01,1532114557,29134,0.0,38.0,call,51,0,2018-07-19 17:00:00
24,0.02,0.0,0.01,REGULAR,EWZ180720C00038500,USD,1532044800,0.7187528125,False,0.01,1530555355,5,100.0,38.5,call,3,0,2018-07-19 17:00:00
25,0.01,0.0,0.0,REGULAR,EWZ180720C00039000,USD,1532044800,0.7500025,False,0.01,1532100121,10024,0.0,39.0,call,7,0,2018-07-19 17:00:00
26,0.02,0.0,0.01,REGULAR,EWZ180720C00039500,USD,1532044800,0.9062509375000001,False,0.01,1531147888,1,100.0,39.5,call,1,0,2018-07-19 17:00:00
27,0.01,0.0,0.01,REGULAR,EWZ180720C00040000,USD,1532044800,0.9375006250000001,False,0.01,1531764983,4656,100.0,40.0,call,10,0,2018-07-19 17:00:00
28,0.01,0.0,0.0,REGULAR,EWZ180720C00041000,USD,1532044800,1.0625046875,False,0.01,1532102046,7232,0.0,41.0,call,4,0,2018-07-19 17:00:00
