,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,48.15,44.0,0.0,REGULAR,AAPL180727C00145000,USD,1532649600,1.807129870605468,True,46.87,1532144707,0,0.0,145.0,call,2,3,2018-07-26 17:00:00
1,41.5,40.5,36.76,REGULAR,AAPL180727C00150000,USD,1532649600,1e-05,True,36.76,1530297023,10,100.0,150.0,call,10,3,2018-07-26 17:00:00
2,40.7,36.5,0.0,REGULAR,AAPL180727C00152500,USD,1532649600,1.5644553027343742,True,39.79,1532014715,1,0.0,152.5,call,2,3,2018-07-26 17:00:00
3,34.0,33.1,32.03,REGULAR,AAPL180727C00157500,USD,1532649600,1e-05,True,32.03,0,3,100.0,157.5,call,0,3,2018-07-26 17:00:00
4,33.2,29.15,1.0300007,REGULAR,AAPL180727C00160000,USD,1532649600,1.312503437499999,True,32.29,1532098702,35,3.2949476,160.0,call,2,3,2018-07-26 17:00:00
5,28.8,28.3,29.2,REGULAR,AAPL180727C00162500,USD,1532649600,1e-05,True,29.2,1531488743,0,100.0,162.5,call,2,3,2018-07-26 17:00:00
6,26.8,26.6,-1.8999996000000001,REGULAR,AAPL180727C00165000,USD,1532649600,0.617191328125,True,25.35,1532352957,110,-6.9724755,165.0,call,1,3,2018-07-26 17:00:00
7,25.7,21.5,0.0,REGULAR,AAPL180727C00167500,USD,1532649600,1.063969523925781,True,23.04,1531926615,142,0.0,167.5,call,5,3,2018-07-26 17:00:00
8,22.1,19.0,0.95000076,REGULAR,AAPL180727C00170000,USD,1532649600,0.7055693505859371,True,22.35,1532097508,468,4.439256,170.0,call,2,3,2018-07-26 17:00:00
9,19.3,19.1,-1.0,REGULAR,AAPL180727C00172500,USD,1532649600,0.5195360546875,True,18.65,1532363881,142,-5.089059,172.5,call,2,3,2018-07-26 17:00:00
10,16.75,16.6,-0.30999947,REGULAR,AAPL180727C00175000,USD,1532649600,0.43555251953125,True,16.69,1532370408,865,-1.8235263,175.0,call,10,3,2018-07-26 17:00:00
11,14.3,14.15,0.6300001,REGULAR,AAPL180727C00177500,USD,1532649600,0.4023497265625,True,13.71,1532364644,674,4.8165145,177.5,call,275,3,2018-07-26 17:00:00
12,11.8,11.65,0.42000008,REGULAR,AAPL180727C00180000,USD,1532649600,0.34229173339843705,True,11.7,1532375822,1746,3.723405,180.0,call,3818,3,2018-07-26 17:00:00
13,9.35,9.15,-0.10000038,REGULAR,AAPL180727C00182500,USD,1532649600,0.29785858398437404,True,9.15,1532375912,4845,-1.0810852,182.5,call,372,3,2018-07-26 17:00:00
14,6.9,6.75,0.05000019,REGULAR,AAPL180727C00185000,USD,1532649600,0.24561301269531202,True,6.75,1532375883,2725,0.74627155,185.0,call,717,3,2018-07-26 17:00:00
15,4.5,4.4,0.0,REGULAR,AAPL180727C00187500,USD,1532649600,0.19385571777343702,True,4.5,1532375973,3283,0.0,187.5,call,1254,3,2018-07-26 17:00:00
16,2.45,2.42,-0.109999895,REGULAR,AAPL180727C00190000,USD,1532649600,0.169441899414062,True,2.4,1532375995,8639,-4.382466,190.0,call,16865,3,2018-07-26 17:00:00
17,0.96,0.9500000000000001,-0.21999997000000002,REGULAR,AAPL180727C00192500,USD,1532649600,0.151619812011718,False,0.9400000000000001,1532375990,13270,-18.965515,192.5,call,25086,3,2018-07-26 17:00:00
18,0.26,0.25,-0.15,REGULAR,AAPL180727C00195000,USD,1532649600,0.14551635742187502,False,0.25,1532375996,14209,-37.5,195.0,call,14864,3,2018-07-26 17:00:00
19,0.06,0.05,-0.06,REGULAR,AAPL180727C00197500,USD,1532649600,0.15039912109375,False,0.06,1532375916,6811,-50.0,197.5,call,4594,3,2018-07-26 17:00:00
20,0.03,0.02,-0.01,REGULAR,AAPL180727C00200000,USD,1532649600,0.17774259765625,False,0.03,1532375877,12605,-25.0,200.0,call,1994,3,2018-07-26 17:00:00
21,0.01,0.0,-0.02,REGULAR,AAPL180727C00202500,USD,1532649600,0.1914143359375,False,0.01,1532373410,2523,-66.66667,202.5,call,1659,3,2018-07-26 17:00:00
22,0.01,0.0,0.0,REGULAR,AAPL180727C00205000,USD,1532649600,0.226570234374999,False,0.01,1532116445,718,0.0,205.0,call,287,3,2018-07-26 17:00:00
23,0.04,0.0,0.0,REGULAR,AAPL180727C00207500,USD,1532649600,0.314459980468749,False,0.02,1532019152,75,0.0,207.5,call,28,3,2018-07-26 17:00:00
24,0.02,0.0,0.0,REGULAR,AAPL180727C00210000,USD,1532649600,0.32422550781249904,False,0.03,1531934303,330,0.0,210.0,call,15,3,2018-07-26 17:00:00
25,0.01,0.0,0.0,REGULAR,AAPL180727C00212500,USD,1532649600,0.335944140625,False,0.01,1532109562,155,0.0,212.5,call,3,3,2018-07-26 17:00:00
26,0.01,0.0,0.0,REGULAR,AAPL180727C00215000,USD,1532649600,0.367193828125,False,0.01,1532030306,1114,0.0,215.0,call,185,3,2018-07-26 17:00:00
27,0.02,0.0,0.02,REGULAR,AAPL180727C00217500,USD,1532649600,0.42969320312500003,False,0.02,1531406328,27,100.0,217.5,call,1,3,2018-07-26 17:00:00
28,0.01,0.0,0.0,REGULAR,AAPL180727C00220000,USD,1532649600,0.42969320312500003,False,0.02,1531921280,14,0.0,220.0,call,1,3,2018-07-26 17:00:00
29,0.02,0.0,0.01,REGULAR,AAPL180727C00222500,USD,1532649600,0.500005,False,0.01,1531241047,11,100.0,222.5,call,1,3,2018-07-26 17:00:00
30,0.02,0.0,0.01,REGULAR,AAPL180727C00225000,USD,1532649600,0.5312546875,False,0.01,1531321809,3,100.0,225.0,call,1,3,2018-07-26 17:00:00
31,0.01,0.0,0.05,REGULAR,AAPL180727C00227500,USD,1532649600,0.500005,False,0.05,1529675932,1,100.0,227.5,call,0,3,2018-07-26 17:00:00
