,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,3.85,3.65,-0.19999981,REGULAR,EEM180727C00040000,USD,1532649600,0.5117236328125,True,3.65,1532372579,4,-5.1948004,40.0,call,5,3,2018-07-26 17:00:00
1,3.55,3.45,0.0,REGULAR,EEM180727C00040500,USD,1532649600,0.69726865234375,True,3.5,1532145353,0,0.0,40.5,call,15,3,2018-07-26 17:00:00
2,3.1,2.89,0.0,REGULAR,EEM180727C00041000,USD,1532649600,0.61914443359375,True,2.3,1532009737,54,0.0,41.0,call,9,3,2018-07-26 17:00:00
3,2.85,2.02,0.0,REGULAR,EEM180727C00041500,USD,1532649600,0.5009815527343751,True,2.52,1531540200,1,0.0,41.5,call,1,3,2018-07-26 17:00:00
4,1.81,1.67,-0.08000004000000001,REGULAR,EEM180727C00042000,USD,1532649600,0.33399103515625,True,1.67,1532372594,113,-4.5714310000000005,42.0,call,5,3,2018-07-26 17:00:00
5,1.31,1.26,-0.27999997,REGULAR,EEM180727C00042500,USD,1532649600,0.26465579101562503,True,1.27,1532359691,508,-18.064516,42.5,call,2,3,2018-07-26 17:00:00
6,0.87,0.81,-0.32000005,REGULAR,EEM180727C00043000,USD,1532649600,0.226570234374999,True,0.77,1532373110,622,-29.357803,43.0,call,38,3,2018-07-26 17:00:00
7,0.48,0.44,-0.26,REGULAR,EEM180727C00043500,USD,1532649600,0.1914143359375,True,0.43,1532376154,829,-37.68116,43.5,call,2208,3,2018-07-26 17:00:00
8,0.22,0.19,-0.17999999,REGULAR,EEM180727C00044000,USD,1532649600,0.176766044921875,False,0.2,1532376392,30237,-47.36842,44.0,call,1344,3,2018-07-26 17:00:00
9,0.08,0.05,-0.11000001000000001,REGULAR,EEM180727C00044500,USD,1532649600,0.16993017578125003,False,0.07,1532376101,14876,-61.11111,44.5,call,1199,3,2018-07-26 17:00:00
10,0.02,0.0,-0.060000002000000004,REGULAR,EEM180727C00045000,USD,1532649600,0.1601646484375,False,0.01,1532376672,38912,-85.71429,45.0,call,415,3,2018-07-26 17:00:00
11,0.01,0.0,-0.02,REGULAR,EEM180727C00045500,USD,1532649600,0.179695703125,False,0.01,1532375844,353,-66.66667,45.5,call,102,3,2018-07-26 17:00:00
12,0.05,0.0,0.0,REGULAR,EEM180727C00046000,USD,1532649600,0.30274134765625,False,0.01,1532116481,122,0.0,46.0,call,2,3,2018-07-26 17:00:00
13,0.07,0.0,0.0,REGULAR,EEM180727C00046500,USD,1532649600,0.37891246093750003,False,0.02,1532099051,359,0.0,46.5,call,1,3,2018-07-26 17:00:00
