,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,388.0,383.0,0.0,REGULAR,GOOG180727C00800000,USD,1532649600,1e-05,True,376.0,1531834538,16,0.0,800.0,call,1,3,2018-07-26 17:00:00
1,288.9,281.5,205.12,REGULAR,GOOG180727C00900000,USD,1532649600,1e-05,True,205.12,1530538211,3,100.0,900.0,call,3,3,2018-07-26 17:00:00
2,259.1,251.6,200.28,REGULAR,GOOG180727C00930000,USD,1532649600,1e-05,True,200.28,1530281142,1,100.0,930.0,call,1,3,2018-07-26 17:00:00
3,249.7,241.7,183.78,REGULAR,GOOG180727C00940000,USD,1532649600,1e-05,True,183.78,0,19,100.0,940.0,call,0,3,2018-07-26 17:00:00
4,229.8,221.8,164.81,REGULAR,GOOG180727C00960000,USD,1532649600,1e-05,True,164.81,0,19,100.0,960.0,call,0,3,2018-07-26 17:00:00
5,210.5,200.9,0.0,REGULAR,GOOG180727C00980000,USD,1532649600,1e-05,True,209.74,1532145230,0,0.0,980.0,call,1,3,2018-07-26 17:00:00
6,195.5,185.8,0.0,REGULAR,GOOG180727C00995000,USD,1532649600,1e-05,True,205.9,1531856940,2,0.0,995.0,call,1,3,2018-07-26 17:00:00
7,207.5,204.3,20.76001,REGULAR,GOOG180727C01000000,USD,1532649600,0.7128934960937501,True,206.63,1532374026,23,11.169102,1000.0,call,21,3,2018-07-26 17:00:00
8,187.4,178.9,0.0,REGULAR,GOOG180727C01002500,USD,1532649600,1e-05,True,198.2,1531850997,2,0.0,1002.5,call,1,3,2018-07-26 17:00:00
9,160.2,151.7,0.0,REGULAR,GOOG180727C01030000,USD,1532649600,1e-05,True,156.1,1532145216,0,0.0,1030.0,call,2,3,2018-07-26 17:00:00
10,172.8,169.3,-12.350006,REGULAR,GOOG180727C01035000,USD,1532649600,0.624515473632812,True,154.0,1532354394,1,-7.4241095,1035.0,call,1,3,2018-07-26 17:00:00
11,150.5,141.8,86.65,REGULAR,GOOG180727C01040000,USD,1532649600,1e-05,True,86.65,1530209882,12,100.0,1040.0,call,1,3,2018-07-26 17:00:00
12,159.6,150.5,14.25,REGULAR,GOOG180727C01050000,USD,1532649600,0.844483977050781,True,151.8,1532365542,31,10.359869,1050.0,call,10,3,2018-07-26 17:00:00
13,136.1,127.4,111.01,REGULAR,GOOG180727C01055000,USD,1532649600,1e-05,True,111.01,1531321399,1,100.0,1055.0,call,1,3,2018-07-26 17:00:00
14,130.8,122.3,0.0,REGULAR,GOOG180727C01060000,USD,1532649600,1e-05,True,132.37,1532145217,0,0.0,1060.0,call,2,3,2018-07-26 17:00:00
15,125.9,118.9,77.43,REGULAR,GOOG180727C01065000,USD,1532649600,1e-05,True,77.43,1530039842,0,100.0,1065.0,call,0,3,2018-07-26 17:00:00
16,121.0,112.7,32.08,REGULAR,GOOG180727C01070000,USD,1532649600,1e-05,True,120.98,1532110352,1,36.08549,1070.0,call,1,3,2018-07-26 17:00:00
