,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,14.1,13.1,1.2699995,REGULAR,IQ180727C00020000,USD,1532649600,4.343754570312499,True,12.57,1532112197,1,11.238934,20.0,call,7,3,2018-07-26 17:00:00
1,8.5,8.1,-2.0599995,REGULAR,IQ180727C00025000,USD,1532649600,2.515628710937499,True,7.59,1532098864,35,-21.347145,25.0,call,10,3,2018-07-26 17:00:00
2,8.6,7.6,0.0,REGULAR,IQ180727C00025500,USD,1532649600,2.699222001953125,True,7.3,1532145485,0,0.0,25.5,call,3,3,2018-07-26 17:00:00
3,11.9,9.1,9.0,REGULAR,IQ180727C00026000,USD,1532649600,5.07812865234375,True,9.0,1531424770,2,100.0,26.0,call,1,3,2018-07-26 17:00:00
4,7.6,6.5,0.0,REGULAR,IQ180727C00026500,USD,1532649600,2.378910302734374,True,9.5,1531942607,14,0.0,26.5,call,10,3,2018-07-26 17:00:00
5,5.8,5.2,0.3000002,REGULAR,IQ180727C00027000,USD,1532649600,0.929688203125,True,6.0,1532353150,10,5.263161,27.0,call,2,3,2018-07-26 17:00:00
6,5.1,4.8,-3.1,REGULAR,IQ180727C00027500,USD,1532649600,0.6250037500000001,True,5.4,1532355258,141,-36.470585,27.5,call,3,3,2018-07-26 17:00:00
7,4.6,4.4,0.5,REGULAR,IQ180727C00028000,USD,1532649600,0.7734397656249999,True,4.7,1532353948,109,11.904762,28.0,call,5,3,2018-07-26 17:00:00
8,4.1,3.9,-3.8599997,REGULAR,IQ180727C00028500,USD,1532649600,0.6992217578125001,True,4.5,1532355608,10,-46.172245,28.5,call,6,3,2018-07-26 17:00:00
9,3.7,3.3,1.0,REGULAR,IQ180727C00029000,USD,1532649600,0.6210975390625001,True,4.5,1532352608,113,28.57143,29.0,call,1,3,2018-07-26 17:00:00
10,6.4,4.3,0.0,REGULAR,IQ180727C00029500,USD,1532649600,2.566409833984375,True,5.7,1531540260,0,0.0,29.5,call,1,3,2018-07-26 17:00:00
11,2.8,2.6,-0.5400001999999999,REGULAR,IQ180727C00030000,USD,1532649600,0.7304714453125,True,3.1,1532372093,340,-14.83517,30.0,call,15,3,2018-07-26 17:00:00
12,2.45,2.15,-0.099999905,REGULAR,IQ180727C00030500,USD,1532649600,0.72070591796875,True,2.5,1532373411,8,-3.8461502,30.5,call,3,3,2018-07-26 17:00:00
13,2.05,1.85,-0.64,REGULAR,IQ180727C00031000,USD,1532649600,0.7304714453125,True,1.92,1532375349,262,-25.0,31.0,call,98,3,2018-07-26 17:00:00
14,1.75,1.5,-0.9,REGULAR,IQ180727C00031500,USD,1532649600,0.7314479980468741,True,1.6,1532374602,138,-36.0,31.5,call,54,3,2018-07-26 17:00:00
15,1.45,1.25,-0.79999995,REGULAR,IQ180727C00032000,USD,1532649600,0.742190078124999,True,1.3,1532375963,1608,-38.095238,32.0,call,720,3,2018-07-26 17:00:00
16,1.15,1.0,-0.6500001,REGULAR,IQ180727C00032500,USD,1532649600,0.72851833984375,False,1.05,1532375884,633,-38.2353,32.5,call,529,3,2018-07-26 17:00:00
17,0.9,0.85,-0.71000004,REGULAR,IQ180727C00033000,USD,1532649600,0.742190078124999,False,0.89,1532375979,1687,-44.375004,33.0,call,2805,3,2018-07-26 17:00:00
18,0.8,0.65,-0.6000000000000001,REGULAR,IQ180727C00033500,USD,1532649600,0.7666038964843751,False,0.75,1532375845,251,-44.444447,33.5,call,1051,3,2018-07-26 17:00:00
19,0.55,0.5,-0.45,REGULAR,IQ180727C00034000,USD,1532649600,0.73437765625,False,0.55,1532375960,1185,-45.0,34.0,call,1710,3,2018-07-26 17:00:00
20,0.5,0.4,-0.51,REGULAR,IQ180727C00034500,USD,1532649600,0.7753928710937501,False,0.44,1532375912,575,-53.68421,34.5,call,401,3,2018-07-26 17:00:00
21,0.35000000000000003,0.30000000000000004,-0.46,REGULAR,IQ180727C00035000,USD,1532649600,0.7578149218750001,False,0.34,1532375973,3234,-57.5,35.0,call,1796,3,2018-07-26 17:00:00
22,0.30000000000000004,0.2,-0.34999996,REGULAR,IQ180727C00035500,USD,1532649600,0.7656273437500001,False,0.30000000000000004,1532375728,1139,-53.84615,35.5,call,336,3,2018-07-26 17:00:00
23,0.2,0.15,-0.35000002,REGULAR,IQ180727C00036000,USD,1532649600,0.75195560546875,False,0.2,1532374652,2428,-63.636368,36.0,call,420,3,2018-07-26 17:00:00
24,0.2,0.1,-0.27999997,REGULAR,IQ180727C00036500,USD,1532649600,0.7851583984375,False,0.17,1532371158,735,-62.222218,36.5,call,138,3,2018-07-26 17:00:00
25,0.15,0.1,-0.24,REGULAR,IQ180727C00037000,USD,1532649600,0.812501874999999,False,0.11,1532374358,1004,-68.571434,37.0,call,293,3,2018-07-26 17:00:00
26,0.1,0.05,-0.15,REGULAR,IQ180727C00037500,USD,1532649600,0.7773459765625,False,0.1,1532374640,557,-60.000004,37.5,call,93,3,2018-07-26 17:00:00
27,0.1,0.05,-0.2,REGULAR,IQ180727C00038000,USD,1532649600,0.8320329296874991,False,0.05,1532375370,949,-80.0,38.0,call,170,3,2018-07-26 17:00:00
28,0.1,0.05,-0.15,REGULAR,IQ180727C00038500,USD,1532649600,0.886719882812499,False,0.05,1532356811,212,-75.0,38.5,call,26,3,2018-07-26 17:00:00
29,0.05,0.0,-0.10000001,REGULAR,IQ180727C00039000,USD,1532649600,0.7734397656249999,False,0.05,1532373017,295,-66.66667,39.0,call,71,3,2018-07-26 17:00:00
30,0.2,0.1,-0.10999999,REGULAR,IQ180727C00039500,USD,1532649600,1.144535527343749,False,0.1,1532106870,93,-52.38095,39.5,call,3,3,2018-07-26 17:00:00
31,0.05,0.0,-0.08,REGULAR,IQ180727C00040000,USD,1532649600,0.85937640625,False,0.03,1532374584,2258,-72.72727,40.0,call,236,3,2018-07-26 17:00:00
32,0.1,0.05,-0.120000005,REGULAR,IQ180727C00040500,USD,1532649600,1.0859420703125,False,0.03,1532106753,168,-80.0,40.5,call,3,3,2018-07-26 17:00:00
33,0.05,0.0,-0.03,REGULAR,IQ180727C00041000,USD,1532649600,0.945313046875,False,0.03,1532358328,432,-50.0,41.0,call,36,3,2018-07-26 17:00:00
34,0.2,0.0,-0.050000004,REGULAR,IQ180727C00041500,USD,1532649600,1.246097519531249,False,0.1,1532096093,44,-33.333336,41.5,call,1,3,2018-07-26 17:00:00
35,0.35000000000000003,0.0,-0.05,REGULAR,IQ180727C00042000,USD,1532649600,1.453127734375,False,0.05,1532104280,711,-50.0,42.0,call,13,3,2018-07-26 17:00:00
36,0.05,0.0,-0.020000001,REGULAR,IQ180727C00042500,USD,1532649600,1.0625046875,False,0.03,1532374472,231,-40.000004,42.5,call,10,3,2018-07-26 17:00:00
37,0.1,0.0,0.0,REGULAR,IQ180727C00043000,USD,1532649600,1.2265663671875,False,0.06,1532027169,672,0.0,43.0,call,94,3,2018-07-26 17:00:00
38,0.1,0.0,0.0,REGULAR,IQ180727C00043500,USD,1532649600,1.265628671874999,False,0.05,1532102261,120,0.0,43.5,call,32,3,2018-07-26 17:00:00
39,0.05,0.0,-0.020000001,REGULAR,IQ180727C00044000,USD,1532649600,1.179691601562499,False,0.03,1532363890,220,-40.000004,44.0,call,2,3,2018-07-26 17:00:00
40,0.2,0.0,-0.29999998,REGULAR,IQ180727C00044500,USD,1532649600,1.515627421874999,False,0.05,1532095278,17,-85.71428,44.5,call,40,3,2018-07-26 17:00:00
41,0.05,0.0,-0.02,REGULAR,IQ180727C00045000,USD,1532649600,1.250003749999999,False,0.04,1532107924,270,-33.333336,45.0,call,11,3,2018-07-26 17:00:00
42,0.05,0.0,-0.16,REGULAR,IQ180727C00045500,USD,1532649600,1.2890660546875,False,0.04,1532116226,54,-79.99999,45.5,call,2,3,2018-07-26 17:00:00
43,0.1,0.0,0.0,REGULAR,IQ180727C00046000,USD,1532649600,1.460940195312499,False,0.15,1532008467,50,0.0,46.0,call,2,3,2018-07-26 17:00:00
