,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,4.0,3.9,0.39000009999999996,REGULAR,XLF180727C00024000,USD,1532649600,0.67187828125,True,3.95,1532371518,322,10.955059,24.0,call,5,3,2018-07-26 17:00:00
1,3.15,3.05,0.0,REGULAR,XLF180727C00024500,USD,1532649600,1e-05,True,2.51,1531493287,150,0.0,24.5,call,150,3,2018-07-26 17:00:00
2,2.85,2.5300000000000002,0.0,REGULAR,XLF180727C00025000,USD,1532649600,1e-05,True,2.67,1531921075,110,0.0,25.0,call,1,3,2018-07-26 17:00:00
3,2.1,2.05,0.099999905,REGULAR,XLF180727C00025500,USD,1532649600,1e-05,True,2.12,1532103047,134,4.95049,25.5,call,1,3,2018-07-26 17:00:00
4,1.94,1.9100000000000001,0.26999998000000003,REGULAR,XLF180727C00026000,USD,1532649600,0.312506874999999,True,1.92,1532361195,728,16.363636,26.0,call,42,3,2018-07-26 17:00:00
5,1.44,1.4,0.31000006,REGULAR,XLF180727C00026500,USD,1532649600,0.242195078125,True,1.45,1532375166,447,27.19299,26.5,call,29,3,2018-07-26 17:00:00
6,0.9500000000000001,0.92,0.29999995,REGULAR,XLF180727C00027000,USD,1532649600,0.195320546875,True,0.96,1532375966,8976,45.454536,27.0,call,3725,3,2018-07-26 17:00:00
7,0.5,0.47000000000000003,0.22,REGULAR,XLF180727C00027500,USD,1532649600,0.17188328125000002,True,0.5,1532375987,16912,78.57143,27.5,call,4130,3,2018-07-26 17:00:00
8,0.15,0.13,0.08,REGULAR,XLF180727C00028000,USD,1532649600,0.14063359374999998,False,0.16,1532376192,5004,100.0,28.0,call,3618,3,2018-07-26 17:00:00
9,0.03,0.01,0.01,REGULAR,XLF180727C00028500,USD,1532649600,0.148446015625,False,0.03,1532375971,1055,50.0,28.5,call,1746,3,2018-07-26 17:00:00
10,0.01,0.0,-0.01,REGULAR,XLF180727C00029000,USD,1532649600,0.183601914062499,False,0.01,1532374367,216,-50.0,29.0,call,22,3,2018-07-26 17:00:00
11,0.03,0.0,0.0,REGULAR,XLF180727C00029500,USD,1532649600,0.30860066406250003,False,0.02,1531161630,251,0.0,29.5,call,10,3,2018-07-26 17:00:00
12,0.03,0.0,0.0,REGULAR,XLF180727C00030000,USD,1532649600,0.382818671874999,False,0.01,1531418427,160,0.0,30.0,call,1,3,2018-07-26 17:00:00
13,0.13,0.0,0.0,REGULAR,XLF180727C00031500,USD,1532649600,0.6757844921875,False,0.01,1529675132,0,0.0,31.5,call,0,3,2018-07-26 17:00:00
14,0.01,0.0,0.0,REGULAR,XLF180727C00035000,USD,1532649600,0.7500025,False,0.01,1532145295,0,0.0,35.0,call,1,3,2018-07-26 17:00:00
15,0.05,0.0,0.0,REGULAR,XLF180727P00022000,USD,1532649600,1.015629921875,False,0.01,1530560780,4,0.0,22.0,put,4,3,2018-07-26 17:00:00
16,0.03,0.01,0.0,REGULAR,XLF180727P00023000,USD,1532649600,0.8281267187499991,False,0.03,1530635998,51,0.0,23.0,put,50,3,2018-07-26 17:00:00
17,0.03,0.0,0.0,REGULAR,XLF180727P00023500,USD,1532649600,0.7187528125,False,0.07,1530036363,14,0.0,23.5,put,0,3,2018-07-26 17:00:00
18,0.05,0.02,0.0,REGULAR,XLF180727P00024000,USD,1532649600,0.73437765625,False,0.04,1530813646,67,0.0,24.0,put,65,3,2018-07-26 17:00:00
19,0.03,0.0,0.0,REGULAR,XLF180727P00024500,USD,1532649600,0.5625043750000001,False,0.01,1531489324,121,0.0,24.5,put,100,3,2018-07-26 17:00:00
20,0.03,0.0,0.0,REGULAR,XLF180727P00025000,USD,1532649600,0.5546919531250001,False,0.01,1531758051,122,0.0,25.0,put,2,3,2018-07-26 17:00:00
21,0.04,0.0,0.0,REGULAR,XLF180727P00025500,USD,1532649600,0.500005,False,0.02,1531849623,106,0.0,25.5,put,31,3,2018-07-26 17:00:00
22,0.04,0.01,-0.01,REGULAR,XLF180727P00026000,USD,1532649600,0.414068359375,False,0.01,1532116947,295,-50.0,26.0,put,205,3,2018-07-26 17:00:00
23,0.02,0.0,-0.03,REGULAR,XLF180727P00026500,USD,1532649600,0.281257187499999,False,0.01,1532354516,2566,-75.0,26.5,put,2,3,2018-07-26 17:00:00
24,0.02,0.01,-0.06,REGULAR,XLF180727P00027000,USD,1532649600,0.195320546875,False,0.02,1532376661,8793,-75.0,27.0,put,6081,3,2018-07-26 17:00:00
25,0.07,0.06,-0.13,REGULAR,XLF180727P00027500,USD,1532649600,0.17188328125000002,False,0.07,1532375872,4136,-65.0,27.5,put,3676,3,2018-07-26 17:00:00
26,0.24,0.21,-0.27,REGULAR,XLF180727P00028000,USD,1532649600,0.1562584375,True,0.22,1532376661,1002,-55.102043,28.0,put,549,3,2018-07-26 17:00:00
27,0.62,0.59,-0.31,REGULAR,XLF180727P00028500,USD,1532649600,0.1757894921875,True,0.5700000000000001,1532373931,152,-35.227272,28.5,put,86,3,2018-07-26 17:00:00
28,1.1400000000000001,1.04,-0.35000002,REGULAR,XLF180727P00029000,USD,1532649600,0.296882031249999,True,1.09,1532369383,33,-24.305557,29.0,put,80,3,2018-07-26 17:00:00
29,4.9,1.38,0.0,REGULAR,XLF180727P00029500,USD,1532649600,1.6953140234375002,True,1.57,0,0,0.0,29.5,put,0,3,2018-07-26 17:00:00
30,5.4,2.84,0.0,REGULAR,XLF180727P00030500,USD,1532649600,1.9394534277343751,True,3.41,1530286406,0,0.0,30.5,put,2,3,2018-07-26 17:00:00
31,6.8,4.35,0.0,REGULAR,XLF180727P00032000,USD,1532649600,2.246098134765624,True,4.5,1531838639,1,0.0,32.0,put,1,3,2018-07-26 17:00:00
32,6.7,4.1,0.0,REGULAR,XLF180803C00021000,USD,1533254400,1e-05,True,6.3,1531754756,0,0.0,21.0,call,50,10,2018-08-02 17:00:00
33,7.75,3.4,0.0,REGULAR,XLF180803C00022000,USD,1533254400,2.311527658691406,True,5.47,1531765139,3,0.0,22.0,call,3,10,2018-08-02 17:00:00
34,6.35,2.1,0.0,REGULAR,XLF180803C00023000,USD,1533254400,1.815430610351562,True,3.77,1530901034,1,0.0,23.0,call,1,10,2018-08-02 17:00:00
35,4.15,3.8,0.0,REGULAR,XLF180803C00023500,USD,1533254400,1e-05,True,3.55,1531494876,30,0.0,23.5,call,30,10,2018-08-02 17:00:00
36,3.65,3.55,0.0,REGULAR,XLF180803C00024000,USD,1533254400,1e-05,True,3.6,1532008388,29,0.0,24.0,call,2,10,2018-08-02 17:00:00
37,2.62,2.5700000000000003,0.0,REGULAR,XLF180803C00025000,USD,1533254400,1e-05,True,2.5700000000000003,1532019842,78,0.0,25.0,call,21,10,2018-08-02 17:00:00
38,2.17,2.04,0.0,REGULAR,XLF180803C00025500,USD,1533254400,1e-05,True,2.01,1531834735,99,0.0,25.5,call,2,10,2018-08-02 17:00:00
39,1.63,1.5899999999999999,0.03999996,REGULAR,XLF180803C00026000,USD,1533254400,1e-05,True,1.62,1532113987,338,2.531643,26.0,call,7,10,2018-08-02 17:00:00
40,1.49,1.46,0.36,REGULAR,XLF180803C00026500,USD,1533254400,0.23438265625,True,1.52,1532364152,454,31.034485,26.5,call,42,10,2018-08-02 17:00:00
41,1.02,0.99,0.31999993,REGULAR,XLF180803C00027000,USD,1533254400,0.19727365234375,True,1.06,1532372934,1493,43.243233,27.0,call,49,10,2018-08-02 17:00:00
42,0.61,0.5700000000000001,0.25,REGULAR,XLF180803C00027500,USD,1533254400,0.176766044921875,True,0.63,1532375329,6157,65.789474,27.5,call,639,10,2018-08-02 17:00:00
43,0.28,0.25,0.120000005,REGULAR,XLF180803C00028000,USD,1533254400,0.15528188476562502,False,0.27,1532376524,4950,80.0,28.0,call,522,10,2018-08-02 17:00:00
44,0.11,0.08,0.05,REGULAR,XLF180803C00028500,USD,1533254400,0.15528188476562502,False,0.11,1532375961,3756,83.333336,28.5,call,117,10,2018-08-02 17:00:00
45,0.04,0.02,0.0,REGULAR,XLF180803C00029000,USD,1533254400,0.16211775390625,False,0.02,1532375636,406,0.0,29.0,call,42,10,2018-08-02 17:00:00
46,0.02,0.0,-0.01,REGULAR,XLF180803C00029500,USD,1533254400,0.183601914062499,False,0.02,1532361269,29,-33.333336,29.5,call,3,10,2018-08-02 17:00:00
47,0.03,0.0,0.0,REGULAR,XLF180803C00030000,USD,1533254400,0.2461012890625,False,0.05,1529592177,15,0.0,30.0,call,0,10,2018-08-02 17:00:00
48,0.03,0.04,0.0,REGULAR,XLF180803P00024000,USD,1533254400,0.46094289062500005,False,0.05,1530894300,8,0.0,24.0,put,8,10,2018-08-02 17:00:00
49,0.04,0.01,0.0,REGULAR,XLF180803P00024500,USD,1533254400,0.4335994140625,False,0.01,1531840852,104,0.0,24.5,put,30,10,2018-08-02 17:00:00
50,0.03,0.0,0.0,REGULAR,XLF180803P00025000,USD,1533254400,0.35547519531249905,False,0.03,1531763672,6048,0.0,25.0,put,2,10,2018-08-02 17:00:00
51,0.04,0.0,0.0,REGULAR,XLF180803P00025500,USD,1533254400,0.32227240234374904,False,0.03,1531921160,10,0.0,25.5,put,1,10,2018-08-02 17:00:00
52,0.04,0.02,-0.01,REGULAR,XLF180803P00026000,USD,1533254400,0.26563234375,False,0.02,1532372071,3820,-33.333336,26.0,put,225,10,2018-08-02 17:00:00
53,0.04,0.03,-0.050000004,REGULAR,XLF180803P00026500,USD,1533254400,0.210945390624999,False,0.04,1532373934,531,-55.555557,26.5,put,19,10,2018-08-02 17:00:00
54,0.08,0.07,-0.059999995,REGULAR,XLF180803P00027000,USD,1533254400,0.18946123046875002,False,0.07,1532375601,421,-46.153843,27.0,put,220,10,2018-08-02 17:00:00
55,0.16,0.14,-0.13,REGULAR,XLF180803P00027500,USD,1533254400,0.165047412109375,False,0.15,1532371136,7845,-46.42857,27.5,put,1761,10,2018-08-02 17:00:00
56,0.34,0.31,-0.26,REGULAR,XLF180803P00028000,USD,1533254400,0.15039912109375,True,0.30000000000000004,1532371733,435,-46.42857,28.0,put,33,10,2018-08-02 17:00:00
57,0.67,0.64,-0.38,REGULAR,XLF180803P00028500,USD,1533254400,0.148446015625,True,0.62,1532371826,59,-38.0,28.5,put,37,10,2018-08-02 17:00:00
58,1.11,1.1,0.0,REGULAR,XLF180803P00029000,USD,1533254400,0.16211775390625,True,1.07,1532379643,0,0.0,29.0,put,40,10,2018-08-02 17:00:00
59,2.03,1.8900000000000001,0.0,REGULAR,XLF180803P00029500,USD,1533254400,0.513676738281249,True,2.71,1531490741,0,0.0,29.5,put,4,10,2018-08-02 17:00:00
60,5.6,2.7800000000000002,0.0,REGULAR,XLF180803P00031000,USD,1533254400,1.1015669921875,True,4.27,1530901034,0,0.0,31.0,put,1,10,2018-08-02 17:00:00
61,10.0,5.3,0.0,REGULAR,XLF180810C00020000,USD,1533859200,2.379886862792968,True,7.7,1532145297,4,0.0,20.0,call,4,17,2018-08-09 17:00:00
62,7.5,2.95,0.0,REGULAR,XLF180810C00022500,USD,1533859200,1.870117836914062,True,5.0,1531771156,0,0.0,22.5,call,2,17,2018-08-09 17:00:00
63,7.0,2.83,0.0,REGULAR,XLF180810C00023000,USD,1533859200,1.7724620751953122,True,4.2,1531147914,2,0.0,23.0,call,2,17,2018-08-09 17:00:00
64,5.85,1.15,0.0,REGULAR,XLF180810C00024000,USD,1533859200,1.509768076171875,True,3.45,1531759897,1,0.0,24.0,call,1,17,2018-08-09 17:00:00
65,3.25,3.05,0.0,REGULAR,XLF180810C00024500,USD,1533859200,1e-05,True,2.69,1531419062,21,0.0,24.5,call,20,17,2018-08-09 17:00:00
66,2.69,2.55,0.0,REGULAR,XLF180810C00025000,USD,1533859200,1e-05,True,2.03,1531489105,20,0.0,25.0,call,25,17,2018-08-09 17:00:00
67,2.01,1.9300000000000002,0.11000001400000001,REGULAR,XLF180810C00026000,USD,1533859200,0.25196060546875,True,1.8599999999999999,1532354820,65,6.285715,26.0,call,3,17,2018-08-09 17:00:00
68,1.53,1.5,0.31999993,REGULAR,XLF180810C00026500,USD,1533859200,0.21680470703125,True,1.52,1532369695,205,26.666657999999998,26.5,call,15,17,2018-08-09 17:00:00
69,1.09,1.05,0.23000002,REGULAR,XLF180810C00027000,USD,1533859200,0.19629709960937503,True,1.09,1532374820,604,26.744186,27.0,call,5,17,2018-08-09 17:00:00
70,0.6900000000000001,0.65,0.20999998,REGULAR,XLF180810C00027500,USD,1533859200,0.17530121582031202,True,0.7000000000000001,1532371630,6661,42.857136,27.5,call,77,17,2018-08-09 17:00:00
71,0.38,0.33,0.11000001400000001,REGULAR,XLF180810C00028000,USD,1533859200,0.162606030273437,False,0.36,1532376661,14375,44.000008,28.0,call,11418,17,2018-08-09 17:00:00
72,0.17,0.14,0.030000009,REGULAR,XLF180810C00028500,USD,1533859200,0.1523522265625,False,0.15,1532372461,23102,25.00001,28.5,call,20431,17,2018-08-09 17:00:00
73,0.09,0.04,-0.02,REGULAR,XLF180810C00029000,USD,1533859200,0.165047412109375,False,0.06,1532367889,38,-25.0,29.0,call,73,17,2018-08-09 17:00:00
74,0.03,0.02,0.01,REGULAR,XLF180810C00029500,USD,1533859200,0.1601646484375,False,0.03,1532356775,10000,50.0,29.5,call,10000,17,2018-08-09 17:00:00
75,0.04,0.0,0.0,REGULAR,XLF180810P00023000,USD,1533859200,0.476567734375,False,0.01,1532379644,0,0.0,23.0,put,5,17,2018-08-09 17:00:00
76,0.05,0.0,0.0,REGULAR,XLF180810P00024500,USD,1533859200,0.35938140625,False,0.08,1530898317,3,0.0,24.5,put,3,17,2018-08-09 17:00:00
77,0.04,0.02,0.0,REGULAR,XLF180810P00025000,USD,1533859200,0.3007882421875,False,0.08,1531406212,60,0.0,25.0,put,10,17,2018-08-09 17:00:00
78,0.06,0.03,0.0,REGULAR,XLF180810P00025500,USD,1533859200,0.281257187499999,False,0.04,1531932311,60,0.0,25.5,put,40,17,2018-08-09 17:00:00
79,0.05,0.04,-0.040000003,REGULAR,XLF180810P00026000,USD,1533859200,0.22266402343749903,False,0.05,1532374803,57,-44.444447,26.0,put,40,17,2018-08-09 17:00:00
80,0.09,0.06,-0.020000003000000002,REGULAR,XLF180810P00026500,USD,1533859200,0.209968837890624,False,0.07,1532364411,6531,-22.222225,26.5,put,275,17,2018-08-09 17:00:00
