,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,6.7,6.6,-0.5399999600000001,REGULAR,AMD180727C00010000,USD,1532649600,2.343754140624999,True,6.0,1532353748,19,-8.25688,10.0,call,64,3,2018-07-26 17:00:00
1,6.2,6.1,1.0499997,REGULAR,AMD180727C00010500,USD,1532649600,2.156254609375,True,5.6,1532353520,44,23.076916,10.5,call,45,3,2018-07-26 17:00:00
2,5.7,5.6,-0.6999998,REGULAR,AMD180727C00011000,USD,1532649600,1.96875015625,True,5.0,1532353102,53,-12.280699,11.0,call,18,3,2018-07-26 17:00:00
3,6.6,4.8,3.9,REGULAR,AMD180727C00011500,USD,1532649600,3.57031357421875,True,3.9,1530214264,28,100.0,11.5,call,22,3,2018-07-26 17:00:00
4,4.7,4.6,-0.19000006,REGULAR,AMD180727C00012000,USD,1532649600,1.609376953125,True,4.35,1532352802,106,-4.1850233,12.0,call,7,3,2018-07-26 17:00:00
5,4.2,4.15,-0.20000005,REGULAR,AMD180727C00012500,USD,1532649600,1.5703146484375,True,3.8,1532355777,67,-5.000001,12.5,call,27,3,2018-07-26 17:00:00
6,3.75,3.65,0.03000021,REGULAR,AMD180727C00013000,USD,1532649600,1.5000025,True,3.63,1532368978,558,0.83333915,13.0,call,164,3,2018-07-26 17:00:00
7,3.25,3.15,-0.6199998999999999,REGULAR,AMD180727C00013500,USD,1532649600,1.312503437499999,True,2.65,1532353191,152,-18.960241,13.5,call,5,3,2018-07-26 17:00:00
8,2.76,2.73,0.10000014,REGULAR,AMD180727C00014000,USD,1532649600,1.265628671874999,True,2.7,1532370497,613,3.8461594999999997,14.0,call,280,3,2018-07-26 17:00:00
9,2.32,2.29,0.099999905,REGULAR,AMD180727C00014500,USD,1532649600,1.214847675781249,True,2.29,1532370940,962,4.5662055,14.5,call,381,3,2018-07-26 17:00:00
10,1.9,1.88,0.029999971,REGULAR,AMD180727C00015000,USD,1532649600,1.16797291015625,True,1.88,1532371152,5490,1.6216199,15.0,call,2380,3,2018-07-26 17:00:00
11,1.53,1.52,0.03999996,REGULAR,AMD180727C00015500,USD,1532649600,1.15234798828125,True,1.5,1532370738,6201,2.7397234,15.5,call,1477,3,2018-07-26 17:00:00
12,1.21,1.2,0.04000008,REGULAR,AMD180727C00016000,USD,1532649600,1.142582412109375,True,1.21,1532371553,10291,3.4188104,16.0,call,8629,3,2018-07-26 17:00:00
