,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,866.0,861.25,0.0,REGULAR,AMZN180727C01000000,USD,1532649600,1.96875015625,True,818.23,1532450614,4,0.0,1000.0,call,1,1,2018-07-26 17:00:00
1,815.6,811.4,9.589966,REGULAR,AMZN180727C01050000,USD,1532649600,2.923830815429688,True,777.87,1532525401,180,1.2482383,1050.0,call,1,1,2018-07-26 17:00:00
2,716.4,713.0,0.0,REGULAR,AMZN180727C01100000,USD,1532649600,1e-05,True,738.9,1532145099,1,0.0,1100.0,call,1,1,2018-07-26 17:00:00
3,666.2,663.45,0.0,REGULAR,AMZN180727C01150000,USD,1532649600,1e-05,True,669.56,1532145099,0,0.0,1150.0,call,1,1,2018-07-26 17:00:00
4,616.4,613.05,0.0,REGULAR,AMZN180727C01200000,USD,1532649600,1e-05,True,650.5,1532145099,1,0.0,1200.0,call,1,1,2018-07-26 17:00:00
5,526.5,521.5,448.9,REGULAR,AMZN180727C01300000,USD,1532649600,1e-05,True,448.9,1531233482,21,100.0,1300.0,call,1,1,2018-07-26 17:00:00
6,486.4,482.9,0.0,REGULAR,AMZN180727C01330000,USD,1532649600,1e-05,True,501.69,1532145100,0,0.0,1330.0,call,1,1,2018-07-26 17:00:00
7,516.25,511.45,57.649994,REGULAR,AMZN180727C01350000,USD,1532649600,1.340823608398437,True,493.15,1532540858,13,13.237657,1350.0,call,1,1,2018-07-26 17:00:00
8,456.6,452.95,0.0,REGULAR,AMZN180727C01360000,USD,1532649600,1e-05,True,487.08,1532145100,1,0.0,1360.0,call,1,1,2018-07-26 17:00:00
9,456.55,451.55,332.0,REGULAR,AMZN180727C01370000,USD,1532649600,1e-05,True,332.0,1530210650,1,100.0,1370.0,call,2,1,2018-07-26 17:00:00
10,426.85,422.85,99.73001,REGULAR,AMZN180727C01390000,USD,1532649600,1e-05,True,430.73,1532104351,1,30.129913,1390.0,call,1,1,2018-07-26 17:00:00
11,465.45,461.55,10.600006,REGULAR,AMZN180727C01400000,USD,1532649600,1.562258048095703,True,439.1,1532536201,18,2.473747,1400.0,call,2,1,2018-07-26 17:00:00
12,446.2,441.35,0.0,REGULAR,AMZN180727C01420000,USD,1532649600,1.104496665039062,True,364.2,1532550620,1,0.0,1420.0,call,1,1,2018-07-26 17:00:00
13,396.7,391.7,307.26,REGULAR,AMZN180727C01430000,USD,1532649600,1e-05,True,307.26,1531163644,1,100.0,1430.0,call,1,1,2018-07-26 17:00:00
14,376.95,372.95,0.0,REGULAR,AMZN180727C01440000,USD,1532649600,1e-05,True,397.33,1532145100,0,0.0,1440.0,call,1,1,2018-07-26 17:00:00
15,416.2,411.4,73.84,REGULAR,AMZN180727C01450000,USD,1532649600,1.041996977539062,True,399.65,1532547332,11,22.663515,1450.0,call,2,1,2018-07-26 17:00:00
16,356.9,351.95,305.97,REGULAR,AMZN180727C01470000,USD,1532649600,1e-05,True,305.97,1531404403,8,100.0,1470.0,call,1,1,2018-07-26 17:00:00
17,346.95,342.1,291.33,REGULAR,AMZN180727C01480000,USD,1532649600,1e-05,True,291.33,1531403555,2,100.0,1480.0,call,2,1,2018-07-26 17:00:00
18,337.05,332.05,254.63,REGULAR,AMZN180727C01490000,USD,1532649600,1e-05,True,254.63,1529609260,0,100.0,1490.0,call,0,1,2018-07-26 17:00:00
19,366.0,361.25,55.359985,REGULAR,AMZN180727C01500000,USD,1532649600,0.726565234375,True,355.36,1532547911,65,18.45333,1500.0,call,1,1,2018-07-26 17:00:00
20,317.2,312.2,207.98,REGULAR,AMZN180727C01510000,USD,1532649600,1e-05,True,207.98,1530212515,2,100.0,1510.0,call,2,1,2018-07-26 17:00:00
21,353.7,348.95,0.0,REGULAR,AMZN180727C01512500,USD,1532649600,0.8935557519531251,True,269.75,1532550620,6,0.0,1512.5,call,6,1,2018-07-26 17:00:00
22,296.65,293.25,-21.350006,REGULAR,AMZN180727C01520000,USD,1532649600,1e-05,True,294.29,1532113459,10,-6.764036,1520.0,call,1,1,2018-07-26 17:00:00
23,328.05,324.15,0.0,REGULAR,AMZN180727C01537500,USD,1532649600,1.121342283935547,True,299.55,1532550621,1,0.0,1537.5,call,1,1,2018-07-26 17:00:00
24,326.3,321.5,0.0,REGULAR,AMZN180727C01540000,USD,1532649600,0.852540537109375,True,267.24,1532361244,6,0.0,1540.0,call,2,1,2018-07-26 17:00:00
25,323.8,318.9,0.0,REGULAR,AMZN180727C01542500,USD,1532649600,0.8271501660156241,True,244.4,1532550621,4,0.0,1542.5,call,4,1,2018-07-26 17:00:00
26,315.6,311.65,0.0,REGULAR,AMZN180727C01550000,USD,1532649600,0.6250037500000001,True,273.55,1532458779,36,0.0,1550.0,call,9,1,2018-07-26 17:00:00
27,313.75,308.9,0.0,REGULAR,AMZN180727C01552500,USD,1532649600,0.7919942675781251,True,250.0,1532550621,1,0.0,1552.5,call,1,1,2018-07-26 17:00:00
28,305.6,301.7,0.5,REGULAR,AMZN180727C01560000,USD,1532649600,0.65430033203125,True,270.0,1532526141,17,0.18552876000000001,1560.0,call,2,1,2018-07-26 17:00:00
29,303.75,299.0,0.0,REGULAR,AMZN180727C01562500,USD,1532649600,0.7856466748046871,True,247.9,1532550621,1,0.0,1562.5,call,1,1,2018-07-26 17:00:00
30,249.55,246.1,0.0,REGULAR,AMZN180727C01567500,USD,1532649600,1e-05,True,248.15,1532145102,0,0.0,1567.5,call,2,1,2018-07-26 17:00:00
31,296.25,291.5,29.64,REGULAR,AMZN180727C01570000,USD,1532649600,0.7666038964843751,True,262.34,1532525401,22,12.737431,1570.0,call,1,1,2018-07-26 17:00:00
32,244.05,241.4,0.0,REGULAR,AMZN180727C01572500,USD,1532649600,1e-05,True,263.0,1532145102,1,0.0,1572.5,call,1,1,2018-07-26 17:00:00
33,242.1,238.8,0.0,REGULAR,AMZN180727C01575000,USD,1532649600,1e-05,True,257.71,1532145102,0,0.0,1575.0,call,1,1,2018-07-26 17:00:00
