,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,65.0,61.1,3.6599998,REGULAR,FB180727C00155000,USD,1532649600,2.119145327148437,True,62.55,1532540362,23,6.2149773,155.0,call,7,1,2018-07-26 17:00:00
1,62.4,58.2,1.8000029999999998,REGULAR,FB180727C00157500,USD,1532649600,1.830078974609374,True,60.4,1532547381,103,3.0716777,157.5,call,2,1,2018-07-26 17:00:00
2,60.0,55.9,3.6399993999999998,REGULAR,FB180727C00160000,USD,1532649600,1.878906855468749,True,57.45,1532545014,133,6.7645406999999995,160.0,call,80,1,2018-07-26 17:00:00
3,57.4,53.3,0.0,REGULAR,FB180727C00162500,USD,1532649600,1.720704521484375,True,51.3,1532447455,12,0.0,162.5,call,4,1,2018-07-26 17:00:00
4,55.0,50.9,0.0,REGULAR,FB180727C00165000,USD,1532649600,1.71875140625,True,48.65,1532458077,15,0.0,165.0,call,16,1,2018-07-26 17:00:00
5,52.4,48.6,2.2000007999999998,REGULAR,FB180727C00167500,USD,1532649600,1.672853198242187,True,48.5,1532525542,31,4.7516217,167.5,call,1,1,2018-07-26 17:00:00
6,50.0,45.8,1.3199996999999999,REGULAR,FB180727C00170000,USD,1532649600,1.527346113281249,True,44.82,1532528789,66,3.034482,170.0,call,1,1,2018-07-26 17:00:00
7,47.4,43.3,4.799999,REGULAR,FB180727C00172500,USD,1532649600,1.416018544921875,True,42.27,1532528804,4,12.8102455,172.5,call,1,1,2018-07-26 17:00:00
8,45.0,40.75,4.8499985,REGULAR,FB180727C00175000,USD,1532649600,1.359378203125,True,43.5,1532547764,75,12.548508,175.0,call,8,1,2018-07-26 17:00:00
9,42.4,38.5,2.2999992,REGULAR,FB180727C00177500,USD,1532649600,1.331058032226562,True,38.7,1532525916,84,6.318679,177.5,call,2,1,2018-07-26 17:00:00
10,40.0,36.0,3.5,REGULAR,FB180727C00180000,USD,1532649600,1.282230151367187,True,38.1,1532547800,1950,10.115607,180.0,call,68,1,2018-07-26 17:00:00
11,37.4,33.5,4.120001,REGULAR,FB180727C00182500,USD,1532649600,1.179691601562499,True,35.77,1532539053,229,13.01738,182.5,call,21,1,2018-07-26 17:00:00
12,34.5,30.4,3.3999996,REGULAR,FB180727C00185000,USD,1532649600,1.6171894140625,True,33.0,1532548798,3848,11.486485,185.0,call,669,1,2018-07-26 17:00:00
13,32.6,28.7,0.9899998,REGULAR,FB180727C00187500,USD,1532649600,1.118168471679687,True,28.25,1532532349,186,3.6316938,187.5,call,19,1,2018-07-26 17:00:00
14,30.0,26.2,3.4799995,REGULAR,FB180727C00190000,USD,1532649600,1.01953615234375,True,28.48,1532548098,872,13.919999,190.0,call,216,1,2018-07-26 17:00:00
15,27.6,23.7,2.92,REGULAR,FB180727C00192500,USD,1532649600,0.9604496142578121,True,25.27,1532544802,870,13.0648775,192.5,call,65,1,2018-07-26 17:00:00
16,25.2,21.2,3.08,REGULAR,FB180727C00195000,USD,1532649600,0.8984385156249991,True,23.35,1532548502,1866,15.194869,195.0,call,222,1,2018-07-26 17:00:00
17,22.0,19.2,3.3199997,REGULAR,FB180727C00197500,USD,1532649600,0.786134951171874,True,21.15,1532548544,1051,18.620302,197.5,call,190,1,2018-07-26 17:00:00
18,19.5,16.5,3.1399993999999998,REGULAR,FB180727C00200000,USD,1532649600,0.6752962158203121,True,18.9,1532548798,4701,19.923855,200.0,call,4551,1,2018-07-26 17:00:00
19,18.4,15.9,3.0900002,REGULAR,FB180727C00202500,USD,1532649600,0.9665530688476561,True,16.94,1532548793,2761,22.31047,202.5,call,1029,1,2018-07-26 17:00:00
20,15.1,13.1,2.9000006,REGULAR,FB180727C00205000,USD,1532649600,0.765139067382812,True,14.8,1532548780,5274,24.369755,205.0,call,1879,1,2018-07-26 17:00:00
21,13.5,10.3,2.5199995,REGULAR,FB180727C00207500,USD,1532649600,0.718264536132812,True,12.65,1532548798,3346,24.876598,207.5,call,1082,1,2018-07-26 17:00:00
22,11.15,10.5,1.96,REGULAR,FB180727C00210000,USD,1532649600,0.8264177514648431,True,10.5,1532548798,9610,22.95082,210.0,call,8032,1,2018-07-26 17:00:00
23,9.45,7.1,2.1100001,REGULAR,FB180727C00212500,USD,1532649600,0.6960479614257811,True,9.21,1532548798,3779,29.718313,212.5,call,2992,1,2018-07-26 17:00:00
24,8.05,7.35,1.8699998999999998,REGULAR,FB180727C00215000,USD,1532649600,0.814943256835937,True,7.66,1532548799,11483,32.297062,215.0,call,15297,1,2018-07-26 17:00:00
