,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,4.5,4.4,4.45,REGULAR,FXI180727C00038000,USD,1532649600,1e-05,True,4.45,1530207118,19,100.0,38.0,call,19,1,2018-07-26 17:00:00
1,4.35,4.25,0.0,REGULAR,FXI180727C00040000,USD,1532649600,0.51562984375,True,3.8,1532443423,82,0.0,40.0,call,13,1,2018-07-26 17:00:00
2,1.96,1.9300000000000002,0.73,REGULAR,FXI180727C00040500,USD,1532649600,1e-05,True,1.8599999999999999,1532105992,73,64.601776,40.5,call,2,1,2018-07-26 17:00:00
3,2.83,2.79,0.13000011,REGULAR,FXI180727C00041500,USD,1532649600,0.445318046875,True,2.42,1532534629,552,5.6768613,41.5,call,1,1,2018-07-26 17:00:00
4,2.34,2.29,0.45000005,REGULAR,FXI180727C00042000,USD,1532649600,0.40039662109375,True,2.2,1532544236,950,25.714287,42.0,call,21,1,2018-07-26 17:00:00
5,1.8399999999999999,1.8,0.61,REGULAR,FXI180727C00042500,USD,1532649600,0.330084824218749,True,1.79,1532547760,2956,51.694916,42.5,call,33,1,2018-07-26 17:00:00
6,1.3599999999999999,1.32,0.29999995,REGULAR,FXI180727C00043000,USD,1532649600,0.283210292968749,True,1.15,1532546739,3096,35.29411,43.0,call,77,1,2018-07-26 17:00:00
7,0.9,0.87,0.35000002,REGULAR,FXI180727C00043500,USD,1532649600,0.24024197265624903,True,0.86,1532548709,1027,68.62746,43.5,call,247,1,2018-07-26 17:00:00
8,0.52,0.49,0.22999999000000002,REGULAR,FXI180727C00044000,USD,1532649600,0.22266402343749903,True,0.5,1532548354,3894,85.18517,44.0,call,269,1,2018-07-26 17:00:00
9,0.25,0.22,0.09999999400000001,REGULAR,FXI180727C00044500,USD,1532649600,0.2148516015625,False,0.21,1532548709,1067,90.90909,44.5,call,222,1,2018-07-26 17:00:00
10,0.1,0.07,0.010000002000000001,REGULAR,FXI180727C00045000,USD,1532649600,0.21289849609375,False,0.05,1532542134,707,25.000006,45.0,call,523,1,2018-07-26 17:00:00
11,0.03,0.04,0.1,REGULAR,FXI180727C00045500,USD,1532649600,0.210945390624999,False,0.1,1531242875,95,100.0,45.5,call,40,1,2018-07-26 17:00:00
12,0.02,0.0,0.0,REGULAR,FXI180727C00046000,USD,1532649600,0.2500075,False,0.01,1532029200,118,0.0,46.0,call,9,1,2018-07-26 17:00:00
13,0.03,0.0,0.0,REGULAR,FXI180727C00046500,USD,1532649600,0.3320379296875,False,0.01,1532355606,62,0.0,46.5,call,2,1,2018-07-26 17:00:00
14,0.02,0.0,0.06,REGULAR,FXI180727C00047000,USD,1532649600,0.35938140625,False,0.06,1531161279,154,100.0,47.0,call,10,1,2018-07-26 17:00:00
15,0.02,0.0,0.03,REGULAR,FXI180727C00047500,USD,1532649600,0.414068359375,False,0.03,1531237005,37,100.0,47.5,call,1,1,2018-07-26 17:00:00
16,0.02,0.0,0.03,REGULAR,FXI180727C00048000,USD,1532649600,0.46094289062500005,False,0.03,1530554222,771,100.0,48.0,call,1,1,2018-07-26 17:00:00
17,0.02,0.0,-0.02,REGULAR,FXI180727C00048500,USD,1532649600,0.507817421875,False,0.01,1532105703,18,-66.66667,48.5,call,3,1,2018-07-26 17:00:00
18,0.02,0.0,-0.24999999,REGULAR,FXI180727C00049000,USD,1532649600,0.500005,False,0.01,1532111706,32,-96.15385,49.0,call,10,1,2018-07-26 17:00:00
19,0.02,0.0,0.08,REGULAR,FXI180727C00049500,USD,1532649600,0.54687953125,False,0.08,1529416818,23,100.0,49.5,call,0,1,2018-07-26 17:00:00
20,0.02,0.0,0.01,REGULAR,FXI180727C00050000,USD,1532649600,0.5937540625000001,False,0.01,1531331370,97,100.0,50.0,call,2,1,2018-07-26 17:00:00
