,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,4.6,3.5,0.03999996,REGULAR,F180727C00006500,USD,1532649600,2.93750265625,True,4.35,1532548022,0,0.9280733999999999,6.5,call,12,1,2018-07-26 17:00:00
1,3.15,1.99,-0.06999993,REGULAR,F180727C00008000,USD,1532649600,2.031254921875,True,2.5,1532547816,148,-2.723733,8.0,call,32,1,2018-07-26 17:00:00
2,2.54,1.51,0.0,REGULAR,F180727C00008500,USD,1532649600,1.0625046875,True,1.9,1532551236,81,0.0,8.5,call,3,1,2018-07-26 17:00:00
3,1.6800000000000002,1.5,0.0,REGULAR,F180727C00009000,USD,1532649600,1.4296903515625,True,1.5,1532551236,21,0.0,9.0,call,67,1,2018-07-26 17:00:00
4,1.05,1.02,-0.100000024,REGULAR,F180727C00009500,USD,1532649600,0.7031279687499999,True,0.99,1532548363,115,-9.1743145,9.5,call,241,1,2018-07-26 17:00:00
5,0.6000000000000001,0.56,-0.050000012,REGULAR,F180727C00010000,USD,1532649600,0.6328161718749999,True,0.59,1532548780,1839,-7.8125024,10.0,call,5127,1,2018-07-26 17:00:00
6,0.24,0.23,0.0,REGULAR,F180727C00010500,USD,1532649600,0.5937540625000001,True,0.24,1532548799,6587,0.0,10.5,call,10920,1,2018-07-26 17:00:00
7,0.07,0.06,0.0,REGULAR,F180727C00011000,USD,1532649600,0.5898478515625001,False,0.07,1532548791,18853,0.0,11.0,call,5762,1,2018-07-26 17:00:00
8,0.02,0.01,-0.01,REGULAR,F180727C00011500,USD,1532649600,0.6250037500000001,False,0.02,1532548788,6777,-33.333336,11.5,call,1201,1,2018-07-26 17:00:00
9,0.01,0.0,0.0,REGULAR,F180727C00012000,USD,1532649600,0.6875031250000001,False,0.01,1532548681,2704,0.0,12.0,call,91,1,2018-07-26 17:00:00
10,0.01,0.01,0.01,REGULAR,F180727C00012500,USD,1532649600,0.9687503125,False,0.02,1532541170,1866,100.0,12.5,call,123,1,2018-07-26 17:00:00
11,0.02,0.0,0.01,REGULAR,F180727C00013000,USD,1532649600,1.15625421875,False,0.01,1531315918,649,100.0,13.0,call,1,1,2018-07-26 17:00:00
12,0.01,0.01,0.01,REGULAR,F180727C00013500,USD,1532649600,1.312503437499999,False,0.01,1530883828,143,100.0,13.5,call,9,1,2018-07-26 17:00:00
13,0.01,0.0,0.02,REGULAR,F180727C00014000,USD,1532649600,1.375003124999999,False,0.02,1530026275,1,100.0,14.0,call,0,1,2018-07-26 17:00:00
14,0.02,0.0,0.04,REGULAR,F180727C00015500,USD,1532649600,1.9375003125,False,0.04,0,1,100.0,15.5,call,0,1,2018-07-26 17:00:00
15,0.04,0.0,0.0,REGULAR,F180727C00016500,USD,1532649600,2.406253984374999,False,0.01,1532526656,32,0.0,16.5,call,9,1,2018-07-26 17:00:00
16,0.01,0.0,0.0,REGULAR,F180727C00017000,USD,1532649600,2.125004687499999,False,0.01,1532551236,27,0.0,17.0,call,27,1,2018-07-26 17:00:00
17,0.01,0.0,0.0,REGULAR,F180727P00009000,USD,1532649600,0.812501874999999,False,0.01,1532548257,76,0.0,9.0,put,353,1,2018-07-26 17:00:00
18,0.02,0.01,0.01,REGULAR,F180727P00009500,USD,1532649600,0.7031279687499999,False,0.02,1532548771,549,100.0,9.5,put,5210,1,2018-07-26 17:00:00
