,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,6.8,6.4,0.099999905,REGULAR,GLD180727C00110000,USD,1532649600,0.42578699218750005,True,6.7,1532542741,1,1.5151501,110.0,call,1,1,2018-07-26 17:00:00
1,5.8,5.55,0.5799999,REGULAR,GLD180727C00111000,USD,1532649600,0.37305314453125,True,5.65,1532526896,46,11.43984,111.0,call,30,1,2018-07-26 17:00:00
2,4.8,4.4,0.0,REGULAR,GLD180727C00112000,USD,1532649600,0.32031929687499905,True,4.17,1532454995,28,0.0,112.0,call,14,1,2018-07-26 17:00:00
3,4.3,4.1,0.6999998,REGULAR,GLD180727C00112500,USD,1532649600,0.29395237304687405,True,4.1,1532527473,65,20.58823,112.5,call,1,1,2018-07-26 17:00:00
4,3.8,3.55,0.0,REGULAR,GLD180727C00113000,USD,1532649600,0.266608896484375,True,3.03,1532450364,67,0.0,113.0,call,4,1,2018-07-26 17:00:00
5,3.3,2.95,0.0,REGULAR,GLD180727C00113500,USD,1532649600,0.23926541992187403,True,2.44,1532363258,23,0.0,113.5,call,21,1,2018-07-26 17:00:00
6,2.79,2.45,0.23000002,REGULAR,GLD180727C00114000,USD,1532649600,0.20606262695312402,True,2.5,1532529053,85,10.132159,114.0,call,5,1,2018-07-26 17:00:00
7,2.32,2.15,0.0,REGULAR,GLD180727C00114500,USD,1532649600,0.19043778320312502,True,1.72,1532453986,42,0.0,114.5,call,7,1,2018-07-26 17:00:00
8,1.76,1.71,0.26,REGULAR,GLD180727C00115000,USD,1532649600,0.133797724609375,True,1.4100000000000001,1532534399,825,22.608696,115.0,call,113,1,2018-07-26 17:00:00
9,1.3,1.25,0.41000003,REGULAR,GLD180727C00115500,USD,1532649600,0.120125986328124,True,1.25,1532547408,566,48.80953,115.5,call,336,1,2018-07-26 17:00:00
10,0.87,0.8300000000000001,0.36,REGULAR,GLD180727C00116000,USD,1532649600,0.106942524414062,True,0.86,1532548459,2489,72.0,116.0,call,651,1,2018-07-26 17:00:00
11,0.53,0.49,0.23999998,REGULAR,GLD180727C00116500,USD,1532649600,0.103036313476562,True,0.51,1532548687,1448,88.88888,116.5,call,431,1,2018-07-26 17:00:00
12,0.29,0.26,0.11,REGULAR,GLD180727C00117000,USD,1532649600,0.102059760742187,False,0.28,1532548684,2619,64.70588,117.0,call,662,1,2018-07-26 17:00:00
13,0.16,0.15,0.050000004,REGULAR,GLD180727C00117500,USD,1532649600,0.10840735351562501,False,0.15,1532548769,2327,50.000008,117.5,call,400,1,2018-07-26 17:00:00
14,0.08,0.07,0.02,REGULAR,GLD180727C00118000,USD,1532649600,0.111825288085937,False,0.07,1532546838,1325,39.999996,118.0,call,53,1,2018-07-26 17:00:00
15,0.05,0.04,0.010000002000000001,REGULAR,GLD180727C00118500,USD,1532649600,0.12305564453125001,False,0.05,1532542619,741,25.000006,118.5,call,131,1,2018-07-26 17:00:00
16,0.04,0.03,0.0,REGULAR,GLD180727C00119000,USD,1532649600,0.14063359374999998,False,0.03,1532547598,581,0.0,119.0,call,310,1,2018-07-26 17:00:00
17,0.03,0.02,-0.02,REGULAR,GLD180727C00119500,USD,1532649600,0.15430533203125002,False,0.01,1532537959,302,-66.66667,119.5,call,79,1,2018-07-26 17:00:00
18,0.02,0.01,-0.02,REGULAR,GLD180727C00120000,USD,1532649600,0.16407085937500002,False,0.01,1532539379,2425,-66.66667,120.0,call,2,1,2018-07-26 17:00:00
19,0.02,0.01,0.01,REGULAR,GLD180727C00120500,USD,1532649600,0.183601914062499,False,0.02,1532534878,1240,100.0,120.5,call,31,1,2018-07-26 17:00:00
20,0.01,0.0,-0.01,REGULAR,GLD180727C00121000,USD,1532649600,0.183601914062499,False,0.01,1532548765,3079,-50.0,121.0,call,126,1,2018-07-26 17:00:00
21,0.01,0.0,0.0,REGULAR,GLD180727C00121500,USD,1532649600,0.203132968749999,False,0.02,1532352972,2053,0.0,121.5,call,500,1,2018-07-26 17:00:00
22,0.01,0.0,0.0,REGULAR,GLD180727C00122000,USD,1532649600,0.218757812499999,False,0.01,1532528497,1047,0.0,122.0,call,280,1,2018-07-26 17:00:00
23,0.01,0.0,-0.01,REGULAR,GLD180727C00122500,USD,1532649600,0.23438265625,False,0.01,1532543236,2596,-50.0,122.5,call,2,1,2018-07-26 17:00:00
24,0.01,0.0,0.0,REGULAR,GLD180727C00123000,USD,1532649600,0.2500075,False,0.01,1532352958,548,0.0,123.0,call,10,1,2018-07-26 17:00:00
25,0.02,0.01,0.0,REGULAR,GLD180727C00123500,USD,1532649600,0.296882031249999,False,0.01,1532021427,287,0.0,123.5,call,5,1,2018-07-26 17:00:00
26,0.02,0.01,-0.03,REGULAR,GLD180727C00124000,USD,1532649600,0.312506874999999,False,0.01,1532098714,1380,-75.0,124.0,call,1000,1,2018-07-26 17:00:00
27,0.01,0.0,0.0,REGULAR,GLD180727C00124500,USD,1532649600,0.304694453125,False,0.01,1532116155,84,0.0,124.5,call,3864,1,2018-07-26 17:00:00
28,0.01,0.0,0.0,REGULAR,GLD180727C00125000,USD,1532649600,0.32031929687499905,False,0.01,1532095905,470,0.0,125.0,call,1,1,2018-07-26 17:00:00
29,0.01,0.0,0.0,REGULAR,GLD180727C00125500,USD,1532649600,0.335944140625,False,0.01,1532021427,31,0.0,125.5,call,5,1,2018-07-26 17:00:00
30,0.02,0.01,0.01,REGULAR,GLD180727C00126000,USD,1532649600,0.382818671874999,False,0.01,1531747804,55,50.0,126.0,call,2,1,2018-07-26 17:00:00
31,0.01,0.01,0.02,REGULAR,GLD180727C00126500,USD,1532649600,0.367193828125,False,0.02,1531321572,410,100.0,126.5,call,354,1,2018-07-26 17:00:00
32,0.01,0.0,0.01,REGULAR,GLD180727C00127000,USD,1532649600,0.382818671874999,False,0.01,1531763223,90,100.0,127.0,call,4,1,2018-07-26 17:00:00
33,0.01,0.03,0.04,REGULAR,GLD180727C00127500,USD,1532649600,0.39844351562499997,False,0.04,1530545790,6,100.0,127.5,call,3,1,2018-07-26 17:00:00
34,0.01,0.0,0.0,REGULAR,GLD180727C00128000,USD,1532649600,0.414068359375,False,0.01,1532460325,2238,0.0,128.0,call,7,1,2018-07-26 17:00:00
35,0.01,0.02,0.03,REGULAR,GLD180727C00128500,USD,1532649600,0.42969320312500003,False,0.03,1530561205,719,100.0,128.5,call,700,1,2018-07-26 17:00:00
36,0.01,0.0,0.05,REGULAR,GLD180727C00129000,USD,1532649600,0.445318046875,False,0.05,1530035397,67,100.0,129.0,call,0,1,2018-07-26 17:00:00
37,0.01,0.02,0.03,REGULAR,GLD180727C00129500,USD,1532649600,0.45313046874999996,False,0.03,1530302185,923,100.0,129.5,call,923,1,2018-07-26 17:00:00
38,0.01,0.03,0.02,REGULAR,GLD180727C00130000,USD,1532649600,0.51562984375,False,0.02,1530557760,1170,100.0,130.0,call,8,1,2018-07-26 17:00:00
39,0.01,0.0,0.0,REGULAR,GLD180727P00100000,USD,1532649600,0.60937890625,False,0.01,1532145523,0,0.0,100.0,put,4,1,2018-07-26 17:00:00
40,0.01,0.0,0.0,REGULAR,GLD180727P00105000,USD,1532649600,0.4687553125,False,0.01,1532551390,1,0.0,105.0,put,1,1,2018-07-26 17:00:00
41,0.01,0.0,0.0,REGULAR,GLD180727P00109500,USD,1532649600,0.296882031249999,False,0.01,1532551390,500,0.0,109.5,put,500,1,2018-07-26 17:00:00
42,0.01,0.0,0.0,REGULAR,GLD180727P00110000,USD,1532649600,0.281257187499999,False,0.02,1532551390,2,0.0,110.0,put,2,1,2018-07-26 17:00:00
43,0.01,0.0,0.0,REGULAR,GLD180727P00111000,USD,1532649600,0.242195078125,False,0.01,1532456439,709,0.0,111.0,put,570,1,2018-07-26 17:00:00
44,0.03,0.02,0.0,REGULAR,GLD180727P00112000,USD,1532649600,0.242195078125,False,0.06,1532020848,179,0.0,112.0,put,22,1,2018-07-26 17:00:00
45,0.04,0.03,-0.089999996,REGULAR,GLD180727P00112500,USD,1532649600,0.2304764453125,False,0.04,1532096363,2,-69.230774,112.5,put,6,1,2018-07-26 17:00:00
46,0.01,0.0,-0.01,REGULAR,GLD180727P00113000,USD,1532649600,0.16407085937500002,False,0.01,1532548784,236,-50.0,113.0,put,151,1,2018-07-26 17:00:00
47,0.02,0.01,-0.060000002000000004,REGULAR,GLD180727P00113500,USD,1532649600,0.16211775390625,False,0.01,1532543552,348,-85.71429,113.5,put,21,1,2018-07-26 17:00:00
48,0.02,0.01,-0.03,REGULAR,GLD180727P00114000,USD,1532649600,0.14063359374999998,False,0.01,1532547381,1203,-75.0,114.0,put,22,1,2018-07-26 17:00:00
49,0.03,0.02,-0.04,REGULAR,GLD180727P00114500,USD,1532649600,0.12891496093750002,False,0.03,1532547382,251,-57.142853,114.5,put,36,1,2018-07-26 17:00:00
50,0.04,0.03,-0.11000001000000001,REGULAR,GLD180727P00115000,USD,1532649600,0.111337011718749,False,0.04,1532547283,693,-73.333336,115.0,put,526,1,2018-07-26 17:00:00
51,0.08,0.06,-0.19000001,REGULAR,GLD180727P00115500,USD,1532649600,0.10450114257812401,False,0.08,1532548696,1071,-70.37037,115.5,put,168,1,2018-07-26 17:00:00
52,0.16,0.14,-0.31,REGULAR,GLD180727P00116000,USD,1532649600,0.098641826171875,False,0.15,1532548684,1791,-67.391304,116.0,put,439,1,2018-07-26 17:00:00
53,0.32,0.30000000000000004,-0.43,REGULAR,GLD180727P00116500,USD,1532649600,0.09571216796875001,False,0.30000000000000004,1532548736,1378,-58.90411,116.5,put,483,1,2018-07-26 17:00:00
54,0.6000000000000001,0.56,-0.53,REGULAR,GLD180727P00117000,USD,1532649600,0.09961837890625,True,0.61,1532548213,619,-46.491226,117.0,put,83,1,2018-07-26 17:00:00
55,0.97,0.93,-0.62000006,REGULAR,GLD180727P00117500,USD,1532649600,0.10498941894531201,True,0.9500000000000001,1532547746,1085,-39.490448,117.5,put,34,1,2018-07-26 17:00:00
56,1.4,1.3599999999999999,-0.31000006,REGULAR,GLD180727P00118000,USD,1532649600,0.111825288085937,True,1.4100000000000001,1532547724,549,-18.023258,118.0,put,44,1,2018-07-26 17:00:00
57,1.88,1.83,-0.57000005,REGULAR,GLD180727P00118500,USD,1532649600,0.12891496093750002,True,1.9,1532547688,267,-23.076925,118.5,put,107,1,2018-07-26 17:00:00
58,2.38,2.27,-0.6200000999999999,REGULAR,GLD180727P00119000,USD,1532649600,0.15430533203125002,True,2.33,1532540988,552,-21.016953,119.0,put,8,1,2018-07-26 17:00:00
59,2.9,2.74,0.0,REGULAR,GLD180727P00119500,USD,1532649600,0.1914143359375,True,3.59,1532372373,81,0.0,119.5,put,65,1,2018-07-26 17:00:00
60,3.5,3.2,-0.72,REGULAR,GLD180727P00120000,USD,1532649600,0.2695385546875,True,3.3,1532540702,225,-17.91045,120.0,put,38,1,2018-07-26 17:00:00
61,3.95,3.75,-0.17000008,REGULAR,GLD180727P00120500,USD,1532649600,0.27149166015625,True,3.83,1532526736,301,-4.250002,120.5,put,1,1,2018-07-26 17:00:00
62,4.5,4.25,0.0,REGULAR,GLD180727P00121000,USD,1532649600,0.323248955078124,True,5.08,1532459136,396,0.0,121.0,put,100,1,2018-07-26 17:00:00
63,5.1,4.8,0.0,REGULAR,GLD180727P00121500,USD,1532649600,0.39746696289062505,True,6.25,1532009079,218,0.0,121.5,put,15,1,2018-07-26 17:00:00
64,5.5,5.15,0.0,REGULAR,GLD180727P00122000,USD,1532649600,0.37500625,True,6.03,1532450431,48,0.0,122.0,put,34,1,2018-07-26 17:00:00
65,6.2,5.7,0.0,REGULAR,GLD180727P00122500,USD,1532649600,0.495122236328125,True,6.23,1532352702,42,0.0,122.5,put,1,1,2018-07-26 17:00:00
66,6.65,6.15,-0.6699995999999999,REGULAR,GLD180727P00123000,USD,1532649600,0.5009815527343751,True,6.3,1532542812,40,-9.612619,123.0,put,3,1,2018-07-26 17:00:00
67,6.05,5.85,4.36,REGULAR,GLD180727P00123500,USD,1532649600,1e-05,True,4.36,1531157792,0,100.0,123.5,put,1,1,2018-07-26 17:00:00
68,7.65,7.25,0.0,REGULAR,GLD180727P00124000,USD,1532649600,0.5537154003906251,True,7.79,1532442770,0,0.0,124.0,put,33,1,2018-07-26 17:00:00
69,7.25,6.6,5.55,REGULAR,GLD180727P00124500,USD,1532649600,1e-05,True,5.55,1530887235,5,100.0,124.5,put,5,1,2018-07-26 17:00:00
70,8.75,8.05,0.0,REGULAR,GLD180727P00125000,USD,1532649600,0.6523472265625001,True,9.91,1532017373,15,0.0,125.0,put,3,1,2018-07-26 17:00:00
71,8.1,7.8,6.68,REGULAR,GLD180727P00125500,USD,1532649600,1e-05,True,6.68,1530630300,1,100.0,125.5,put,1,1,2018-07-26 17:00:00
72,9.55,9.2,0.0,REGULAR,GLD180727P00126000,USD,1532649600,0.596683720703125,True,10.01,1532371211,16,0.0,126.0,put,1,1,2018-07-26 17:00:00
73,9.2,8.1,7.65,REGULAR,GLD180727P00126500,USD,1532649600,1e-05,True,7.65,1530042403,0,100.0,126.5,put,0,1,2018-07-26 17:00:00
74,9.65,9.1,8.1,REGULAR,GLD180727P00127000,USD,1532649600,1e-05,True,8.1,1530901134,1,100.0,127.0,put,10,1,2018-07-26 17:00:00
75,12.3,11.55,0.0,REGULAR,GLD180727P00128500,USD,1532649600,0.6035195898437501,True,12.05,1531841894,0,0.0,128.5,put,1,1,2018-07-26 17:00:00
76,12.0,11.2,0.0,REGULAR,GLD180803C00105000,USD,1533254400,0.459966337890625,True,11.52,1532145467,11,0.0,105.0,call,11,8,2018-08-02 17:00:00
77,9.0,8.25,0.0,REGULAR,GLD180803C00108000,USD,1533254400,0.36426416992187505,True,7.42,1532014938,2,0.0,108.0,call,1,8,2018-08-02 17:00:00
78,7.05,6.4,0.49000025,REGULAR,GLD180803C00110000,USD,1533254400,0.312018598632812,True,6.65,1532539156,40,7.95455,110.0,call,1,8,2018-08-02 17:00:00
79,4.95,4.65,0.5500001999999999,REGULAR,GLD180803C00112000,USD,1533254400,0.21924608886718702,True,4.76,1532540229,87,13.064137,112.0,call,1,8,2018-08-02 17:00:00
80,3.85,3.75,0.0,REGULAR,GLD180803C00113000,USD,1533254400,0.16065292480468701,True,3.16,1532452894,71,0.0,113.0,call,40,8,2018-08-02 17:00:00
81,3.35,3.3,0.39999986,REGULAR,GLD180803C00113500,USD,1533254400,0.1445398046875,True,3.04,1532536531,28,15.151509,113.5,call,1,8,2018-08-02 17:00:00
82,2.87,2.83,-0.25,REGULAR,GLD180803C00114000,USD,1533254400,0.132821171875,True,2.59,1532536531,15,-8.802817,114.0,call,3,8,2018-08-02 17:00:00
83,2.42,2.37,0.44000006,REGULAR,GLD180803C00114500,USD,1533254400,0.125985302734375,True,2.47,1532525401,21,21.674881,114.5,call,1,8,2018-08-02 17:00:00
84,1.99,1.94,0.56999993,REGULAR,GLD180803C00115000,USD,1533254400,0.119637709960937,True,2.04,1532526162,598,38.775505,115.0,call,70,8,2018-08-02 17:00:00
85,1.58,1.54,0.39,REGULAR,GLD180803C00115500,USD,1533254400,0.11280184082031201,True,1.5,1532548339,127,35.13513,115.5,call,20,8,2018-08-02 17:00:00
86,1.22,1.18,0.33000004,REGULAR,GLD180803C00116000,USD,1533254400,0.10889562988281201,True,1.19,1532548781,932,38.372097,116.0,call,126,8,2018-08-02 17:00:00
87,0.92,0.88,0.25,REGULAR,GLD180803C00116500,USD,1533254400,0.10743080078125,True,0.89,1532548411,1014,39.0625,116.5,call,468,8,2018-08-02 17:00:00
88,0.67,0.64,0.19,REGULAR,GLD180803C00117000,USD,1533254400,0.10621010986328101,False,0.64,1532548785,936,42.22222,117.0,call,134,8,2018-08-02 17:00:00
89,0.49,0.46,0.120000005,REGULAR,GLD180803C00117500,USD,1533254400,0.108163215332031,False,0.44,1532547383,363,37.500004,117.5,call,73,8,2018-08-02 17:00:00
90,0.35000000000000003,0.33,0.09000002,REGULAR,GLD180803C00118000,USD,1533254400,0.10987218261718701,False,0.33,1532547705,922,37.500008,118.0,call,112,8,2018-08-02 17:00:00
91,0.26,0.24,0.059999987000000005,REGULAR,GLD180803C00118500,USD,1533254400,0.11451080810546801,False,0.24,1532540178,1080,33.333324,118.5,call,43,8,2018-08-02 17:00:00
92,0.2,0.18,0.020000010000000002,REGULAR,GLD180803C00119000,USD,1533254400,0.12037012451171801,False,0.15,1532528970,781,15.3846245,119.0,call,30,8,2018-08-02 17:00:00
93,0.15,0.14,0.0,REGULAR,GLD180803C00119500,USD,1533254400,0.12500875,False,0.12,1532446190,266,0.0,119.5,call,13,8,2018-08-02 17:00:00
