,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,13.5,13.25,-1.4499998,REGULAR,MU180727C00040000,USD,1532649600,1.78125109375,True,13.7,1532525702,17,-9.570956,40.0,call,1,1,2018-07-26 17:00:00
1,8.5,8.3,-1.2999992,REGULAR,MU180727C00045000,USD,1532649600,0.7812521875,True,8.85,1532536144,115,-12.807875,45.0,call,150,1,2018-07-26 17:00:00
2,9.6,9.45,0.0,REGULAR,MU180727C00045500,USD,1532649600,2.542972392578124,True,10.75,1532145006,2,0.0,45.5,call,2,1,2018-07-26 17:00:00
3,6.95,6.8,0.0,REGULAR,MU180727C00046500,USD,1532649600,0.85937640625,True,7.2,1532550705,2,0.0,46.5,call,5,1,2018-07-26 17:00:00
4,6.5,6.3,-2.0500002,REGULAR,MU180727C00047000,USD,1532649600,0.60937890625,True,5.85,1532530859,83,-25.949368,47.0,call,2,1,2018-07-26 17:00:00
5,7.6,7.45,0.0,REGULAR,MU180727C00047500,USD,1532649600,2.138676528320312,True,7.75,1532145006,4,0.0,47.5,call,10,1,2018-07-26 17:00:00
6,5.5,5.3,-2.35,REGULAR,MU180727C00048000,USD,1532649600,0.51562984375,True,5.0,1532547382,152,-31.972786,48.0,call,58,1,2018-07-26 17:00:00
7,5.0,4.75,0.0,REGULAR,MU180727C00048500,USD,1532649600,0.7304714453125,True,5.2,1532550705,16,0.0,48.5,call,3,1,2018-07-26 17:00:00
8,4.5,4.3,-1.6499996000000001,REGULAR,MU180727C00049000,USD,1532649600,0.6679720703125,True,4.3,1532548064,27,-27.731089,49.0,call,94,1,2018-07-26 17:00:00
9,4.0,3.8,0.0,REGULAR,MU180727C00049500,USD,1532649600,0.6074258007812501,True,4.3,1532550706,11,0.0,49.5,call,9,1,2018-07-26 17:00:00
10,3.5,3.35,0.29999995,REGULAR,MU180727C00050000,USD,1532649600,0.5449264257812501,True,3.5,1532548607,2019,9.374998,50.0,call,1923,1,2018-07-26 17:00:00
