,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,123.35,122.45,-19.61,REGULAR,NFLX180727C00240000,USD,1532649600,1.609376953125,True,121.36,1532541197,1,-13.910762,240.0,call,1,1,2018-07-26 17:00:00
1,117.0,115.7,0.0,REGULAR,NFLX180727C00245000,USD,1532649600,1e-05,True,108.0,1532145323,2,0.0,245.0,call,2,1,2018-07-26 17:00:00
2,111.75,110.9,-5.3399963,REGULAR,NFLX180727C00250000,USD,1532649600,1e-05,True,111.69,1532115513,115,-4.5629296,250.0,call,45,1,2018-07-26 17:00:00
3,106.9,105.9,-5.669998,REGULAR,NFLX180727C00255000,USD,1532649600,1e-05,True,112.05,1532093600,5,-4.816512,255.0,call,1,1,2018-07-26 17:00:00
4,103.4,102.45,0.0,REGULAR,NFLX180727C00260000,USD,1532649600,1.40625296875,True,98.35,1532447145,24,0.0,260.0,call,21,1,2018-07-26 17:00:00
5,97.0,95.7,0.0,REGULAR,NFLX180727C00265000,USD,1532649600,1e-05,True,102.83,1532145323,13,0.0,265.0,call,1,1,2018-07-26 17:00:00
6,133.0,128.3,126.89,REGULAR,NFLX180727C00270000,USD,1532649600,6.728028933715821,True,126.89,1530213473,0,100.0,270.0,call,2,1,2018-07-26 17:00:00
7,88.4,87.45,0.0,REGULAR,NFLX180727C00275000,USD,1532649600,1.19141029296875,True,85.41,1532550944,60,0.0,275.0,call,60,1,2018-07-26 17:00:00
8,82.0,80.7,-9.419998,REGULAR,NFLX180727C00280000,USD,1532649600,1e-05,True,87.78,1532097385,5,-9.691356,280.0,call,2,1,2018-07-26 17:00:00
9,113.0,108.5,108.0,REGULAR,NFLX180727C00290000,USD,1532649600,5.870119849853516,True,108.0,1530625026,1,100.0,290.0,call,1,1,2018-07-26 17:00:00
10,63.4,62.45,-2.4300003,REGULAR,NFLX180727C00300000,USD,1532649600,0.847657773437499,True,61.4,1532544081,64,-3.8069878,300.0,call,2,1,2018-07-26 17:00:00
11,57.05,55.95,0.0,REGULAR,NFLX180727C00305000,USD,1532649600,1e-05,True,70.25,1532007844,18,0.0,305.0,call,3,1,2018-07-26 17:00:00
12,55.9,54.95,0.0,REGULAR,NFLX180727C00307500,USD,1532649600,0.7500025,True,50.6,1532352928,8,0.0,307.5,call,3,1,2018-07-26 17:00:00
13,53.4,52.55,-17.91,REGULAR,NFLX180727C00310000,USD,1532649600,0.7773459765625,True,51.09,1532546620,21,-25.95652,310.0,call,31,1,2018-07-26 17:00:00
