,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,4.75,4.65,0.0,REGULAR,SLV180727C00010000,USD,1532649600,2.125004687499999,True,4.5600000000000005,1532451269,61,0.0,10.0,call,2,1,2018-07-26 17:00:00
1,3.75,3.65,0.0,REGULAR,SLV180727C00011000,USD,1532649600,1.65625171875,True,3.5700000000000003,1532451912,3,0.0,11.0,call,6,1,2018-07-26 17:00:00
2,1.7000000000000002,1.67,0.08000004000000001,REGULAR,SLV180727C00013000,USD,1532649600,0.6250037500000001,True,1.6400000000000001,1532529600,25,5.128208,13.0,call,1,1,2018-07-26 17:00:00
3,1.21,1.17,0.0,REGULAR,SLV180727C00013500,USD,1532649600,0.51562984375,True,1.15,1532439864,369,0.0,13.5,call,1,1,2018-07-26 17:00:00
4,0.71,0.67,0.09000003000000001,REGULAR,SLV180727C00014000,USD,1532649600,0.42969320312500003,True,0.67,1532548353,1591,15.517248,14.0,call,247,1,2018-07-26 17:00:00
5,0.21,0.2,0.08,REGULAR,SLV180727C00014500,USD,1532649600,0.179695703125,True,0.21,1532548739,4565,61.538464,14.5,call,1052,1,2018-07-26 17:00:00
6,0.02,0.01,0.01,REGULAR,SLV180727C00015000,USD,1532649600,0.218757812499999,False,0.02,1532548775,5941,100.0,15.0,call,585,1,2018-07-26 17:00:00
7,0.01,0.0,0.0,REGULAR,SLV180727C00015500,USD,1532649600,0.35938140625,False,0.01,1532107456,4760,0.0,15.5,call,5,1,2018-07-26 17:00:00
8,0.02,0.01,0.01,REGULAR,SLV180727C00016000,USD,1532649600,0.5625043750000001,False,0.01,1531764052,1839,50.0,16.0,call,110,1,2018-07-26 17:00:00
9,0.02,0.01,0.01,REGULAR,SLV180727C00016500,USD,1532649600,0.7187528125,False,0.01,1531229586,1022,100.0,16.5,call,2,1,2018-07-26 17:00:00
10,0.01,0.0,0.03,REGULAR,SLV180727C00017000,USD,1532649600,0.7500025,False,0.03,1530107770,277,100.0,17.0,call,0,1,2018-07-26 17:00:00
11,0.01,0.0,0.01,REGULAR,SLV180727C00017500,USD,1532649600,0.8750012500000001,False,0.01,1530633362,372,100.0,17.5,call,20,1,2018-07-26 17:00:00
12,0.01,0.0,0.05,REGULAR,SLV180727C00018000,USD,1532649600,0.9687503125,False,0.05,0,168,100.0,18.0,call,0,1,2018-07-26 17:00:00
13,0.01,0.0,0.01,REGULAR,SLV180727C00019000,USD,1532649600,1.1875040625,False,0.01,1530026320,10,100.0,19.0,call,0,1,2018-07-26 17:00:00
14,0.01,0.0,0.0,REGULAR,SLV180727C00023000,USD,1532649600,1.9375003125,False,0.01,1532551318,11,0.0,23.0,call,11,1,2018-07-26 17:00:00
15,0.01,0.0,0.01,REGULAR,SLV180727P00013000,USD,1532649600,0.6250037500000001,False,0.01,1530110759,1,100.0,13.0,put,0,1,2018-07-26 17:00:00
16,0.01,0.0,0.0,REGULAR,SLV180727P00013500,USD,1532649600,0.51562984375,False,0.01,1532020974,35,0.0,13.5,put,24,1,2018-07-26 17:00:00
17,0.01,0.0,0.0,REGULAR,SLV180727P00014000,USD,1532649600,0.328131718749999,False,0.01,1532358687,1252,0.0,14.0,put,2,1,2018-07-26 17:00:00
18,0.03,0.02,-0.03,REGULAR,SLV180727P00014500,USD,1532649600,0.179695703125,False,0.03,1532543542,1731,-50.0,14.5,put,464,1,2018-07-26 17:00:00
19,0.33,0.32,-0.08999997400000001,REGULAR,SLV180727P00015000,USD,1532649600,0.179695703125,True,0.33,1532544034,2723,-21.428566,15.0,put,351,1,2018-07-26 17:00:00
20,0.8300000000000001,0.8,-0.01000005,REGULAR,SLV180727P00015500,USD,1532649600,0.35938140625,True,0.84,1532545173,3272,-1.1764765,15.5,put,38,1,2018-07-26 17:00:00
21,1.33,1.3,0.0,REGULAR,SLV180727P00016000,USD,1532649600,0.5312546875,True,1.52,1532369686,437,0.0,16.0,put,17,1,2018-07-26 17:00:00
22,1.83,1.8,0.0,REGULAR,SLV180727P00016500,USD,1532649600,0.67187828125,True,2.01,1532375436,582,0.0,16.5,put,2,1,2018-07-26 17:00:00
23,2.42,2.39,0.0,REGULAR,SLV180727P00017000,USD,1532649600,1.2578162109375,True,2.6,1532010319,79,0.0,17.0,put,2,1,2018-07-26 17:00:00
24,2.66,2.62,2.1,REGULAR,SLV180727P00017500,USD,1532649600,1e-05,True,2.1,1529674367,76,100.0,17.5,put,0,1,2018-07-26 17:00:00
25,3.35,3.3,0.0,REGULAR,SLV180727P00018000,USD,1532649600,0.9687503125,True,3.35,1532551328,5,0.0,18.0,put,5,1,2018-07-26 17:00:00
26,3.7,3.6,2.55,REGULAR,SLV180727P00018500,USD,1532649600,1e-05,True,2.55,1529674949,0,100.0,18.5,put,0,1,2018-07-26 17:00:00
27,4.75,4.65,0.0,REGULAR,SLV180803C00010000,USD,1533254400,1.15625421875,True,4.59,1532551318,2,0.0,10.0,call,2,8,2018-08-02 17:00:00
28,2.13,2.09,0.0,REGULAR,SLV180803C00012500,USD,1533254400,1e-05,True,2.25,1532144889,20,0.0,12.5,call,20,8,2018-08-02 17:00:00
29,1.71,1.6800000000000002,0.0,REGULAR,SLV180803C00013000,USD,1533254400,0.476567734375,True,1.6,1532453275,141,0.0,13.0,call,1,8,2018-08-02 17:00:00
30,1.22,1.18,0.0,REGULAR,SLV180803C00013500,USD,1533254400,0.386724882812499,True,1.17,1532441618,563,0.0,13.5,call,2,8,2018-08-02 17:00:00
31,0.72,0.7000000000000001,0.08999997400000001,REGULAR,SLV180803C00014000,USD,1533254400,0.25391371093750004,True,0.7000000000000001,1532545214,409,14.754094,14.0,call,133,8,2018-08-02 17:00:00
