,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,59.86,59.62,0.0,REGULAR,SPY180725C00220000,USD,1532476800,1e-05,True,58.78,1531540485,10,0.0,220.0,call,10,0,2018-07-24 17:00:00
1,55.5,53.0,44.52,REGULAR,SPY180725C00225000,USD,1532476800,1e-05,True,44.52,1530195410,21,100.0,225.0,call,20,0,2018-07-24 17:00:00
2,44.21,43.98,37.33,REGULAR,SPY180725C00235000,USD,1532476800,1e-05,True,37.33,1530022457,40,100.0,235.0,call,0,0,2018-07-24 17:00:00
3,36.0,33.5,0.0,REGULAR,SPY180725C00245000,USD,1532476800,1e-05,True,35.77,1531847502,18,0.0,245.0,call,18,0,2018-07-24 17:00:00
4,34.33,32.53,0.0,REGULAR,SPY180725C00250000,USD,1532476800,1.277347363281249,True,29.83,1532360583,11,0.0,250.0,call,9,0,2018-07-24 17:00:00
5,29.33,27.53,1.5900002,REGULAR,SPY180725C00255000,USD,1532476800,1.109379453125,True,26.22,1532525400,2,6.455543,255.0,call,1,0,2018-07-24 17:00:00
6,20.96,20.75,0.0,REGULAR,SPY180725C00259000,USD,1532476800,1e-05,True,19.42,1531540485,3,0.0,259.0,call,3,0,2018-07-24 17:00:00
7,24.33,22.53,0.0,REGULAR,SPY180725C00260000,USD,1532476800,0.9414068359375001,True,20.32,1532375563,61,0.0,260.0,call,1,0,2018-07-24 17:00:00
8,18.28,18.06,12.1,REGULAR,SPY180725C00261000,USD,1532476800,1e-05,True,12.1,1530121016,15,100.0,261.0,call,15,0,2018-07-24 17:00:00
9,22.33,20.53,0.8299999,REGULAR,SPY180725C00262000,USD,1532476800,0.873048144531249,True,19.85,1532532491,16,4.363827,262.0,call,1,0,2018-07-24 17:00:00
10,16.31,16.12,10.53,REGULAR,SPY180725C00263000,USD,1532476800,1e-05,True,10.53,1530119744,15,100.0,263.0,call,15,0,2018-07-24 17:00:00
11,15.32,15.1,9.56,REGULAR,SPY180725C00264000,USD,1532476800,1e-05,True,9.56,1530121016,15,100.0,264.0,call,15,0,2018-07-24 17:00:00
12,19.33,17.53,0.40999985,REGULAR,SPY180725C00265000,USD,1532476800,0.77148666015625,True,16.88,1532526342,81,2.4893739999999998,265.0,call,1,0,2018-07-24 17:00:00
13,13.31,13.12,6.95,REGULAR,SPY180725C00266000,USD,1532476800,1e-05,True,6.95,1530553855,9,100.0,266.0,call,12,0,2018-07-24 17:00:00
14,12.84,12.63,6.77,REGULAR,SPY180725C00266500,USD,1532476800,1e-05,True,6.77,1530636569,21,100.0,266.5,call,21,0,2018-07-24 17:00:00
15,12.35,12.14,6.64,REGULAR,SPY180725C00267000,USD,1532476800,1e-05,True,6.64,1530556218,66,100.0,267.0,call,20,0,2018-07-24 17:00:00
16,16.33,14.53,0.8500004,REGULAR,SPY180725C00268000,USD,1532476800,0.6689486230468751,True,14.3,1532537440,232,6.3197054999999995,268.0,call,5,0,2018-07-24 17:00:00
17,10.88,10.66,5.62,REGULAR,SPY180725C00268500,USD,1532476800,1e-05,True,5.62,1530798399,49,100.0,268.5,call,22,0,2018-07-24 17:00:00
18,15.09,13.53,2.4300003,REGULAR,SPY180725C00269000,USD,1532476800,1e-05,True,13.66,1532546939,145,21.638472,269.0,call,25,0,2018-07-24 17:00:00
19,9.9,9.7,5.98,REGULAR,SPY180725C00269500,USD,1532476800,1e-05,True,5.98,1530295761,22,100.0,269.5,call,22,0,2018-07-24 17:00:00
20,14.33,12.53,2.7799997,REGULAR,SPY180725C00270000,USD,1532476800,0.59961337890625,True,14.07,1532548627,964,24.623558,270.0,call,2,0,2018-07-24 17:00:00
21,13.83,12.03,0.0,REGULAR,SPY180725C00270500,USD,1532476800,0.5820354296875,True,11.5,1532448455,50,0.0,270.5,call,2,0,2018-07-24 17:00:00
22,13.33,12.18,1.5299996999999999,REGULAR,SPY180725C00271000,USD,1532476800,0.56445748046875,True,11.7,1532543421,601,15.044245,271.0,call,3,0,2018-07-24 17:00:00
23,12.83,11.03,0.0,REGULAR,SPY180725C00271500,USD,1532476800,0.54687953125,True,10.59,1532449973,83,0.0,271.5,call,2,0,2018-07-24 17:00:00
24,12.33,11.19,2.3399992,REGULAR,SPY180725C00272000,USD,1532476800,0.52930158203125,True,10.9,1532544898,550,27.336437,272.0,call,30,0,2018-07-24 17:00:00
25,11.83,10.03,0.0,REGULAR,SPY180725C00272500,USD,1532476800,0.5117236328125,True,8.51,1532453485,244,0.0,272.5,call,165,0,2018-07-24 17:00:00
26,11.33,10.19,0.4800005,REGULAR,SPY180725C00273000,USD,1532476800,0.49414568359375005,True,8.51,1532527828,319,5.9775906,273.0,call,30,0,2018-07-24 17:00:00
27,10.83,9.69,1.73,REGULAR,SPY180725C00273500,USD,1532476800,0.476567734375,True,8.63,1532536041,212,25.072464,273.5,call,6,0,2018-07-24 17:00:00
28,10.33,9.19,1.7299995,REGULAR,SPY180725C00274000,USD,1532476800,0.45898978515625005,True,8.73,1532542070,412,24.71428,274.0,call,142,0,2018-07-24 17:00:00
29,9.83,8.03,2.4899998,REGULAR,SPY180725C00274500,USD,1532476800,0.44043528320312403,True,9.16,1532547910,229,37.33133,274.5,call,32,0,2018-07-24 17:00:00
30,8.92,7.74,2.8400002,REGULAR,SPY180725C00275000,USD,1532476800,1e-05,True,9.01,1532548866,929,46.029175,275.0,call,145,0,2018-07-24 17:00:00
31,8.83,7.07,1.0699996999999999,REGULAR,SPY180725C00275500,USD,1532476800,0.40430283203125,True,6.97,1532541511,361,18.135588,275.5,call,2,0,2018-07-24 17:00:00
32,7.72,6.71,2.9700002999999997,REGULAR,SPY180725C00276000,USD,1532476800,1e-05,True,8.17,1532548795,859,57.115395,276.0,call,123,0,2018-07-24 17:00:00
33,7.83,6.03,0.34000015,REGULAR,SPY180725C00276500,USD,1532476800,0.367193828125,True,5.59,1532534277,31,6.4761934,276.5,call,1,0,2018-07-24 17:00:00
34,7.32,6.37,2.48,REGULAR,SPY180725C00277000,USD,1532476800,0.34375656250000003,True,6.5,1532549347,675,61.69154,277.0,call,138,0,2018-07-24 17:00:00
35,6.83,5.05,2.2199998,REGULAR,SPY180725C00277500,USD,1532476800,0.330084824218749,True,6.52,1532548984,92,51.6279,277.5,call,21,0,2018-07-24 17:00:00
36,6.2,5.38,1.8900001,REGULAR,SPY180725C00278000,USD,1532476800,0.24024197265624903,True,5.5,1532549475,1709,52.354576,278.0,call,516,0,2018-07-24 17:00:00
37,5.83,4.03,2.43,REGULAR,SPY180725C00278500,USD,1532476800,0.291999267578124,True,5.52,1532548992,427,78.640785,278.5,call,513,0,2018-07-24 17:00:00
