,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,9.85,8.15,0.0,REGULAR,TLT180727C00111500,USD,1532649600,0.8901378173828121,True,10.55,1530120000,0,0.0,111.5,call,2,1,2018-07-26 17:00:00
1,4.9,4.75,-1.0300002,REGULAR,TLT180727C00116000,USD,1532649600,0.641605146484375,True,4.85,1532116709,3,-17.51701,116.0,call,6,1,2018-07-26 17:00:00
2,3.9,2.75,0.0,REGULAR,TLT180727C00117000,USD,1532649600,0.5747112841796871,True,5.3,1530282635,11,0.0,117.0,call,1,1,2018-07-26 17:00:00
3,2.49,1.73,0.0,REGULAR,TLT180727C00117500,USD,1532649600,0.291999267578124,True,2.08,1532442458,5,0.0,117.5,call,5,1,2018-07-26 17:00:00
4,2.58,1.38,0.47000003,REGULAR,TLT180727C00118000,USD,1532649600,0.40381455566406205,True,2.22,1532532294,76,26.857143,118.0,call,4,1,2018-07-26 17:00:00
5,1.15,0.93,-0.16000009,REGULAR,TLT180727C00118500,USD,1532649600,0.11817288085937501,True,1.18,1532548041,35,-11.940305,118.5,call,19,1,2018-07-26 17:00:00
6,0.74,0.58,-0.25,REGULAR,TLT180727C00119000,USD,1532649600,0.10498941894531201,True,0.75,1532548041,11242,-25.0,119.0,call,315,1,2018-07-26 17:00:00
7,0.38,0.36,-0.19999999000000002,REGULAR,TLT180727C00119500,USD,1532649600,0.088876298828125,False,0.37,1532548748,22224,-35.087715,119.5,call,4489,1,2018-07-26 17:00:00
8,0.2,0.1,-0.18,REGULAR,TLT180727C00120000,USD,1532649600,0.093270786132812,False,0.15,1532548201,3039,-54.545456,120.0,call,388,1,2018-07-26 17:00:00
9,0.09,0.07,-0.1,REGULAR,TLT180727C00120500,USD,1532649600,0.094735615234375,False,0.07,1532548108,415,-58.823532,120.5,call,1552,1,2018-07-26 17:00:00
10,0.05,0.02,-0.08,REGULAR,TLT180727C00121000,USD,1532649600,0.10547769531250001,False,0.03,1532548108,3281,-72.72727,121.0,call,1337,1,2018-07-26 17:00:00
11,0.04,0.01,-0.04,REGULAR,TLT180727C00121500,USD,1532649600,0.12305564453125001,False,0.03,1532547148,5013,-57.142853,121.5,call,6,1,2018-07-26 17:00:00
12,0.03,0.0,-0.01,REGULAR,TLT180727C00122000,USD,1532649600,0.13770393554687502,False,0.01,1532548727,1709,-50.0,122.0,call,5,1,2018-07-26 17:00:00
13,0.02,0.0,-0.01,REGULAR,TLT180727C00122500,USD,1532649600,0.148446015625,False,0.01,1532541620,241,-50.0,122.5,call,1,1,2018-07-26 17:00:00
14,0.02,0.0,0.0,REGULAR,TLT180727C00123000,USD,1532649600,0.1679770703125,False,0.01,1532528123,924,0.0,123.0,call,155,1,2018-07-26 17:00:00
15,0.02,0.0,0.0,REGULAR,TLT180727C00123500,USD,1532649600,0.18750812500000003,False,0.03,1532353815,90,0.0,123.5,call,5,1,2018-07-26 17:00:00
16,0.05,0.0,0.01,REGULAR,TLT180727C00124000,USD,1532649600,0.242195078125,False,0.03,1532535834,3344,50.0,124.0,call,3,1,2018-07-26 17:00:00
17,0.04,0.0,0.0,REGULAR,TLT180727C00124500,USD,1532649600,0.25196060546875,False,0.02,1532096136,2123,0.0,124.5,call,106,1,2018-07-26 17:00:00
18,0.01,0.0,0.01,REGULAR,TLT180727C00125000,USD,1532649600,0.218757812499999,False,0.02,1532525401,3956,100.0,125.0,call,1,1,2018-07-26 17:00:00
19,0.03,0.0,-0.01,REGULAR,TLT180727C00125500,USD,1532649600,0.277350976562499,False,0.02,1532093468,3177,-33.333336,125.5,call,5,1,2018-07-26 17:00:00
20,0.03,0.0,-0.01,REGULAR,TLT180727C00126500,USD,1532649600,0.316413085937499,False,0.01,1532115808,385,-50.0,126.5,call,13,1,2018-07-26 17:00:00
21,0.02,0.0,-0.01,REGULAR,TLT180727C00127000,USD,1532649600,0.312506874999999,False,0.01,1532097447,59,-50.0,127.0,call,1,1,2018-07-26 17:00:00
22,0.02,0.0,-0.01,REGULAR,TLT180727C00127500,USD,1532649600,0.3320379296875,False,0.01,1532097447,14,-50.0,127.5,call,2,1,2018-07-26 17:00:00
23,0.02,0.02,0.0,REGULAR,TLT180727C00128500,USD,1532649600,0.3632876171875,False,0.05,1530902313,23,0.0,128.5,call,13,1,2018-07-26 17:00:00
24,0.02,0.0,0.0,REGULAR,TLT180727C00129000,USD,1532649600,0.382818671874999,False,0.02,1531490135,2,0.0,129.0,call,2,1,2018-07-26 17:00:00
25,0.02,0.0,0.0,REGULAR,TLT180727P00111500,USD,1532649600,0.351568984374999,False,0.13,0,16,0.0,111.5,put,0,1,2018-07-26 17:00:00
26,0.02,0.0,0.0,REGULAR,TLT180727P00112000,USD,1532649600,0.3320379296875,False,0.02,1531143371,20,0.0,112.0,put,0,1,2018-07-26 17:00:00
27,0.03,0.0,0.0,REGULAR,TLT180727P00112500,USD,1532649600,0.3320379296875,False,0.01,1532356639,9,0.0,112.5,put,2,1,2018-07-26 17:00:00
28,0.02,0.0,0.0,REGULAR,TLT180727P00113000,USD,1532649600,0.292975820312499,False,0.01,1532095248,17,0.0,113.0,put,3,1,2018-07-26 17:00:00
29,0.02,0.0,0.0,REGULAR,TLT180727P00113500,USD,1532649600,0.273444765625,False,0.01,1531751165,34,0.0,113.5,put,17,1,2018-07-26 17:00:00
30,0.02,0.0,0.0,REGULAR,TLT180727P00114000,USD,1532649600,0.25391371093750004,False,0.01,1531751596,256,0.0,114.0,put,1,1,2018-07-26 17:00:00
31,0.03,0.0,0.0,REGULAR,TLT180727P00114500,USD,1532649600,0.2500075,False,0.01,1532357046,7,0.0,114.5,put,2,1,2018-07-26 17:00:00
32,0.01,0.0,0.0,REGULAR,TLT180727P00115000,USD,1532649600,0.1914143359375,False,0.01,1532444533,256,0.0,115.0,put,20,1,2018-07-26 17:00:00
33,0.02,0.0,0.0,REGULAR,TLT180727P00115500,USD,1532649600,0.1914143359375,False,0.01,1532452432,16,0.0,115.5,put,1,1,2018-07-26 17:00:00
34,0.03,0.0,0.01,REGULAR,TLT180727P00116000,USD,1532649600,0.183601914062499,False,0.03,1532111534,17,50.0,116.0,put,11,1,2018-07-26 17:00:00
35,0.02,0.01,0.0,REGULAR,TLT180727P00116500,USD,1532649600,0.15039912109375,False,0.03,1532366077,15,0.0,116.5,put,4,1,2018-07-26 17:00:00
36,0.03,0.0,0.0,REGULAR,TLT180727P00117000,USD,1532649600,0.14063359374999998,False,0.03,1532442562,82,0.0,117.0,put,8,1,2018-07-26 17:00:00
37,0.03,0.01,-0.060000002000000004,REGULAR,TLT180727P00117500,USD,1532649600,0.117196328125,False,0.03,1532525401,515,-66.66667,117.5,put,1,1,2018-07-26 17:00:00
38,0.06,0.02,-0.01,REGULAR,TLT180727P00118000,USD,1532649600,0.11036045898437401,False,0.03,1532527983,1128,-25.0,118.0,put,5,1,2018-07-26 17:00:00
39,0.11,0.05,-0.060000002000000004,REGULAR,TLT180727P00118500,USD,1532649600,0.10157148437499901,False,0.04,1532547561,2283,-60.000004,118.5,put,41,1,2018-07-26 17:00:00
40,0.23,0.14,0.030000001000000002,REGULAR,TLT180727P00119000,USD,1532649600,0.10010665527343701,False,0.23,1532548540,2932,15.000001,119.0,put,1196,1,2018-07-26 17:00:00
41,0.45,0.36,0.0,REGULAR,TLT180727P00119500,USD,1532649600,0.103036313476562,True,0.35000000000000003,1532548131,1062,0.0,119.5,put,106,1,2018-07-26 17:00:00
42,0.77,0.62,0.07999998,REGULAR,TLT180727P00120000,USD,1532649600,0.10889562988281201,True,0.68,1532548169,5264,13.333328999999999,120.0,put,169,1,2018-07-26 17:00:00
43,1.31,1.01,-0.42999995,REGULAR,TLT180727P00120500,USD,1532649600,0.159188095703125,True,0.72,1532543100,1221,-37.3913,120.5,put,59,1,2018-07-26 17:00:00
44,1.6,1.46,0.38,REGULAR,TLT180727P00121000,USD,1532649600,0.124032197265625,True,1.71,1532548228,1516,28.571426,121.0,put,57,1,2018-07-26 17:00:00
45,2.33,1.97,0.32000005,REGULAR,TLT180727P00121500,USD,1532649600,0.235359208984374,True,2.14,1532548275,335,17.58242,121.5,put,6,1,2018-07-26 17:00:00
46,2.8,2.46,0.05999994300000001,REGULAR,TLT180727P00122000,USD,1532649600,0.25830819824218704,True,2.34,1532547807,2133,2.6315765,122.0,put,24,1,2018-07-26 17:00:00
47,3.3,2.95,-0.24000001,REGULAR,TLT180727P00122500,USD,1532649600,0.28906960937499904,True,2.5300000000000002,1532546828,131,-8.66426,122.5,put,7,1,2018-07-26 17:00:00
48,3.75,3.45,-0.3599999,REGULAR,TLT180727P00123000,USD,1532649600,0.298835136718749,True,2.89,1532534129,197,-11.07692,123.0,put,4,1,2018-07-26 17:00:00
49,4.4,3.8,-0.8499998999999999,REGULAR,TLT180727P00123500,USD,1532649600,0.384771777343749,True,3.35,1532530507,49,-20.238094,123.5,put,6,1,2018-07-26 17:00:00
50,4.8,4.45,0.0,REGULAR,TLT180727P00124000,USD,1532649600,0.37500625,True,4.57,1532446916,124,0.0,124.0,put,18,1,2018-07-26 17:00:00
51,5.9,5.2,0.0,REGULAR,TLT180727P00125000,USD,1532649600,0.47070841796875,True,4.95,1532354300,53,0.0,125.0,put,19,1,2018-07-26 17:00:00
52,5.4,4.4,0.0,REGULAR,TLT180803C00115500,USD,1533254400,0.38574833007812404,True,6.25,1530544645,9,0.0,115.5,call,9,8,2018-08-02 17:00:00
53,4.9,3.8,0.0,REGULAR,TLT180803C00116000,USD,1533254400,0.36255520263671803,True,6.02,1532145432,5,0.0,116.0,call,5,8,2018-08-02 17:00:00
54,2.13,1.99,-2.2600002,REGULAR,TLT180803C00117500,USD,1533254400,0.09571216796875001,True,2.1,1532548070,1,-51.83486,117.5,call,1,8,2018-08-02 17:00:00
55,1.7000000000000002,1.56,-0.21000004,REGULAR,TLT180803C00118000,USD,1533254400,0.09229423339843701,True,1.6800000000000002,1532548070,384,-11.111114,118.0,call,17,8,2018-08-02 17:00:00
56,1.3,1.13,0.26,REGULAR,TLT180803C00118500,USD,1533254400,0.08838802246093701,True,1.62,1532541680,1061,19.117645,118.5,call,210,8,2018-08-02 17:00:00
