,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,5.2,5.1,0.0,REGULAR,USO180727C00009000,USD,1532649600,1e-05,True,5.65,1530814236,0,0.0,9.0,call,10,1,2018-07-26 17:00:00
1,3.2,3.1,0.0,REGULAR,USO180727C00011000,USD,1532649600,1e-05,True,3.24,1530032666,1,0.0,11.0,call,0,1,2018-07-26 17:00:00
2,2.69,2.61,0.0,REGULAR,USO180727C00011500,USD,1532649600,1e-05,True,3.0,1530108966,1,0.0,11.5,call,2,1,2018-07-26 17:00:00
3,2.19,2.08,0.0,REGULAR,USO180727C00012000,USD,1532649600,1e-05,True,2.54,1530108994,1,0.0,12.0,call,2,1,2018-07-26 17:00:00
4,1.9300000000000002,1.9100000000000001,0.029999971,REGULAR,USO180727C00012500,USD,1532649600,0.500005,True,1.76,1532530233,209,1.7341023999999998,12.5,call,70,1,2018-07-26 17:00:00
5,1.43,1.4100000000000001,0.03999996,REGULAR,USO180727C00013000,USD,1532649600,0.6250037500000001,True,1.27,1532531044,302,3.2520294,13.0,call,48,1,2018-07-26 17:00:00
6,0.93,0.91,0.16999996,REGULAR,USO180727C00013500,USD,1532649600,0.42188078124999995,True,0.9,1532546771,4709,23.287664,13.5,call,163,1,2018-07-26 17:00:00
7,0.45,0.43,0.15,REGULAR,USO180727C00014000,USD,1532649600,0.312506874999999,True,0.43,1532548426,8261,53.571433999999996,14.0,call,484,1,2018-07-26 17:00:00
8,0.09,0.08,0.030000005000000003,REGULAR,USO180727C00014500,USD,1532649600,0.242195078125,False,0.09,1532548785,12466,50.00001,14.5,call,2738,1,2018-07-26 17:00:00
9,0.01,0.0,-0.01,REGULAR,USO180727C00015000,USD,1532649600,0.281257187499999,False,0.01,1532536356,3803,-50.0,15.0,call,49,1,2018-07-26 17:00:00
10,0.01,0.0,0.0,REGULAR,USO180727C00015500,USD,1532649600,0.45313046874999996,False,0.01,1532106967,985,0.0,15.5,call,2,1,2018-07-26 17:00:00
11,0.01,0.0,0.0,REGULAR,USO180727C00016000,USD,1532649600,0.5625043750000001,False,0.01,1532363343,1718,0.0,16.0,call,77,1,2018-07-26 17:00:00
12,0.01,0.0,0.0,REGULAR,USO180727C00016500,USD,1532649600,0.6875031250000001,False,0.01,1531334541,77,0.0,16.5,call,1,1,2018-07-26 17:00:00
13,0.01,0.0,0.0,REGULAR,USO180727C00017000,USD,1532649600,0.812501874999999,False,0.01,1531323802,364,0.0,17.0,call,4,1,2018-07-26 17:00:00
14,0.01,0.0,0.0,REGULAR,USO180727C00017500,USD,1532649600,0.9375006250000001,False,0.41000000000000003,1531319406,11,0.0,17.5,call,6,1,2018-07-26 17:00:00
15,0.02,0.0,0.0,REGULAR,USO180727C00018000,USD,1532649600,1.15625421875,False,0.01,1532550627,10,0.0,18.0,call,10,1,2018-07-26 17:00:00
16,0.01,0.0,0.0,REGULAR,USO180727C00018500,USD,1532649600,1.15625421875,False,0.01,1531151638,300,0.0,18.5,call,100,1,2018-07-26 17:00:00
17,0.01,0.0,0.0,REGULAR,USO180727C00020000,USD,1532649600,1.4375028125,False,0.02,1530198419,200,0.0,20.0,call,200,1,2018-07-26 17:00:00
18,0.01,0.0,0.0,REGULAR,USO180727P00010500,USD,1532649600,1.5000025,False,0.01,1529674527,8,0.0,10.5,put,0,1,2018-07-26 17:00:00
19,0.01,0.0,0.0,REGULAR,USO180727P00011500,USD,1532649600,1.09375453125,False,0.01,1531251008,43,0.0,11.5,put,1,1,2018-07-26 17:00:00
20,0.01,0.0,0.0,REGULAR,USO180727P00012000,USD,1532649600,0.9062509375000001,False,0.02,1531315800,329,0.0,12.0,put,126,1,2018-07-26 17:00:00
21,0.01,0.0,0.0,REGULAR,USO180727P00012500,USD,1532649600,0.7500025,False,0.01,1532019044,322,0.0,12.5,put,4,1,2018-07-26 17:00:00
22,0.01,0.0,0.0,REGULAR,USO180727P00013000,USD,1532649600,0.5625043750000001,False,0.01,1532108090,1443,0.0,13.0,put,312,1,2018-07-26 17:00:00
23,0.01,0.0,0.0,REGULAR,USO180727P00013500,USD,1532649600,0.42188078124999995,False,0.01,1532530293,1677,0.0,13.5,put,4,1,2018-07-26 17:00:00
24,0.02,0.01,-0.05,REGULAR,USO180727P00014000,USD,1532649600,0.273444765625,False,0.02,1532548668,7755,-71.42857,14.0,put,574,1,2018-07-26 17:00:00
25,0.17,0.15,-0.13,REGULAR,USO180727P00014500,USD,1532649600,0.242195078125,True,0.18,1532547016,4137,-41.935482,14.5,put,802,1,2018-07-26 17:00:00
26,0.59,0.5700000000000001,-0.19999999000000002,REGULAR,USO180727P00015000,USD,1532649600,0.281257187499999,True,0.58,1532547543,11167,-25.641024,15.0,put,287,1,2018-07-26 17:00:00
27,1.09,1.07,-0.17999995,REGULAR,USO180727P00015500,USD,1532649600,0.45313046874999996,True,1.1,1532529271,641,-14.062495,15.5,put,105,1,2018-07-26 17:00:00
28,1.5899999999999999,1.57,-0.089999914,REGULAR,USO180727P00016000,USD,1532649600,0.60937890625,True,1.58,1532534213,44,-5.3892164,16.0,put,89,1,2018-07-26 17:00:00
29,2.38,2.32,0.0,REGULAR,USO180727P00016500,USD,1532649600,1.75390748046875,True,1.3599999999999999,1530625032,5,0.0,16.5,put,5,1,2018-07-26 17:00:00
30,2.88,2.79,0.0,REGULAR,USO180727P00017000,USD,1532649600,1.9296878515625,True,3.05,1531761114,3,0.0,17.0,put,1,1,2018-07-26 17:00:00
31,2.96,2.89,0.0,REGULAR,USO180803C00011500,USD,1533254400,0.5937540625000001,True,2.7199999999999998,1532550629,2,0.0,11.5,call,2,8,2018-08-02 17:00:00
32,2.47,2.39,0.0,REGULAR,USO180803C00012000,USD,1533254400,0.54687953125,True,2.31,1532352609,65,0.0,12.0,call,130,8,2018-08-02 17:00:00
33,1.69,1.6099999999999999,0.0,REGULAR,USO180803C00012500,USD,1533254400,1e-05,True,1.75,1532145117,2,0.0,12.5,call,1,8,2018-08-02 17:00:00
34,1.44,1.42,0.120000005,REGULAR,USO180803C00013000,USD,1533254400,0.39063109375,True,1.43,1532534213,3784,9.160306,13.0,call,90,8,2018-08-02 17:00:00
35,0.9500000000000001,0.93,0.100000024,REGULAR,USO180803C00013500,USD,1533254400,0.3007882421875,True,0.88,1532529191,503,12.820517,13.5,call,256,8,2018-08-02 17:00:00
36,0.5,0.48,0.13,REGULAR,USO180803C00014000,USD,1533254400,0.2461012890625,True,0.49,1532548793,4209,36.111107,14.0,call,2106,8,2018-08-02 17:00:00
37,0.19,0.18,0.050000012,REGULAR,USO180803C00014500,USD,1533254400,0.23828886718749903,False,0.18,1532548708,5585,38.461548,14.5,call,731,8,2018-08-02 17:00:00
38,0.05,0.04,0.0,REGULAR,USO180803C00015000,USD,1533254400,0.242195078125,False,0.04,1532548552,4191,0.0,15.0,call,1380,8,2018-08-02 17:00:00
39,0.01,0.0,0.0,REGULAR,USO180803C00015500,USD,1533254400,0.2500075,False,0.01,1532458004,683,0.0,15.5,call,5,8,2018-08-02 17:00:00
40,0.01,0.0,0.0,REGULAR,USO180803C00016000,USD,1533254400,0.335944140625,False,0.01,1531837631,677,0.0,16.0,call,156,8,2018-08-02 17:00:00
41,0.01,0.01,0.0,REGULAR,USO180803C00016500,USD,1533254400,0.414068359375,False,0.06,1531230950,82,0.0,16.5,call,67,8,2018-08-02 17:00:00
42,0.02,0.01,0.0,REGULAR,USO180803C00017000,USD,1533254400,0.523442265625,False,0.01,1531337117,185,0.0,17.0,call,2,8,2018-08-02 17:00:00
43,0.01,0.0,0.0,REGULAR,USO180803C00017500,USD,1533254400,0.500005,False,0.01,1531768417,170,0.0,17.5,call,100,8,2018-08-02 17:00:00
44,0.02,0.01,0.0,REGULAR,USO180803C00018000,USD,1533254400,0.67187828125,False,0.02,1530804573,33,0.0,18.0,call,3,8,2018-08-02 17:00:00
45,0.01,0.0,0.0,REGULAR,USO180803C00019000,USD,1533254400,0.6875031250000001,False,0.01,1531420378,500,0.0,19.0,call,500,8,2018-08-02 17:00:00
