,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,10.7,10.4,0.0,REGULAR,VXX180727C00020000,USD,1532649600,2.6718783203125,True,11.01,1532550713,2,0.0,20.0,call,4,1,2018-07-26 17:00:00
1,6.7,6.45,0.0,REGULAR,VXX180727C00024000,USD,1532649600,1.75000125,True,7.1,1532550713,0,0.0,24.0,call,4,1,2018-07-26 17:00:00
2,6.55,6.3,-0.3699999,REGULAR,VXX180727C00025000,USD,1532649600,2.93750265625,True,6.33,1532116503,20,-5.5223866,25.0,call,7,1,2018-07-26 17:00:00
3,4.7,4.45,0.25,REGULAR,VXX180727C00026000,USD,1532649600,1.265628671874999,True,4.9,1532528050,14,5.3763437,26.0,call,7,1,2018-07-26 17:00:00
4,3.75,3.45,0.0,REGULAR,VXX180727C00027000,USD,1532649600,1.08203583984375,True,4.2,1532354564,18,0.0,27.0,call,5,1,2018-07-26 17:00:00
5,3.2,2.92,0.35000014,REGULAR,VXX180727C00027500,USD,1532649600,0.878907460937499,True,3.15,1532540287,20,12.500005999999999,27.5,call,10,1,2018-07-26 17:00:00
6,2.65,2.45,-0.88999987,REGULAR,VXX180727C00028000,USD,1532649600,0.742190078124999,True,2.65,1532549266,405,-25.14124,28.0,call,417,1,2018-07-26 17:00:00
7,2.19,1.97,-0.9100001,REGULAR,VXX180727C00028500,USD,1532649600,0.6777375976562501,True,2.02,1532544668,29,-31.058022,28.5,call,10,1,2018-07-26 17:00:00
8,1.67,1.5,-0.14999998,REGULAR,VXX180727C00029000,USD,1532649600,0.5585981640625001,True,1.7000000000000002,1532549438,354,-8.108107,29.0,call,138,1,2018-07-26 17:00:00
9,1.24,1.05,-0.37,REGULAR,VXX180727C00029500,USD,1532649600,0.500005,True,1.2,1532549189,196,-23.566877,29.5,call,264,1,2018-07-26 17:00:00
10,0.84,0.71,-0.22999996,REGULAR,VXX180727C00030000,USD,1532649600,0.5371140039062501,True,0.8,1532548637,4601,-22.330093,30.0,call,2839,1,2018-07-26 17:00:00
11,0.58,0.47000000000000003,-0.11000001400000001,REGULAR,VXX180727C00030500,USD,1532649600,0.54883263671875,False,0.59,1532549587,1652,-15.714288,30.5,call,1379,1,2018-07-26 17:00:00
12,0.42,0.32,-0.17999998,REGULAR,VXX180727C00031000,USD,1532649600,0.5449264257812501,False,0.41000000000000003,1532549587,5567,-30.508474,31.0,call,5098,1,2018-07-26 17:00:00
13,0.31,0.23,-0.18,REGULAR,VXX180727C00031500,USD,1532649600,0.59570716796875,False,0.26,1532549692,3877,-40.909092,31.5,call,1599,1,2018-07-26 17:00:00
14,0.21,0.15,-0.17999999,REGULAR,VXX180727C00032000,USD,1532649600,0.617191328125,False,0.21,1532549198,7548,-46.153847,32.0,call,1224,1,2018-07-26 17:00:00
15,0.16,0.11,-0.09999999400000001,REGULAR,VXX180727C00032500,USD,1532649600,0.6640658593750001,False,0.15,1532548909,2340,-39.999996,32.5,call,1080,1,2018-07-26 17:00:00
16,0.13,0.08,-0.1,REGULAR,VXX180727C00033000,USD,1532649600,0.7148466015625,False,0.12,1532548740,7696,-45.454548,33.0,call,1853,1,2018-07-26 17:00:00
17,0.11,0.09,-0.09,REGULAR,VXX180727C00033500,USD,1532649600,0.79687703125,False,0.09,1532548583,1399,-50.0,33.5,call,211,1,2018-07-26 17:00:00
18,0.09,0.06,-0.07000001,REGULAR,VXX180727C00034000,USD,1532649600,0.8281267187499991,False,0.08,1532548868,2863,-46.66667,34.0,call,1560,1,2018-07-26 17:00:00
19,0.1,0.05,-0.16999999,REGULAR,VXX180727C00034500,USD,1532649600,0.9062509375000001,False,0.07,1532547381,1235,-70.83333,34.5,call,43,1,2018-07-26 17:00:00
20,0.09,0.05,-0.06999999,REGULAR,VXX180727C00035000,USD,1532649600,0.9726565234375,False,0.06,1532548868,5611,-53.84615,35.0,call,530,1,2018-07-26 17:00:00
21,0.06,0.03,-0.040000003,REGULAR,VXX180727C00035500,USD,1532649600,0.9609378906249991,False,0.06,1532548780,1104,-40.000004,35.5,call,160,1,2018-07-26 17:00:00
22,0.06,0.02,-0.040000003,REGULAR,VXX180727C00036000,USD,1532649600,1.0078174609375,False,0.05,1532549202,1205,-44.444447,36.0,call,568,1,2018-07-26 17:00:00
23,0.06,0.02,-0.060000002000000004,REGULAR,VXX180727C00036500,USD,1532649600,1.078129609375,False,0.04,1532549655,2544,-60.000004,36.5,call,49,1,2018-07-26 17:00:00
24,0.05,0.02,0.0,REGULAR,VXX180727C00037000,USD,1532649600,1.1171919140625,False,0.06,1532531574,2711,0.0,37.0,call,30,1,2018-07-26 17:00:00
25,0.05,0.01,-0.04,REGULAR,VXX180727C00037500,USD,1532649600,1.1484417578125,False,0.03,1532546713,713,-57.142853,37.5,call,17,1,2018-07-26 17:00:00
26,0.05,0.02,-0.04,REGULAR,VXX180727C00038000,USD,1532649600,1.234378828124999,False,0.02,1532548700,1503,-66.66667,38.0,call,5,1,2018-07-26 17:00:00
27,0.04,0.0,-0.02,REGULAR,VXX180727C00038500,USD,1532649600,1.1875040625,False,0.05,1532526543,1647,-28.571426,38.5,call,3,1,2018-07-26 17:00:00
28,0.04,0.02,-0.03,REGULAR,VXX180727C00039000,USD,1532649600,1.328128359374999,False,0.03,1532547767,1224,-50.0,39.0,call,255,1,2018-07-26 17:00:00
29,0.04,0.02,-0.13000001,REGULAR,VXX180727C00039500,USD,1532649600,1.382815585937499,False,0.05,1532532173,1306,-72.22223,39.5,call,30,1,2018-07-26 17:00:00
30,0.03,0.01,-0.030000001000000002,REGULAR,VXX180727C00040000,USD,1532649600,1.359378203125,False,0.02,1532547059,4253,-60.000004,40.0,call,1539,1,2018-07-26 17:00:00
31,0.05,0.0,-0.04,REGULAR,VXX180727C00041000,USD,1532649600,1.5000025,False,0.02,1532544475,2496,-66.66667,41.0,call,87,1,2018-07-26 17:00:00
32,0.03,0.02,0.0,REGULAR,VXX180727C00042000,USD,1532649600,1.609376953125,False,0.05,1532463258,1016,0.0,42.0,call,32,1,2018-07-26 17:00:00
33,0.03,0.0,-0.030000001000000002,REGULAR,VXX180727C00043000,USD,1532649600,1.593752031249999,False,0.02,1532548349,1786,-60.000004,43.0,call,1516,1,2018-07-26 17:00:00
34,0.03,0.0,0.0,REGULAR,VXX180727C00044000,USD,1532649600,1.6875015625,False,0.05,1532461965,4643,0.0,44.0,call,161,1,2018-07-26 17:00:00
35,0.03,0.0,-0.030000001000000002,REGULAR,VXX180727C00045000,USD,1532649600,1.78125109375,False,0.02,1532537304,880,-60.000004,45.0,call,2,1,2018-07-26 17:00:00
36,0.05,0.0,0.0,REGULAR,VXX180727C00046000,USD,1532649600,1.984375078125,False,0.05,1532460032,847,0.0,46.0,call,3,1,2018-07-26 17:00:00
