,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,189.95,189.05,-12.849991,REGULAR,NFLX180720C00190000,USD,1532044800,2.50000375,True,190.3,1531855793,1,-6.325371,190.0,call,5,1,2018-07-19 17:00:00
1,184.95,184.05,-5.949997,REGULAR,NFLX180720C00195000,USD,1532044800,2.4218789453125,True,183.7,1531850837,2,-3.1373568,195.0,call,11,1,2018-07-19 17:00:00
2,179.95,179.05,-21.65001,REGULAR,NFLX180720C00200000,USD,1532044800,2.328129179687499,True,176.15,1531854076,63,-10.945404,200.0,call,39,1,2018-07-19 17:00:00
3,174.95,174.05,18.399994,REGULAR,NFLX180720C00205000,USD,1532044800,2.250004374999999,True,175.25,1531855972,12,11.730948,205.0,call,64,1,2018-07-19 17:00:00
4,169.95,169.05,-19.559998,REGULAR,NFLX180720C00210000,USD,1532044800,2.156254609375,True,170.85,1531856048,8,-10.272569,210.0,call,17,1,2018-07-19 17:00:00
5,165.0,164.05,-25.169998,REGULAR,NFLX180720C00215000,USD,1532044800,2.242191894531249,True,165.45,1531856616,5,-13.20428,215.0,call,12,1,2018-07-19 17:00:00
6,160.0,159.05,25.440002,REGULAR,NFLX180720C00220000,USD,1532044800,2.156254609375,True,158.7,1531850837,4,19.090502,220.0,call,8,1,2018-07-19 17:00:00
7,155.1,154.05,-7.800003,REGULAR,NFLX180720C00225000,USD,1532044800,2.242191894531249,True,155.45,1531856616,5,-4.77795,225.0,call,12,1,2018-07-19 17:00:00
8,150.15,149.05,-24.15001,REGULAR,NFLX180720C00230000,USD,1532044800,2.210941972656249,True,147.4,1531853710,15,-14.077534,230.0,call,42,1,2018-07-19 17:00:00
9,168.0,163.05,160.12,REGULAR,NFLX180720C00235000,USD,1532044800,6.621095473632813,True,160.12,1530286910,3,100.0,235.0,call,1,1,2018-07-19 17:00:00
10,139.95,139.05,-16.279999,REGULAR,NFLX180720C00240000,USD,1532044800,1.703126484375,True,140.83,1531856589,8,-10.362166,240.0,call,12,1,2018-07-19 17:00:00
11,134.95,134.05,-18.209991,REGULAR,NFLX180720C00245000,USD,1532044800,1.6250018750000002,True,130.85,1531854034,14,-12.216552,245.0,call,32,1,2018-07-19 17:00:00
12,129.95,129.05,-17.699997,REGULAR,NFLX180720C00250000,USD,1532044800,1.562502187499999,True,129.85,1531855237,150,-11.995931,250.0,call,91,1,2018-07-19 17:00:00
13,124.95,124.05,-17.289993,REGULAR,NFLX180720C00255000,USD,1532044800,1.492190039062499,True,124.5,1531857377,3,-12.194086,255.0,call,61,1,2018-07-19 17:00:00
14,120.0,119.05,-17.990005,REGULAR,NFLX180720C00260000,USD,1532044800,1.5390648046875,True,118.95,1531849680,52,-13.137144,260.0,call,22,1,2018-07-19 17:00:00
15,114.95,114.05,-15.669998,REGULAR,NFLX180720C00265000,USD,1532044800,1.359378203125,True,113.2,1531854839,34,-12.15954,265.0,call,35,1,2018-07-19 17:00:00
16,110.0,109.05,-14.699997,REGULAR,NFLX180720C00270000,USD,1532044800,1.3984405078125,True,110.9,1531848083,209,-11.703819,270.0,call,66,1,2018-07-19 17:00:00
17,105.0,104.05,-13.449997,REGULAR,NFLX180720C00275000,USD,1532044800,1.328128359374999,True,106.4,1531855387,36,-11.222359,275.0,call,37,1,2018-07-19 17:00:00
18,100.0,99.05,-20.400002,REGULAR,NFLX180720C00280000,USD,1532044800,1.2578162109375,True,96.2,1531854076,48,-17.495712,280.0,call,114,1,2018-07-19 17:00:00
19,95.0,94.05,-17.020004,REGULAR,NFLX180720C00285000,USD,1532044800,1.1953165234375,True,95.35,1531856913,30,-15.146394,285.0,call,35,1,2018-07-19 17:00:00
20,90.0,89.05,-13.600006,REGULAR,NFLX180720C00290000,USD,1532044800,1.125004375,True,91.7,1531855645,49,-12.915484,290.0,call,50,1,2018-07-19 17:00:00
21,85.15,84.1,-19.549995,REGULAR,NFLX180720C00295000,USD,1532044800,1.220707021484375,True,85.55,1531856645,132,-18.601328,295.0,call,87,1,2018-07-19 17:00:00
22,80.15,79.1,-20.04,REGULAR,NFLX180720C00300000,USD,1532044800,1.1484417578125,True,80.46,1531856412,410,-19.940298,300.0,call,204,1,2018-07-19 17:00:00
23,75.0,74.1,-21.25,REGULAR,NFLX180720C00305000,USD,1532044800,0.9804689453125001,True,75.05,1531855251,81,-22.066458,305.0,call,108,1,2018-07-19 17:00:00
24,70.0,69.1,-22.150002,REGULAR,NFLX180720C00310000,USD,1532044800,0.9160164648437501,True,69.85,1531855237,413,-24.07609,310.0,call,184,1,2018-07-19 17:00:00
25,65.0,64.1,-17.86,REGULAR,NFLX180720C00315000,USD,1532044800,0.851563984375,True,67.5,1531847600,165,-20.92315,315.0,call,129,1,2018-07-19 17:00:00
26,60.0,59.1,-20.850002,REGULAR,NFLX180720C00320000,USD,1532044800,0.78711150390625,True,60.55,1531855759,2994,-25.614252,320.0,call,232,1,2018-07-19 17:00:00
27,55.0,54.1,-22.950005,REGULAR,NFLX180720C00325000,USD,1532044800,0.7226590234375,True,51.85,1531854240,359,-30.681822,325.0,call,266,1,2018-07-19 17:00:00
28,50.05,49.15,-20.220001,REGULAR,NFLX180720C00330000,USD,1532044800,0.70898728515625,True,50.4,1531856769,9147,-28.632116,330.0,call,692,1,2018-07-19 17:00:00
29,45.05,44.15,-21.909996,REGULAR,NFLX180720C00335000,USD,1532044800,0.6425816992187501,True,45.18,1531857328,637,-32.65762,335.0,call,453,1,2018-07-19 17:00:00
30,40.1,39.2,-21.900002,REGULAR,NFLX180720C00340000,USD,1532044800,0.6074258007812501,True,40.05,1531857233,711,-35.351093,340.0,call,1737,1,2018-07-19 17:00:00
31,35.15,34.25,-22.529999,REGULAR,NFLX180720C00345000,USD,1532044800,0.561527822265625,True,34.75,1531857407,1274,-39.3331,345.0,call,1674,1,2018-07-19 17:00:00
32,32.7,31.75,-22.530003,REGULAR,NFLX180720C00347500,USD,1532044800,0.5361374511718751,True,32.37,1531857577,33,-41.038254,347.5,call,1319,1,2018-07-19 17:00:00
33,30.25,29.6,-21.47,REGULAR,NFLX180720C00350000,USD,1532044800,0.562016098632812,True,30.03,1531857585,9468,-41.68932,350.0,call,17416,1,2018-07-19 17:00:00
34,28.0,27.05,-21.74,REGULAR,NFLX180720C00352500,USD,1532044800,0.546391254882812,True,27.56,1531857479,591,-44.097363,352.5,call,1685,1,2018-07-19 17:00:00
35,25.5,24.65,-22.269999,REGULAR,NFLX180720C00355000,USD,1532044800,0.516118120117187,True,25.03,1531857596,1167,-47.08245,355.0,call,5068,1,2018-07-19 17:00:00
36,23.1,22.3,-22.739998,REGULAR,NFLX180720C00357500,USD,1532044800,0.5625043750000001,True,22.7,1531857555,134,-50.044014,357.5,call,2196,1,2018-07-19 17:00:00
37,20.9,20.1,-22.759998,REGULAR,NFLX180720C00360000,USD,1532044800,0.500737414550781,True,20.5,1531857574,14100,-52.612106,360.0,call,22610,1,2018-07-19 17:00:00
38,18.5,17.85,-22.880001,REGULAR,NFLX180720C00362500,USD,1532044800,0.5178270874023431,True,18.2,1531857544,140,-55.6962,362.5,call,2481,1,2018-07-19 17:00:00
39,16.5,15.8,-23.179998,REGULAR,NFLX180720C00365000,USD,1532044800,0.5202684692382811,True,16.1,1531857565,3946,-59.012215,365.0,call,8961,1,2018-07-19 17:00:00
40,14.3,13.8,-23.25,REGULAR,NFLX180720C00367500,USD,1532044800,0.49365740722656204,True,14.0,1531857576,52,-62.416107,367.5,call,5545,1,2018-07-19 17:00:00
41,12.45,11.95,-23.060001,REGULAR,NFLX180720C00370000,USD,1532044800,0.49170430175781205,True,12.14,1531857596,2780,-65.51136,370.0,call,16939,1,2018-07-19 17:00:00
42,10.4,10.2,-22.84,REGULAR,NFLX180720C00372500,USD,1532044800,0.46362841064453103,True,10.3,1531857551,111,-68.91974,372.5,call,4166,1,2018-07-19 17:00:00
43,8.85,8.7,-23.07,REGULAR,NFLX180720C00375000,USD,1532044800,0.46619186157226505,True,8.68,1531857596,1994,-72.661415,375.0,call,15320,1,2018-07-19 17:00:00
44,7.4,7.25,-22.46,REGULAR,NFLX180720C00377500,USD,1532044800,0.464727032470703,True,7.26,1531857594,136,-75.572,377.5,call,4706,1,2018-07-19 17:00:00
45,6.1,5.95,-22.24,REGULAR,NFLX180720C00380000,USD,1532044800,0.46289599609375004,False,5.99,1531857589,1694,-78.78144,380.0,call,20990,1,2018-07-19 17:00:00
46,5.0,4.85,-21.6,REGULAR,NFLX180720C00382500,USD,1532044800,0.46423875610351506,False,4.85,1531857595,244,-81.66351,382.5,call,6019,1,2018-07-19 17:00:00
47,4.05,3.9,-21.3,REGULAR,NFLX180720C00385000,USD,1532044800,0.465581516113281,False,3.95,1531857589,1235,-84.35643,385.0,call,12049,1,2018-07-19 17:00:00
48,3.2,3.1,-20.42,REGULAR,NFLX180720C00387500,USD,1532044800,0.46362841064453103,False,3.2,1531857588,1060,-86.452156,387.5,call,3886,1,2018-07-19 17:00:00
49,2.52,2.45,-19.82,REGULAR,NFLX180720C00390000,USD,1532044800,0.46460496337890606,False,2.48,1531857597,2885,-88.87892,390.0,call,19194,1,2018-07-19 17:00:00
50,1.94,1.9100000000000001,-18.699999,REGULAR,NFLX180720C00392500,USD,1532044800,0.46362841064453103,False,1.94,1531857592,579,-90.60077,392.5,call,3552,1,2018-07-19 17:00:00
51,1.55,1.45,-18.0,REGULAR,NFLX180720C00395000,USD,1532044800,0.47144083251953106,False,1.55,1531857598,3183,-92.07162,395.0,call,8153,1,2018-07-19 17:00:00
52,1.18,1.1400000000000001,-17.17,REGULAR,NFLX180720C00397500,USD,1532044800,0.47241738525390603,False,1.18,1531857592,1338,-93.56948,397.5,call,3450,1,2018-07-19 17:00:00
53,0.96,0.91,-16.05,REGULAR,NFLX180720C00400000,USD,1532044800,0.48413601806640605,False,0.9500000000000001,1531857592,13930,-94.41176,400.0,call,33596,1,2018-07-19 17:00:00
54,0.76,0.71,-15.179999,REGULAR,NFLX180720C00402500,USD,1532044800,0.49219257812500006,False,0.72,1531857574,1794,-95.471695,402.5,call,4594,1,2018-07-19 17:00:00
55,0.6000000000000001,0.51,-14.12,REGULAR,NFLX180720C00405000,USD,1532044800,0.499516723632812,False,0.58,1531857596,3590,-96.05442,405.0,call,6067,1,2018-07-19 17:00:00
56,0.49,0.46,-13.11,REGULAR,NFLX180720C00407500,USD,1532044800,0.507817421875,False,0.47000000000000003,1531857592,1246,-96.539024,407.5,call,4070,1,2018-07-19 17:00:00
57,0.41000000000000003,0.35000000000000003,-12.14,REGULAR,NFLX180720C00410000,USD,1532044800,0.516606396484375,False,0.4,1531857570,5383,-96.81021,410.0,call,8544,1,2018-07-19 17:00:00
58,0.34,0.31,-11.26,REGULAR,NFLX180720C00412500,USD,1532044800,0.5322312402343751,False,0.34,1531857597,1210,-97.06896,412.5,call,1022,1,2018-07-19 17:00:00
59,0.30000000000000004,0.24,-10.339999,REGULAR,NFLX180720C00415000,USD,1532044800,0.543949873046875,False,0.27,1531857534,3663,-97.45523,415.0,call,6817,1,2018-07-19 17:00:00
60,0.27,0.16,-9.41,REGULAR,NFLX180720C00417500,USD,1532044800,0.551762294921875,False,0.24,1531857544,1071,-97.512955,417.5,call,1393,1,2018-07-19 17:00:00
61,0.2,0.19,-8.7,REGULAR,NFLX180720C00420000,USD,1532044800,0.5712933496093751,False,0.2,1531857593,7036,-97.75281,420.0,call,7216,1,2018-07-19 17:00:00
62,0.2,0.17,-7.9200006,REGULAR,NFLX180720C00422500,USD,1532044800,0.5937540625000001,False,0.18,1531857588,2637,-97.77778,422.5,call,717,1,2018-07-19 17:00:00
63,0.17,0.1,-7.25,REGULAR,NFLX180720C00425000,USD,1532044800,0.59180095703125,False,0.15,1531857583,3275,-97.97297,425.0,call,2805,1,2018-07-19 17:00:00
64,0.17,0.1,-6.38,REGULAR,NFLX180720C00427500,USD,1532044800,0.617191328125,False,0.12,1531857511,772,-98.15385,427.5,call,896,1,2018-07-19 17:00:00
65,0.16,0.11,-5.89,REGULAR,NFLX180720C00430000,USD,1532044800,0.6425816992187501,False,0.11,1531857596,4245,-98.166664,430.0,call,5085,1,2018-07-19 17:00:00
66,0.15,0.1,-5.31,REGULAR,NFLX180720C00432500,USD,1532044800,0.6611362011718751,False,0.13,1531857525,565,-97.6103,432.5,call,782,1,2018-07-19 17:00:00
67,0.15,0.08,-4.74,REGULAR,NFLX180720C00435000,USD,1532044800,0.6777375976562501,False,0.11,1531857525,3388,-97.73196,435.0,call,3404,1,2018-07-19 17:00:00
68,0.13,0.05,-4.27,REGULAR,NFLX180720C00437500,USD,1532044800,0.679690703125,False,0.09,1531857459,1421,-97.935776,437.5,call,678,1,2018-07-19 17:00:00
69,0.13,0.08,-3.89,REGULAR,NFLX180720C00440000,USD,1532044800,0.7177762597656251,False,0.1,1531857573,7989,-97.49374,440.0,call,6502,1,2018-07-19 17:00:00
70,0.12,0.05,-3.5700002,REGULAR,NFLX180720C00442500,USD,1532044800,0.72070591796875,False,0.08,1531857459,636,-97.80823,442.5,call,346,1,2018-07-19 17:00:00
